date,/m/06pj2k_0,/m/06pj2k,batch_id
2021-02-01,74.0,74.0,1
2021-02-02,58.0,58.0,1
2021-02-03,47.0,47.0,1
2021-02-04,33.0,33.0,1
2021-02-05,49.0,49.0,1
2021-02-06,81.0,81.0,1
2021-02-07,35.0,35.0,1
2021-02-08,42.0,42.0,1
2021-02-09,76.0,76.0,1
2021-02-10,53.0,53.0,1
2021-02-11,38.0,38.0,1
2021-02-12,61.0,61.0,1
2021-02-13,62.0,62.0,1
2021-02-14,80.0,80.0,1
2021-02-15,48.0,48.0,1
2021-02-16,55.0,55.0,1
2021-02-17,55.0,55.0,1
2021-02-18,49.0,49.0,1
2021-02-19,46.0,46.0,1
2021-02-20,39.0,39.0,1
2021-02-21,53.0,53.0,1
2021-02-22,41.0,41.0,1
2021-02-23,72.0,72.0,1
2021-02-24,34.0,34.0,1
2021-02-25,39.0,39.0,1
2021-02-26,34.0,34.0,1
2021-02-27,50.0,50.0,1
2021-02-28,42.0,42.0,1
2021-03-01,38.0,38.0,1
2021-03-02,28.0,28.0,1
2021-03-03,67.0,67.0,1
2021-03-04,26.0,26.0,1
2021-03-05,28.0,28.0,1
2021-03-06,56.0,56.0,1
2021-03-07,72.0,72.0,1
2021-03-08,70.0,70.0,1
2021-03-09,32.0,32.0,1
2021-03-10,65.0,65.0,1
2021-03-11,33.0,33.0,1
2021-03-12,100.0,100.0,1
2021-03-13,23.0,23.0,1
2021-03-14,57.0,57.0,1
2021-03-15,34.0,34.0,1
2021-03-16,37.0,37.0,1
2021-03-17,48.0,48.0,1
2021-03-18,43.0,43.0,1
2021-03-19,63.0,63.0,1
2021-03-20,63.0,63.0,1
2021-03-21,71.0,71.0,1
2021-03-22,43.0,43.0,1
2021-03-23,75.0,75.0,1
2021-03-24,27.0,27.0,1
2021-03-25,72.0,72.0,1
2021-03-26,63.0,63.0,1
2021-03-27,18.0,18.0,1
2021-03-28,38.0,38.0,1
2021-03-29,62.0,62.0,1
2021-03-30,47.0,47.0,1
2021-03-31,48.0,48.0,1
2021-04-01,40.0,40.0,1
2021-04-02,47.0,47.0,1
2021-04-03,31.0,31.0,1
2021-04-04,38.0,38.0,1
2021-04-05,34.0,34.0,1
2021-04-06,41.0,41.0,1
2021-04-07,59.0,59.0,1
2021-04-08,22.0,22.0,1
2021-04-09,28.0,28.0,1
2021-04-10,61.0,61.0,1
2021-04-11,87.0,87.0,1
2021-04-12,52.0,52.0,1
2021-04-13,50.0,50.0,1
2021-04-14,65.0,65.0,1
2021-04-15,22.0,22.0,1
2021-04-16,58.0,58.0,1
2021-04-17,69.0,69.0,1
2021-04-18,95.0,95.0,1
2021-04-19,42.0,42.0,1
2021-04-20,44.0,44.0,1
2021-04-21,61.0,61.0,1
2021-04-22,62.0,62.0,1
2021-04-23,82.0,82.0,1
2021-04-24,58.0,58.0,1
2021-04-25,31.0,31.0,1
2021-04-26,49.0,49.0,1
2021-04-27,39.0,39.0,1
2021-04-28,28.0,28.0,1
2021-04-29,32.0,32.0,1
2021-04-30,54.0,54.0,1
2021-05-01,54.0,54.0,1
2021-05-02,89.0,89.0,1
2021-05-03,53.0,53.0,1
2021-05-04,50.0,50.0,1
2021-05-05,26.0,26.0,1
2021-05-06,75.0,75.0,1
2021-05-07,11.0,11.0,1
2021-05-08,54.0,54.0,1
2021-05-09,84.0,84.0,1
2021-05-10,43.0,43.0,1
2021-05-11,26.0,26.0,1
2021-05-12,38.0,38.0,1
2021-05-13,34.0,34.0,1
2021-05-14,35.0,35.0,1
