date,/m/04st9hr_0,/m/04st9hr,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,70.0,70.0,1
2021-02-03,71.0,71.0,1
2021-02-04,54.0,54.0,1
2021-02-05,77.0,77.0,1
2021-02-06,67.0,67.0,1
2021-02-07,63.0,63.0,1
2021-02-08,73.0,73.0,1
2021-02-09,77.0,77.0,1
2021-02-10,64.0,64.0,1
2021-02-11,62.0,62.0,1
2021-02-12,66.0,66.0,1
2021-02-13,62.0,62.0,1
2021-02-14,62.0,62.0,1
2021-02-15,63.0,63.0,1
2021-02-16,63.0,63.0,1
2021-02-17,68.0,68.0,1
2021-02-18,57.0,57.0,1
2021-02-19,73.0,73.0,1
2021-02-20,68.0,68.0,1
2021-02-21,54.0,54.0,1
2021-02-22,68.0,68.0,1
2021-02-23,84.0,84.0,1
2021-02-24,56.0,56.0,1
2021-02-25,61.0,61.0,1
2021-02-26,64.0,64.0,1
2021-02-27,74.0,74.0,1
2021-02-28,48.0,48.0,1
2021-03-01,67.0,67.0,1
2021-03-02,50.0,50.0,1
2021-03-03,64.0,64.0,1
2021-03-04,52.0,52.0,1
2021-03-05,57.0,57.0,1
2021-03-06,60.0,60.0,1
2021-03-07,57.0,57.0,1
2021-03-08,60.0,60.0,1
2021-03-09,66.0,66.0,1
2021-03-10,64.0,64.0,1
2021-03-11,72.0,72.0,1
2021-03-12,69.0,69.0,1
2021-03-13,44.0,44.0,1
2021-03-14,68.0,68.0,1
2021-03-15,58.0,58.0,1
2021-03-16,62.0,62.0,1
2021-03-17,61.0,61.0,1
2021-03-18,78.0,78.0,1
2021-03-19,72.0,72.0,1
2021-03-20,49.0,49.0,1
2021-03-21,59.0,59.0,1
2021-03-22,65.0,65.0,1
2021-03-23,58.0,58.0,1
2021-03-24,77.0,77.0,1
2021-03-25,66.0,66.0,1
2021-03-26,68.0,68.0,1
2021-03-27,47.0,47.0,1
2021-03-28,61.0,61.0,1
2021-03-29,55.0,55.0,1
2021-03-30,53.0,53.0,1
2021-03-31,51.0,51.0,1
2021-04-01,53.0,53.0,1
2021-04-02,57.0,57.0,1
2021-04-03,62.0,62.0,1
2021-04-04,35.0,35.0,1
2021-04-05,65.0,65.0,1
2021-04-06,74.0,74.0,1
2021-04-07,61.0,61.0,1
2021-04-08,32.0,32.0,1
2021-04-09,70.0,70.0,1
2021-04-10,72.0,72.0,1
2021-04-11,52.0,52.0,1
2021-04-12,58.0,58.0,1
2021-04-13,73.0,73.0,1
2021-04-14,59.0,59.0,1
2021-04-15,58.0,58.0,1
2021-04-16,59.0,59.0,1
2021-04-17,53.0,53.0,1
2021-04-18,52.0,52.0,1
2021-04-19,50.0,50.0,1
2021-04-20,81.0,81.0,1
2021-04-21,100.0,100.0,1
2021-04-22,57.0,57.0,1
2021-04-23,71.0,71.0,1
2021-04-24,74.0,74.0,1
2021-04-25,72.0,72.0,1
2021-04-26,63.0,63.0,1
2021-04-27,65.0,65.0,1
2021-04-28,88.0,88.0,1
2021-04-29,89.0,89.0,1
2021-04-30,91.0,91.0,1
2021-05-01,87.0,87.0,1
2021-05-02,74.0,74.0,1
2021-05-03,49.0,49.0,1
2021-05-04,72.0,72.0,1
2021-05-05,63.0,63.0,1
2021-05-06,76.0,76.0,1
2021-05-07,48.0,48.0,1
2021-05-08,78.0,78.0,1
2021-05-09,53.0,53.0,1
2021-05-10,65.0,65.0,1
2021-05-11,39.0,39.0,1
2021-05-12,63.0,63.0,1
2021-05-13,80.0,80.0,1
2021-05-14,69.0,69.0,1
