date,/m/01pnwl_0,/m/01pnwl,batch_id
2021-02-01,43.0,43.0,1
2021-02-02,81.0,81.0,1
2021-02-03,29.0,29.0,1
2021-02-04,52.0,52.0,1
2021-02-05,30.0,30.0,1
2021-02-06,32.0,32.0,1
2021-02-07,32.0,32.0,1
2021-02-08,45.0,45.0,1
2021-02-09,39.0,39.0,1
2021-02-10,50.0,50.0,1
2021-02-11,44.0,44.0,1
2021-02-12,31.0,31.0,1
2021-02-13,34.0,34.0,1
2021-02-14,26.0,26.0,1
2021-02-15,50.0,50.0,1
2021-02-16,52.0,52.0,1
2021-02-17,63.0,63.0,1
2021-02-18,47.0,47.0,1
2021-02-19,47.0,47.0,1
2021-02-20,42.0,42.0,1
2021-02-21,48.0,48.0,1
2021-02-22,48.0,48.0,1
2021-02-23,67.0,67.0,1
2021-02-24,31.0,31.0,1
2021-02-25,55.0,55.0,1
2021-02-26,60.0,60.0,1
2021-02-27,50.0,50.0,1
2021-02-28,38.0,38.0,1
2021-03-01,37.0,37.0,1
2021-03-02,50.0,50.0,1
2021-03-03,43.0,43.0,1
2021-03-04,50.0,50.0,1
2021-03-05,48.0,48.0,1
2021-03-06,51.0,51.0,1
2021-03-07,41.0,41.0,1
2021-03-08,46.0,46.0,1
2021-03-09,50.0,50.0,1
2021-03-10,37.0,37.0,1
2021-03-11,51.0,51.0,1
2021-03-12,45.0,45.0,1
2021-03-13,40.0,40.0,1
2021-03-14,51.0,51.0,1
2021-03-15,45.0,45.0,1
2021-03-16,72.0,72.0,1
2021-03-17,71.0,71.0,1
2021-03-18,100.0,100.0,1
2021-03-19,58.0,58.0,1
2021-03-20,79.0,79.0,1
2021-03-21,78.0,78.0,1
2021-03-22,71.0,71.0,1
2021-03-23,81.0,81.0,1
2021-03-24,83.0,83.0,1
2021-03-25,55.0,55.0,1
2021-03-26,29.0,29.0,1
2021-03-27,59.0,59.0,1
2021-03-28,25.0,25.0,1
2021-03-29,22.0,22.0,1
2021-03-30,40.0,40.0,1
2021-03-31,52.0,52.0,1
2021-04-01,39.0,39.0,1
2021-04-02,62.0,62.0,1
2021-04-03,57.0,57.0,1
2021-04-04,35.0,35.0,1
2021-04-05,50.0,50.0,1
2021-04-06,40.0,40.0,1
2021-04-07,39.0,39.0,1
2021-04-08,52.0,52.0,1
2021-04-09,48.0,48.0,1
2021-04-10,33.0,33.0,1
2021-04-11,47.0,47.0,1
2021-04-12,54.0,54.0,1
2021-04-13,64.0,64.0,1
2021-04-14,56.0,56.0,1
2021-04-15,54.0,54.0,1
2021-04-16,52.0,52.0,1
2021-04-17,59.0,59.0,1
2021-04-18,35.0,35.0,1
2021-04-19,68.0,68.0,1
2021-04-20,63.0,63.0,1
2021-04-21,50.0,50.0,1
2021-04-22,51.0,51.0,1
2021-04-23,53.0,53.0,1
2021-04-24,56.0,56.0,1
2021-04-25,29.0,29.0,1
2021-04-26,48.0,48.0,1
2021-04-27,60.0,60.0,1
2021-04-28,43.0,43.0,1
2021-04-29,39.0,39.0,1
2021-04-30,56.0,56.0,1
2021-05-01,23.0,23.0,1
2021-05-02,56.0,56.0,1
2021-05-03,45.0,45.0,1
2021-05-04,52.0,52.0,1
2021-05-05,57.0,57.0,1
2021-05-06,55.0,55.0,1
2021-05-07,43.0,43.0,1
2021-05-08,44.0,44.0,1
2021-05-09,25.0,25.0,1
2021-05-10,66.0,66.0,1
2021-05-11,40.0,40.0,1
2021-05-12,44.0,44.0,1
2021-05-13,56.0,56.0,1
2021-05-14,30.0,30.0,1
