date,/m/02wwdq_0,/m/02wwdq,batch_id
2021-02-01,25.0,25.0,1
2021-02-02,49.0,49.0,1
2021-02-03,61.0,61.0,1
2021-02-04,58.0,58.0,1
2021-02-05,26.0,26.0,1
2021-02-06,67.0,67.0,1
2021-02-07,7.0,7.0,1
2021-02-08,62.0,62.0,1
2021-02-09,19.0,19.0,1
2021-02-10,25.0,25.0,1
2021-02-11,95.0,95.0,1
2021-02-12,45.0,45.0,1
2021-02-13,29.0,29.0,1
2021-02-14,79.0,79.0,1
2021-02-15,25.0,25.0,1
2021-02-16,58.0,58.0,1
2021-02-17,51.0,51.0,1
2021-02-18,44.0,44.0,1
2021-02-19,40.0,40.0,1
2021-02-20,38.0,38.0,1
2021-02-21,23.0,23.0,1
2021-02-22,72.0,72.0,1
2021-02-23,26.0,26.0,1
2021-02-24,7.0,7.0,1
2021-02-25,78.0,78.0,1
2021-02-26,26.0,26.0,1
2021-02-27,80.0,80.0,1
2021-02-28,63.0,63.0,1
2021-03-01,13.0,13.0,1
2021-03-02,58.0,58.0,1
2021-03-03,46.0,46.0,1
2021-03-04,99.0,99.0,1
2021-03-05,33.0,33.0,1
2021-03-06,51.0,51.0,1
2021-03-07,63.0,63.0,1
2021-03-08,69.0,69.0,1
2021-03-09,62.0,62.0,1
2021-03-10,51.0,51.0,1
2021-03-11,63.0,63.0,1
2021-03-12,26.0,26.0,1
2021-03-13,27.0,27.0,1
2021-03-14,33.0,33.0,1
2021-03-15,34.0,34.0,1
2021-03-16,49.0,49.0,1
2021-03-17,44.0,44.0,1
2021-03-18,25.0,25.0,1
2021-03-19,73.0,73.0,1
2021-03-20,59.0,59.0,1
2021-03-21,28.0,28.0,1
2021-03-22,38.0,38.0,1
2021-03-23,25.0,25.0,1
2021-03-24,50.0,50.0,1
2021-03-25,58.0,58.0,1
2021-03-26,100.0,100.0,1
2021-03-27,35.0,35.0,1
2021-03-28,30.0,30.0,1
2021-03-29,33.0,33.0,1
2021-03-30,55.0,55.0,1
2021-03-31,49.0,49.0,1
2021-04-01,20.0,20.0,1
2021-04-02,34.0,34.0,1
2021-04-03,7.0,7.0,1
2021-04-04,52.0,52.0,1
2021-04-05,46.0,46.0,1
2021-04-06,36.0,36.0,1
2021-04-07,19.0,19.0,1
2021-04-08,39.0,39.0,1
2021-04-09,79.0,79.0,1
2021-04-10,46.0,46.0,1
2021-04-11,20.0,20.0,1
2021-04-12,86.0,86.0,1
2021-04-13,65.0,65.0,1
2021-04-14,57.0,57.0,1
2021-04-15,26.0,26.0,1
2021-04-16,40.0,40.0,1
2021-04-17,29.0,29.0,1
2021-04-18,51.0,51.0,1
2021-04-19,68.0,68.0,1
2021-04-20,64.0,64.0,1
2021-04-21,58.0,58.0,1
2021-04-22,33.0,33.0,1
2021-04-23,41.0,41.0,1
2021-04-24,8.0,8.0,1
2021-04-25,22.0,22.0,1
2021-04-26,50.0,50.0,1
2021-04-27,91.0,91.0,1
2021-04-28,58.0,58.0,1
2021-04-29,37.0,37.0,1
2021-04-30,6.0,6.0,1
2021-05-01,0.0,0.0,1
2021-05-02,35.0,35.0,1
2021-05-03,43.0,43.0,1
2021-05-04,59.0,59.0,1
2021-05-05,48.0,48.0,1
2021-05-06,56.0,56.0,1
2021-05-07,58.0,58.0,1
2021-05-08,28.0,28.0,1
2021-05-09,30.0,30.0,1
2021-05-10,25.0,25.0,1
2021-05-11,43.0,43.0,1
2021-05-12,32.0,32.0,1
2021-05-13,60.0,60.0,1
2021-05-14,41.0,41.0,1
