date,/g/12135ysl_0,/g/12135ysl,batch_id
2021-02-01,35.0,35.0,1
2021-02-02,35.0,35.0,1
2021-02-03,35.0,35.0,1
2021-02-04,24.0,24.0,1
2021-02-05,36.0,36.0,1
2021-02-06,25.0,25.0,1
2021-02-07,38.0,38.0,1
2021-02-08,12.0,12.0,1
2021-02-09,24.0,24.0,1
2021-02-10,23.0,23.0,1
2021-02-11,0.0,0.0,1
2021-02-12,60.0,60.0,1
2021-02-13,54.0,54.0,1
2021-02-14,95.0,95.0,1
2021-02-15,46.0,46.0,1
2021-02-16,48.0,48.0,1
2021-02-17,12.0,12.0,1
2021-02-18,24.0,24.0,1
2021-02-19,25.0,25.0,1
2021-02-20,57.0,57.0,1
2021-02-21,0.0,0.0,1
2021-02-22,22.0,22.0,1
2021-02-23,37.0,37.0,1
2021-02-24,49.0,49.0,1
2021-02-25,0.0,0.0,1
2021-02-26,24.0,24.0,1
2021-02-27,68.0,68.0,1
2021-02-28,26.0,26.0,1
2021-03-01,12.0,12.0,1
2021-03-02,0.0,0.0,1
2021-03-03,25.0,25.0,1
2021-03-04,81.0,81.0,1
2021-03-05,37.0,37.0,1
2021-03-06,41.0,41.0,1
2021-03-07,66.0,66.0,1
2021-03-08,24.0,24.0,1
2021-03-09,81.0,81.0,1
2021-03-10,59.0,59.0,1
2021-03-11,71.0,71.0,1
2021-03-12,24.0,24.0,1
2021-03-13,25.0,25.0,1
2021-03-14,100.0,100.0,1
2021-03-15,28.0,28.0,1
2021-03-16,51.0,51.0,1
2021-03-17,24.0,24.0,1
2021-03-18,48.0,48.0,1
2021-03-19,25.0,25.0,1
2021-03-20,28.0,28.0,1
2021-03-21,52.0,52.0,1
2021-03-22,12.0,12.0,1
2021-03-23,71.0,71.0,1
2021-03-24,59.0,59.0,1
2021-03-25,61.0,61.0,1
2021-03-26,38.0,38.0,1
2021-03-27,65.0,65.0,1
2021-03-28,42.0,42.0,1
2021-03-29,37.0,37.0,1
2021-03-30,39.0,39.0,1
2021-03-31,53.0,53.0,1
2021-04-01,63.0,63.0,1
2021-04-02,64.0,64.0,1
2021-04-03,14.0,14.0,1
2021-04-04,56.0,56.0,1
2021-04-05,37.0,37.0,1
2021-04-06,23.0,23.0,1
2021-04-07,58.0,58.0,1
2021-04-08,72.0,72.0,1
2021-04-09,49.0,49.0,1
2021-04-10,61.0,61.0,1
2021-04-11,25.0,25.0,1
2021-04-12,11.0,11.0,1
2021-04-13,37.0,37.0,1
2021-04-14,12.0,12.0,1
2021-04-15,0.0,0.0,1
2021-04-16,38.0,38.0,1
2021-04-17,69.0,69.0,1
2021-04-18,97.0,97.0,1
2021-04-19,23.0,23.0,1
2021-04-20,48.0,48.0,1
2021-04-21,24.0,24.0,1
2021-04-22,37.0,37.0,1
2021-04-23,51.0,51.0,1
2021-04-24,28.0,28.0,1
2021-04-25,41.0,41.0,1
2021-04-26,35.0,35.0,1
2021-04-27,12.0,12.0,1
2021-04-28,49.0,49.0,1
2021-04-29,82.0,82.0,1
2021-04-30,0.0,0.0,1
2021-05-01,26.0,26.0,1
2021-05-02,0.0,0.0,1
2021-05-03,58.0,58.0,1
2021-05-04,66.0,66.0,1
2021-05-05,11.0,11.0,1
2021-05-06,59.0,59.0,1
2021-05-07,12.0,12.0,1
2021-05-08,66.0,66.0,1
2021-05-09,28.0,28.0,1
2021-05-10,0.0,0.0,1
2021-05-11,23.0,23.0,1
2021-05-12,48.0,48.0,1
2021-05-13,25.0,25.0,1
2021-05-14,0.0,0.0,1
