date,/m/0cycc_0,/m/0cycc,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,56.0,56.0,1
2021-02-03,48.0,48.0,1
2021-02-04,8.0,8.0,1
2021-02-05,50.0,50.0,1
2021-02-06,35.0,35.0,1
2021-02-07,44.0,44.0,1
2021-02-08,32.0,32.0,1
2021-02-09,49.0,49.0,1
2021-02-10,32.0,32.0,1
2021-02-11,58.0,58.0,1
2021-02-12,50.0,50.0,1
2021-02-13,37.0,37.0,1
2021-02-14,47.0,47.0,1
2021-02-15,56.0,56.0,1
2021-02-16,42.0,42.0,1
2021-02-17,41.0,41.0,1
2021-02-18,25.0,25.0,1
2021-02-19,35.0,35.0,1
2021-02-20,99.0,99.0,1
2021-02-21,100.0,100.0,1
2021-02-22,16.0,16.0,1
2021-02-23,34.0,34.0,1
2021-02-24,42.0,42.0,1
2021-02-25,25.0,25.0,1
2021-02-26,34.0,34.0,1
2021-02-27,19.0,19.0,1
2021-02-28,64.0,64.0,1
2021-03-01,33.0,33.0,1
2021-03-02,50.0,50.0,1
2021-03-03,85.0,85.0,1
2021-03-04,48.0,48.0,1
2021-03-05,77.0,77.0,1
2021-03-06,28.0,28.0,1
2021-03-07,82.0,82.0,1
2021-03-08,57.0,57.0,1
2021-03-09,16.0,16.0,1
2021-03-10,25.0,25.0,1
2021-03-11,25.0,25.0,1
2021-03-12,25.0,25.0,1
2021-03-13,35.0,35.0,1
2021-03-14,35.0,35.0,1
2021-03-15,51.0,51.0,1
2021-03-16,35.0,35.0,1
2021-03-17,57.0,57.0,1
2021-03-18,49.0,49.0,1
2021-03-19,60.0,60.0,1
2021-03-20,38.0,38.0,1
2021-03-21,45.0,45.0,1
2021-03-22,57.0,57.0,1
2021-03-23,65.0,65.0,1
2021-03-24,98.0,98.0,1
2021-03-25,67.0,67.0,1
2021-03-26,43.0,43.0,1
2021-03-27,54.0,54.0,1
2021-03-28,48.0,48.0,1
2021-03-29,43.0,43.0,1
2021-03-30,9.0,9.0,1
2021-03-31,27.0,27.0,1
2021-04-01,17.0,17.0,1
2021-04-02,35.0,35.0,1
2021-04-03,67.0,67.0,1
2021-04-04,10.0,10.0,1
2021-04-05,77.0,77.0,1
2021-04-06,39.0,39.0,1
2021-04-07,8.0,8.0,1
2021-04-08,17.0,17.0,1
2021-04-09,34.0,34.0,1
2021-04-10,42.0,42.0,1
2021-04-11,18.0,18.0,1
2021-04-12,24.0,24.0,1
2021-04-13,59.0,59.0,1
2021-04-14,33.0,33.0,1
2021-04-15,33.0,33.0,1
2021-04-16,17.0,17.0,1
2021-04-17,57.0,57.0,1
2021-04-18,76.0,76.0,1
2021-04-19,48.0,48.0,1
2021-04-20,50.0,50.0,1
2021-04-21,17.0,17.0,1
2021-04-22,34.0,34.0,1
2021-04-23,71.0,71.0,1
2021-04-24,30.0,30.0,1
2021-04-25,19.0,19.0,1
2021-04-26,25.0,25.0,1
2021-04-27,25.0,25.0,1
2021-04-28,25.0,25.0,1
2021-04-29,24.0,24.0,1
2021-04-30,25.0,25.0,1
2021-05-01,64.0,64.0,1
2021-05-02,27.0,27.0,1
2021-05-03,48.0,48.0,1
2021-05-04,31.0,31.0,1
2021-05-05,47.0,47.0,1
2021-05-06,8.0,8.0,1
2021-05-07,25.0,25.0,1
2021-05-08,37.0,37.0,1
2021-05-09,20.0,20.0,1
2021-05-10,16.0,16.0,1
2021-05-11,32.0,32.0,1
2021-05-12,16.0,16.0,1
2021-05-13,0.0,0.0,1
2021-05-14,18.0,18.0,1
