date,/m/0119nml8_0,/m/0119nml8,batch_id
2021-02-01,31.0,31.0,1
2021-02-02,44.0,44.0,1
2021-02-03,28.0,28.0,1
2021-02-04,49.0,49.0,1
2021-02-05,45.0,45.0,1
2021-02-06,62.0,62.0,1
2021-02-07,41.0,41.0,1
2021-02-08,47.0,47.0,1
2021-02-09,54.0,54.0,1
2021-02-10,41.0,41.0,1
2021-02-11,65.0,65.0,1
2021-02-12,46.0,46.0,1
2021-02-13,40.0,40.0,1
2021-02-14,44.0,44.0,1
2021-02-15,44.0,44.0,1
2021-02-16,52.0,52.0,1
2021-02-17,62.0,62.0,1
2021-02-18,26.0,26.0,1
2021-02-19,34.0,34.0,1
2021-02-20,50.0,50.0,1
2021-02-21,23.0,23.0,1
2021-02-22,33.0,33.0,1
2021-02-23,49.0,49.0,1
2021-02-24,50.0,50.0,1
2021-02-25,60.0,60.0,1
2021-02-26,53.0,53.0,1
2021-02-27,96.0,96.0,1
2021-02-28,71.0,71.0,1
2021-03-01,58.0,58.0,1
2021-03-02,86.0,86.0,1
2021-03-03,56.0,56.0,1
2021-03-04,63.0,63.0,1
2021-03-05,84.0,84.0,1
2021-03-06,59.0,59.0,1
2021-03-07,32.0,32.0,1
2021-03-08,29.0,29.0,1
2021-03-09,76.0,76.0,1
2021-03-10,67.0,67.0,1
2021-03-11,87.0,87.0,1
2021-03-12,72.0,72.0,1
2021-03-13,76.0,76.0,1
2021-03-14,68.0,68.0,1
2021-03-15,62.0,62.0,1
2021-03-16,77.0,77.0,1
2021-03-17,80.0,80.0,1
2021-03-18,77.0,77.0,1
2021-03-19,64.0,64.0,1
2021-03-20,45.0,45.0,1
2021-03-21,67.0,67.0,1
2021-03-22,57.0,57.0,1
2021-03-23,61.0,61.0,1
2021-03-24,73.0,73.0,1
2021-03-25,36.0,36.0,1
2021-03-26,37.0,37.0,1
2021-03-27,46.0,46.0,1
2021-03-28,53.0,53.0,1
2021-03-29,17.0,17.0,1
2021-03-30,76.0,76.0,1
2021-03-31,43.0,43.0,1
2021-04-01,54.0,54.0,1
2021-04-02,55.0,55.0,1
2021-04-03,37.0,37.0,1
2021-04-04,53.0,53.0,1
2021-04-05,20.0,20.0,1
2021-04-06,40.0,40.0,1
2021-04-07,60.0,60.0,1
2021-04-08,69.0,69.0,1
2021-04-09,50.0,50.0,1
2021-04-10,79.0,79.0,1
2021-04-11,83.0,83.0,1
2021-04-12,68.0,68.0,1
2021-04-13,50.0,50.0,1
2021-04-14,48.0,48.0,1
2021-04-15,72.0,72.0,1
2021-04-16,99.0,99.0,1
2021-04-17,67.0,67.0,1
2021-04-18,86.0,86.0,1
2021-04-19,47.0,47.0,1
2021-04-20,62.0,62.0,1
2021-04-21,72.0,72.0,1
2021-04-22,67.0,67.0,1
2021-04-23,70.0,70.0,1
2021-04-24,85.0,85.0,1
2021-04-25,59.0,59.0,1
2021-04-26,67.0,67.0,1
2021-04-27,36.0,36.0,1
2021-04-28,89.0,89.0,1
2021-04-29,76.0,76.0,1
2021-04-30,55.0,55.0,1
2021-05-01,78.0,78.0,1
2021-05-02,88.0,88.0,1
2021-05-03,53.0,53.0,1
2021-05-04,78.0,78.0,1
2021-05-05,61.0,61.0,1
2021-05-06,73.0,73.0,1
2021-05-07,82.0,82.0,1
2021-05-08,86.0,86.0,1
2021-05-09,69.0,69.0,1
2021-05-10,63.0,63.0,1
2021-05-11,56.0,56.0,1
2021-05-12,100.0,100.0,1
2021-05-13,92.0,92.0,1
2021-05-14,52.0,52.0,1
