date,/m/0ytgt_0,/m/0ytgt,batch_id
2021-02-01,75.0,75.0,1
2021-02-02,66.0,66.0,1
2021-02-03,73.0,73.0,1
2021-02-04,86.0,86.0,1
2021-02-05,74.0,74.0,1
2021-02-06,90.0,90.0,1
2021-02-07,85.0,85.0,1
2021-02-08,70.0,70.0,1
2021-02-09,65.0,65.0,1
2021-02-10,71.0,71.0,1
2021-02-11,60.0,60.0,1
2021-02-12,64.0,64.0,1
2021-02-13,74.0,74.0,1
2021-02-14,89.0,89.0,1
2021-02-15,61.0,61.0,1
2021-02-16,71.0,71.0,1
2021-02-17,66.0,66.0,1
2021-02-18,72.0,72.0,1
2021-02-19,68.0,68.0,1
2021-02-20,75.0,75.0,1
2021-02-21,78.0,78.0,1
2021-02-22,74.0,74.0,1
2021-02-23,68.0,68.0,1
2021-02-24,59.0,59.0,1
2021-02-25,62.0,62.0,1
2021-02-26,63.0,63.0,1
2021-02-27,76.0,76.0,1
2021-02-28,83.0,83.0,1
2021-03-01,72.0,72.0,1
2021-03-02,70.0,70.0,1
2021-03-03,72.0,72.0,1
2021-03-04,67.0,67.0,1
2021-03-05,67.0,67.0,1
2021-03-06,80.0,80.0,1
2021-03-07,87.0,87.0,1
2021-03-08,73.0,73.0,1
2021-03-09,71.0,71.0,1
2021-03-10,72.0,72.0,1
2021-03-11,73.0,73.0,1
2021-03-12,65.0,65.0,1
2021-03-13,63.0,63.0,1
2021-03-14,89.0,89.0,1
2021-03-15,67.0,67.0,1
2021-03-16,69.0,69.0,1
2021-03-17,70.0,70.0,1
2021-03-18,71.0,71.0,1
2021-03-19,75.0,75.0,1
2021-03-20,80.0,80.0,1
2021-03-21,88.0,88.0,1
2021-03-22,85.0,85.0,1
2021-03-23,66.0,66.0,1
2021-03-24,64.0,64.0,1
2021-03-25,77.0,77.0,1
2021-03-26,77.0,77.0,1
2021-03-27,84.0,84.0,1
2021-03-28,100.0,100.0,1
2021-03-29,84.0,84.0,1
2021-03-30,81.0,81.0,1
2021-03-31,72.0,72.0,1
2021-04-01,82.0,82.0,1
2021-04-02,64.0,64.0,1
2021-04-03,77.0,77.0,1
2021-04-04,79.0,79.0,1
2021-04-05,72.0,72.0,1
2021-04-06,65.0,65.0,1
2021-04-07,79.0,79.0,1
2021-04-08,73.0,73.0,1
2021-04-09,67.0,67.0,1
2021-04-10,75.0,75.0,1
2021-04-11,84.0,84.0,1
2021-04-12,66.0,66.0,1
2021-04-13,69.0,69.0,1
2021-04-14,60.0,60.0,1
2021-04-15,70.0,70.0,1
2021-04-16,60.0,60.0,1
2021-04-17,89.0,89.0,1
2021-04-18,77.0,77.0,1
2021-04-19,65.0,65.0,1
2021-04-20,52.0,52.0,1
2021-04-21,69.0,69.0,1
2021-04-22,75.0,75.0,1
2021-04-23,60.0,60.0,1
2021-04-24,71.0,71.0,1
2021-04-25,89.0,89.0,1
2021-04-26,63.0,63.0,1
2021-04-27,65.0,65.0,1
2021-04-28,61.0,61.0,1
2021-04-29,70.0,70.0,1
2021-04-30,68.0,68.0,1
2021-05-01,82.0,82.0,1
2021-05-02,78.0,78.0,1
2021-05-03,69.0,69.0,1
2021-05-04,67.0,67.0,1
2021-05-05,67.0,67.0,1
2021-05-06,65.0,65.0,1
2021-05-07,68.0,68.0,1
2021-05-08,77.0,77.0,1
2021-05-09,82.0,82.0,1
2021-05-10,70.0,70.0,1
2021-05-11,66.0,66.0,1
2021-05-12,66.0,66.0,1
2021-05-13,76.0,76.0,1
2021-05-14,69.0,69.0,1
