date,/m/09y4pm_0,/m/09y4pm,batch_id
2021-02-01,57.0,57.0,1
2021-02-02,61.0,61.0,1
2021-02-03,82.0,82.0,1
2021-02-04,64.0,64.0,1
2021-02-05,45.0,45.0,1
2021-02-06,38.0,38.0,1
2021-02-07,24.0,24.0,1
2021-02-08,43.0,43.0,1
2021-02-09,44.0,44.0,1
2021-02-10,48.0,48.0,1
2021-02-11,36.0,36.0,1
2021-02-12,77.0,77.0,1
2021-02-13,36.0,36.0,1
2021-02-14,36.0,36.0,1
2021-02-15,100.0,100.0,1
2021-02-16,55.0,55.0,1
2021-02-17,86.0,86.0,1
2021-02-18,49.0,49.0,1
2021-02-19,57.0,57.0,1
2021-02-20,49.0,49.0,1
2021-02-21,38.0,38.0,1
2021-02-22,63.0,63.0,1
2021-02-23,87.0,87.0,1
2021-02-24,60.0,60.0,1
2021-02-25,92.0,92.0,1
2021-02-26,37.0,37.0,1
2021-02-27,61.0,61.0,1
2021-02-28,69.0,69.0,1
2021-03-01,75.0,75.0,1
2021-03-02,69.0,69.0,1
2021-03-03,74.0,74.0,1
2021-03-04,91.0,91.0,1
2021-03-05,37.0,37.0,1
2021-03-06,26.0,26.0,1
2021-03-07,35.0,35.0,1
2021-03-08,76.0,76.0,1
2021-03-09,74.0,74.0,1
2021-03-10,62.0,62.0,1
2021-03-11,49.0,49.0,1
2021-03-12,50.0,50.0,1
2021-03-13,38.0,38.0,1
2021-03-14,52.0,52.0,1
2021-03-15,42.0,42.0,1
2021-03-16,88.0,88.0,1
2021-03-17,71.0,71.0,1
2021-03-18,72.0,72.0,1
2021-03-19,56.0,56.0,1
2021-03-20,26.0,26.0,1
2021-03-21,78.0,78.0,1
2021-03-22,53.0,53.0,1
2021-03-23,84.0,84.0,1
2021-03-24,66.0,66.0,1
2021-03-25,41.0,41.0,1
2021-03-26,42.0,42.0,1
2021-03-27,54.0,54.0,1
2021-03-28,32.0,32.0,1
2021-03-29,65.0,65.0,1
2021-03-30,53.0,53.0,1
2021-03-31,79.0,79.0,1
2021-04-01,52.0,52.0,1
2021-04-02,58.0,58.0,1
2021-04-03,26.0,26.0,1
2021-04-04,42.0,42.0,1
2021-04-05,55.0,55.0,1
2021-04-06,17.0,17.0,1
2021-04-07,53.0,53.0,1
2021-04-08,45.0,45.0,1
2021-04-09,69.0,69.0,1
2021-04-10,9.0,9.0,1
2021-04-11,29.0,29.0,1
2021-04-12,69.0,69.0,1
2021-04-13,64.0,64.0,1
2021-04-14,80.0,80.0,1
2021-04-15,55.0,55.0,1
2021-04-16,28.0,28.0,1
2021-04-17,36.0,36.0,1
2021-04-18,21.0,21.0,1
2021-04-19,52.0,52.0,1
2021-04-20,58.0,58.0,1
2021-04-21,91.0,91.0,1
2021-04-22,60.0,60.0,1
2021-04-23,63.0,63.0,1
2021-04-24,43.0,43.0,1
2021-04-25,36.0,36.0,1
2021-04-26,62.0,62.0,1
2021-04-27,60.0,60.0,1
2021-04-28,73.0,73.0,1
2021-04-29,83.0,83.0,1
2021-04-30,58.0,58.0,1
2021-05-01,49.0,49.0,1
2021-05-02,44.0,44.0,1
2021-05-03,87.0,87.0,1
2021-05-04,50.0,50.0,1
2021-05-05,42.0,42.0,1
2021-05-06,66.0,66.0,1
2021-05-07,50.0,50.0,1
2021-05-08,40.0,40.0,1
2021-05-09,32.0,32.0,1
2021-05-10,70.0,70.0,1
2021-05-11,43.0,43.0,1
2021-05-12,94.0,94.0,1
2021-05-13,71.0,71.0,1
2021-05-14,43.0,43.0,1
