date,/m/05904_0,/m/05904,batch_id
2021-02-01,21.0,21.0,1
2021-02-02,42.0,42.0,1
2021-02-03,62.0,62.0,1
2021-02-04,55.0,55.0,1
2021-02-05,32.0,32.0,1
2021-02-06,91.0,91.0,1
2021-02-07,23.0,23.0,1
2021-02-08,21.0,21.0,1
2021-02-09,0.0,0.0,1
2021-02-10,84.0,84.0,1
2021-02-11,32.0,32.0,1
2021-02-12,11.0,11.0,1
2021-02-13,49.0,49.0,1
2021-02-14,73.0,73.0,1
2021-02-15,21.0,21.0,1
2021-02-16,33.0,33.0,1
2021-02-17,0.0,0.0,1
2021-02-18,32.0,32.0,1
2021-02-19,11.0,11.0,1
2021-02-20,26.0,26.0,1
2021-02-21,52.0,52.0,1
2021-02-22,30.0,30.0,1
2021-02-23,22.0,22.0,1
2021-02-24,55.0,55.0,1
2021-02-25,55.0,55.0,1
2021-02-26,55.0,55.0,1
2021-02-27,61.0,61.0,1
2021-02-28,36.0,36.0,1
2021-03-01,11.0,11.0,1
2021-03-02,55.0,55.0,1
2021-03-03,33.0,33.0,1
2021-03-04,31.0,31.0,1
2021-03-05,22.0,22.0,1
2021-03-06,12.0,12.0,1
2021-03-07,24.0,24.0,1
2021-03-08,32.0,32.0,1
2021-03-09,63.0,63.0,1
2021-03-10,21.0,21.0,1
2021-03-11,11.0,11.0,1
2021-03-12,44.0,44.0,1
2021-03-13,46.0,46.0,1
2021-03-14,11.0,11.0,1
2021-03-15,100.0,100.0,1
2021-03-16,74.0,74.0,1
2021-03-17,32.0,32.0,1
2021-03-18,86.0,86.0,1
2021-03-19,45.0,45.0,1
2021-03-20,50.0,50.0,1
2021-03-21,23.0,23.0,1
2021-03-22,32.0,32.0,1
2021-03-23,43.0,43.0,1
2021-03-24,64.0,64.0,1
2021-03-25,44.0,44.0,1
2021-03-26,45.0,45.0,1
2021-03-27,47.0,47.0,1
2021-03-28,51.0,51.0,1
2021-03-29,34.0,34.0,1
2021-03-30,35.0,35.0,1
2021-03-31,48.0,48.0,1
2021-04-01,68.0,68.0,1
2021-04-02,58.0,58.0,1
2021-04-03,75.0,75.0,1
2021-04-04,25.0,25.0,1
2021-04-05,44.0,44.0,1
2021-04-06,41.0,41.0,1
2021-04-07,53.0,53.0,1
2021-04-08,65.0,65.0,1
2021-04-09,67.0,67.0,1
2021-04-10,44.0,44.0,1
2021-04-11,35.0,35.0,1
2021-04-12,21.0,21.0,1
2021-04-13,22.0,22.0,1
2021-04-14,21.0,21.0,1
2021-04-15,44.0,44.0,1
2021-04-16,57.0,57.0,1
2021-04-17,0.0,0.0,1
2021-04-18,25.0,25.0,1
2021-04-19,21.0,21.0,1
2021-04-20,22.0,22.0,1
2021-04-21,22.0,22.0,1
2021-04-22,56.0,56.0,1
2021-04-23,35.0,35.0,1
2021-04-24,26.0,26.0,1
2021-04-25,0.0,0.0,1
2021-04-26,53.0,53.0,1
2021-04-27,66.0,66.0,1
2021-04-28,55.0,55.0,1
2021-04-29,63.0,63.0,1
2021-04-30,43.0,43.0,1
2021-05-01,36.0,36.0,1
2021-05-02,24.0,24.0,1
2021-05-03,10.0,10.0,1
2021-05-04,50.0,50.0,1
2021-05-05,61.0,61.0,1
2021-05-06,53.0,53.0,1
2021-05-07,44.0,44.0,1
2021-05-08,24.0,24.0,1
2021-05-09,26.0,26.0,1
2021-05-10,63.0,63.0,1
2021-05-11,41.0,41.0,1
2021-05-12,32.0,32.0,1
2021-05-13,23.0,23.0,1
2021-05-14,23.0,23.0,1
