date,/m/07s6ctl_0,/m/07s6ctl,batch_id
2021-02-01,44.0,44.0,1
2021-02-02,100.0,100.0,1
2021-02-03,56.0,56.0,1
2021-02-04,33.0,33.0,1
2021-02-05,32.0,32.0,1
2021-02-06,21.0,21.0,1
2021-02-07,14.0,14.0,1
2021-02-08,81.0,81.0,1
2021-02-09,51.0,51.0,1
2021-02-10,50.0,50.0,1
2021-02-11,26.0,26.0,1
2021-02-12,20.0,20.0,1
2021-02-13,0.0,0.0,1
2021-02-14,15.0,15.0,1
2021-02-15,38.0,38.0,1
2021-02-16,26.0,26.0,1
2021-02-17,26.0,26.0,1
2021-02-18,64.0,64.0,1
2021-02-19,7.0,7.0,1
2021-02-20,23.0,23.0,1
2021-02-21,8.0,8.0,1
2021-02-22,49.0,49.0,1
2021-02-23,53.0,53.0,1
2021-02-24,20.0,20.0,1
2021-02-25,33.0,33.0,1
2021-02-26,13.0,13.0,1
2021-02-27,22.0,22.0,1
2021-02-28,28.0,28.0,1
2021-03-01,19.0,19.0,1
2021-03-02,59.0,59.0,1
2021-03-03,20.0,20.0,1
2021-03-04,31.0,31.0,1
2021-03-05,74.0,74.0,1
2021-03-06,30.0,30.0,1
2021-03-07,28.0,28.0,1
2021-03-08,64.0,64.0,1
2021-03-09,19.0,19.0,1
2021-03-10,45.0,45.0,1
2021-03-11,32.0,32.0,1
2021-03-12,59.0,59.0,1
2021-03-13,55.0,55.0,1
2021-03-14,34.0,34.0,1
2021-03-15,55.0,55.0,1
2021-03-16,28.0,28.0,1
2021-03-17,25.0,25.0,1
2021-03-18,26.0,26.0,1
2021-03-19,40.0,40.0,1
2021-03-20,30.0,30.0,1
2021-03-21,21.0,21.0,1
2021-03-22,38.0,38.0,1
2021-03-23,64.0,64.0,1
2021-03-24,13.0,13.0,1
2021-03-25,0.0,0.0,1
2021-03-26,20.0,20.0,1
2021-03-27,28.0,28.0,1
2021-03-28,23.0,23.0,1
2021-03-29,34.0,34.0,1
2021-03-30,21.0,21.0,1
2021-03-31,29.0,29.0,1
2021-04-01,7.0,7.0,1
2021-04-02,21.0,21.0,1
2021-04-03,22.0,22.0,1
2021-04-04,23.0,23.0,1
2021-04-05,27.0,27.0,1
2021-04-06,43.0,43.0,1
2021-04-07,19.0,19.0,1
2021-04-08,52.0,52.0,1
2021-04-09,20.0,20.0,1
2021-04-10,33.0,33.0,1
2021-04-11,28.0,28.0,1
2021-04-12,75.0,75.0,1
2021-04-13,79.0,79.0,1
2021-04-14,45.0,45.0,1
2021-04-15,59.0,59.0,1
2021-04-16,48.0,48.0,1
2021-04-17,22.0,22.0,1
2021-04-18,22.0,22.0,1
2021-04-19,44.0,44.0,1
2021-04-20,52.0,52.0,1
2021-04-21,13.0,13.0,1
2021-04-22,33.0,33.0,1
2021-04-23,21.0,21.0,1
2021-04-24,23.0,23.0,1
2021-04-25,29.0,29.0,1
2021-04-26,45.0,45.0,1
2021-04-27,20.0,20.0,1
2021-04-28,46.0,46.0,1
2021-04-29,50.0,50.0,1
2021-04-30,26.0,26.0,1
2021-05-01,21.0,21.0,1
2021-05-02,14.0,14.0,1
2021-05-03,6.0,6.0,1
2021-05-04,18.0,18.0,1
2021-05-05,49.0,49.0,1
2021-05-06,38.0,38.0,1
2021-05-07,33.0,33.0,1
2021-05-08,21.0,21.0,1
2021-05-09,23.0,23.0,1
2021-05-10,19.0,19.0,1
2021-05-11,49.0,49.0,1
2021-05-12,26.0,26.0,1
2021-05-13,54.0,54.0,1
2021-05-14,42.0,42.0,1
