date,/m/03rk0_0,/m/03rk0,batch_id
2021-02-01,34.0,34.0,1
2021-02-02,30.0,30.0,1
2021-02-03,24.0,24.0,1
2021-02-04,51.0,51.0,1
2021-02-05,25.0,25.0,1
2021-02-06,31.0,31.0,1
2021-02-07,47.0,47.0,1
2021-02-08,32.0,32.0,1
2021-02-09,49.0,49.0,1
2021-02-10,32.0,32.0,1
2021-02-11,29.0,29.0,1
2021-02-12,32.0,32.0,1
2021-02-13,21.0,21.0,1
2021-02-14,28.0,28.0,1
2021-02-15,28.0,28.0,1
2021-02-16,34.0,34.0,1
2021-02-17,21.0,21.0,1
2021-02-18,46.0,46.0,1
2021-02-19,29.0,29.0,1
2021-02-20,38.0,38.0,1
2021-02-21,33.0,33.0,1
2021-02-22,27.0,27.0,1
2021-02-23,26.0,26.0,1
2021-02-24,32.0,32.0,1
2021-02-25,26.0,26.0,1
2021-02-26,28.0,28.0,1
2021-02-27,38.0,38.0,1
2021-02-28,34.0,34.0,1
2021-03-01,16.0,16.0,1
2021-03-02,42.0,42.0,1
2021-03-03,36.0,36.0,1
2021-03-04,22.0,22.0,1
2021-03-05,19.0,19.0,1
2021-03-06,48.0,48.0,1
2021-03-07,23.0,23.0,1
2021-03-08,37.0,37.0,1
2021-03-09,22.0,22.0,1
2021-03-10,35.0,35.0,1
2021-03-11,39.0,39.0,1
2021-03-12,30.0,30.0,1
2021-03-13,29.0,29.0,1
2021-03-14,39.0,39.0,1
2021-03-15,18.0,18.0,1
2021-03-16,28.0,28.0,1
2021-03-17,23.0,23.0,1
2021-03-18,44.0,44.0,1
2021-03-19,35.0,35.0,1
2021-03-20,17.0,17.0,1
2021-03-21,36.0,36.0,1
2021-03-22,33.0,33.0,1
2021-03-23,33.0,33.0,1
2021-03-24,23.0,23.0,1
2021-03-25,23.0,23.0,1
2021-03-26,33.0,33.0,1
2021-03-27,41.0,41.0,1
2021-03-28,29.0,29.0,1
2021-03-29,17.0,17.0,1
2021-03-30,34.0,34.0,1
2021-03-31,28.0,28.0,1
2021-04-01,46.0,46.0,1
2021-04-02,45.0,45.0,1
2021-04-03,29.0,29.0,1
2021-04-04,32.0,32.0,1
2021-04-05,26.0,26.0,1
2021-04-06,30.0,30.0,1
2021-04-07,37.0,37.0,1
2021-04-08,44.0,44.0,1
2021-04-09,26.0,26.0,1
2021-04-10,32.0,32.0,1
2021-04-11,40.0,40.0,1
2021-04-12,28.0,28.0,1
2021-04-13,34.0,34.0,1
2021-04-14,10.0,10.0,1
2021-04-15,46.0,46.0,1
2021-04-16,42.0,42.0,1
2021-04-17,29.0,29.0,1
2021-04-18,24.0,24.0,1
2021-04-19,34.0,34.0,1
2021-04-20,46.0,46.0,1
2021-04-21,66.0,66.0,1
2021-04-22,64.0,64.0,1
2021-04-23,76.0,76.0,1
2021-04-24,82.0,82.0,1
2021-04-25,100.0,100.0,1
2021-04-26,91.0,91.0,1
2021-04-27,92.0,92.0,1
2021-04-28,57.0,57.0,1
2021-04-29,65.0,65.0,1
2021-04-30,71.0,71.0,1
2021-05-01,73.0,73.0,1
2021-05-02,50.0,50.0,1
2021-05-03,68.0,68.0,1
2021-05-04,37.0,37.0,1
2021-05-05,35.0,35.0,1
2021-05-06,55.0,55.0,1
2021-05-07,34.0,34.0,1
2021-05-08,37.0,37.0,1
2021-05-09,42.0,42.0,1
2021-05-10,41.0,41.0,1
2021-05-11,50.0,50.0,1
2021-05-12,52.0,52.0,1
2021-05-13,55.0,55.0,1
2021-05-14,38.0,38.0,1
