date,/m/0fnyyf_0,/m/0fnyyf,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,44.0,44.0,1
2021-02-03,61.0,61.0,1
2021-02-04,47.0,47.0,1
2021-02-05,58.0,58.0,1
2021-02-06,24.0,24.0,1
2021-02-07,55.0,55.0,1
2021-02-08,28.0,28.0,1
2021-02-09,51.0,51.0,1
2021-02-10,50.0,50.0,1
2021-02-11,57.0,57.0,1
2021-02-12,47.0,47.0,1
2021-02-13,65.0,65.0,1
2021-02-14,46.0,46.0,1
2021-02-15,56.0,56.0,1
2021-02-16,47.0,47.0,1
2021-02-17,57.0,57.0,1
2021-02-18,52.0,52.0,1
2021-02-19,24.0,24.0,1
2021-02-20,35.0,35.0,1
2021-02-21,28.0,28.0,1
2021-02-22,27.0,27.0,1
2021-02-23,29.0,29.0,1
2021-02-24,53.0,53.0,1
2021-02-25,65.0,65.0,1
2021-02-26,70.0,70.0,1
2021-02-27,46.0,46.0,1
2021-02-28,57.0,57.0,1
2021-03-01,51.0,51.0,1
2021-03-02,53.0,53.0,1
2021-03-03,53.0,53.0,1
2021-03-04,33.0,33.0,1
2021-03-05,36.0,36.0,1
2021-03-06,13.0,13.0,1
2021-03-07,70.0,70.0,1
2021-03-08,57.0,57.0,1
2021-03-09,61.0,61.0,1
2021-03-10,68.0,68.0,1
2021-03-11,28.0,28.0,1
2021-03-12,58.0,58.0,1
2021-03-13,43.0,43.0,1
2021-03-14,30.0,30.0,1
2021-03-15,22.0,22.0,1
2021-03-16,24.0,24.0,1
2021-03-17,56.0,56.0,1
2021-03-18,80.0,80.0,1
2021-03-19,36.0,36.0,1
2021-03-20,67.0,67.0,1
2021-03-21,56.0,56.0,1
2021-03-22,79.0,79.0,1
2021-03-23,74.0,74.0,1
2021-03-24,23.0,23.0,1
2021-03-25,47.0,47.0,1
2021-03-26,48.0,48.0,1
2021-03-27,31.0,31.0,1
2021-03-28,40.0,40.0,1
2021-03-29,95.0,95.0,1
2021-03-30,56.0,56.0,1
2021-03-31,25.0,25.0,1
2021-04-01,85.0,85.0,1
2021-04-02,80.0,80.0,1
2021-04-03,53.0,53.0,1
2021-04-04,40.0,40.0,1
2021-04-05,24.0,24.0,1
2021-04-06,65.0,65.0,1
2021-04-07,50.0,50.0,1
2021-04-08,29.0,29.0,1
2021-04-09,41.0,41.0,1
2021-04-10,29.0,29.0,1
2021-04-11,31.0,31.0,1
2021-04-12,44.0,44.0,1
2021-04-13,41.0,41.0,1
2021-04-14,40.0,40.0,1
2021-04-15,35.0,35.0,1
2021-04-16,55.0,55.0,1
2021-04-17,53.0,53.0,1
2021-04-18,60.0,60.0,1
2021-04-19,39.0,39.0,1
2021-04-20,46.0,46.0,1
2021-04-21,47.0,47.0,1
2021-04-22,36.0,36.0,1
2021-04-23,49.0,49.0,1
2021-04-24,48.0,48.0,1
2021-04-25,33.0,33.0,1
2021-04-26,62.0,62.0,1
2021-04-27,41.0,41.0,1
2021-04-28,64.0,64.0,1
2021-04-29,45.0,45.0,1
2021-04-30,46.0,46.0,1
2021-05-01,69.0,69.0,1
2021-05-02,56.0,56.0,1
2021-05-03,100.0,100.0,1
2021-05-04,27.0,27.0,1
2021-05-05,76.0,76.0,1
2021-05-06,23.0,23.0,1
2021-05-07,76.0,76.0,1
2021-05-08,51.0,51.0,1
2021-05-09,34.0,34.0,1
2021-05-10,51.0,51.0,1
2021-05-11,44.0,44.0,1
2021-05-12,46.0,46.0,1
2021-05-13,36.0,36.0,1
2021-05-14,25.0,25.0,1
