date,/m/0dzd8_0,/m/0dzd8,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,60.0,60.0,1
2021-02-03,54.0,54.0,1
2021-02-04,57.0,57.0,1
2021-02-05,39.0,39.0,1
2021-02-06,65.0,65.0,1
2021-02-07,54.0,54.0,1
2021-02-08,43.0,43.0,1
2021-02-09,28.0,28.0,1
2021-02-10,60.0,60.0,1
2021-02-11,56.0,56.0,1
2021-02-12,17.0,17.0,1
2021-02-13,57.0,57.0,1
2021-02-14,13.0,13.0,1
2021-02-15,60.0,60.0,1
2021-02-16,28.0,28.0,1
2021-02-17,79.0,79.0,1
2021-02-18,28.0,28.0,1
2021-02-19,65.0,65.0,1
2021-02-20,27.0,27.0,1
2021-02-21,88.0,88.0,1
2021-02-22,69.0,69.0,1
2021-02-23,29.0,29.0,1
2021-02-24,69.0,69.0,1
2021-02-25,69.0,69.0,1
2021-02-26,75.0,75.0,1
2021-02-27,51.0,51.0,1
2021-02-28,86.0,86.0,1
2021-03-01,50.0,50.0,1
2021-03-02,23.0,23.0,1
2021-03-03,46.0,46.0,1
2021-03-04,22.0,22.0,1
2021-03-05,41.0,41.0,1
2021-03-06,26.0,26.0,1
2021-03-07,68.0,68.0,1
2021-03-08,50.0,50.0,1
2021-03-09,77.0,77.0,1
2021-03-10,56.0,56.0,1
2021-03-11,17.0,17.0,1
2021-03-12,51.0,51.0,1
2021-03-13,42.0,42.0,1
2021-03-14,65.0,65.0,1
2021-03-15,43.0,43.0,1
2021-03-16,62.0,62.0,1
2021-03-17,39.0,39.0,1
2021-03-18,50.0,50.0,1
2021-03-19,29.0,29.0,1
2021-03-20,91.0,91.0,1
2021-03-21,43.0,43.0,1
2021-03-22,55.0,55.0,1
2021-03-23,66.0,66.0,1
2021-03-24,66.0,66.0,1
2021-03-25,80.0,80.0,1
2021-03-26,47.0,47.0,1
2021-03-27,86.0,86.0,1
2021-03-28,53.0,53.0,1
2021-03-29,47.0,47.0,1
2021-03-30,48.0,48.0,1
2021-03-31,25.0,25.0,1
2021-04-01,53.0,53.0,1
2021-04-02,48.0,48.0,1
2021-04-03,26.0,26.0,1
2021-04-04,33.0,33.0,1
2021-04-05,52.0,52.0,1
2021-04-06,21.0,21.0,1
2021-04-07,27.0,27.0,1
2021-04-08,45.0,45.0,1
2021-04-09,46.0,46.0,1
2021-04-10,57.0,57.0,1
2021-04-11,24.0,24.0,1
2021-04-12,27.0,27.0,1
2021-04-13,52.0,52.0,1
2021-04-14,78.0,78.0,1
2021-04-15,28.0,28.0,1
2021-04-16,24.0,24.0,1
2021-04-17,78.0,78.0,1
2021-04-18,65.0,65.0,1
2021-04-19,60.0,60.0,1
2021-04-20,39.0,39.0,1
2021-04-21,23.0,23.0,1
2021-04-22,23.0,23.0,1
2021-04-23,48.0,48.0,1
2021-04-24,47.0,47.0,1
2021-04-25,77.0,77.0,1
2021-04-26,100.0,100.0,1
2021-04-27,52.0,52.0,1
2021-04-28,57.0,57.0,1
2021-04-29,49.0,49.0,1
2021-04-30,45.0,45.0,1
2021-05-01,68.0,68.0,1
2021-05-02,31.0,31.0,1
2021-05-03,38.0,38.0,1
2021-05-04,16.0,16.0,1
2021-05-05,11.0,11.0,1
2021-05-06,61.0,61.0,1
2021-05-07,34.0,34.0,1
2021-05-08,62.0,62.0,1
2021-05-09,33.0,33.0,1
2021-05-10,38.0,38.0,1
2021-05-11,43.0,43.0,1
2021-05-12,45.0,45.0,1
2021-05-13,53.0,53.0,1
2021-05-14,66.0,66.0,1
