date,/g/11f9_gl16q_0,/g/11f9_gl16q,batch_id
2021-02-01,72.0,72.0,1
2021-02-02,38.0,38.0,1
2021-02-03,38.0,38.0,1
2021-02-04,44.0,44.0,1
2021-02-05,66.0,66.0,1
2021-02-06,19.0,19.0,1
2021-02-07,5.0,5.0,1
2021-02-08,42.0,42.0,1
2021-02-09,43.0,43.0,1
2021-02-10,59.0,59.0,1
2021-02-11,39.0,39.0,1
2021-02-12,35.0,35.0,1
2021-02-13,5.0,5.0,1
2021-02-14,0.0,0.0,1
2021-02-15,17.0,17.0,1
2021-02-16,31.0,31.0,1
2021-02-17,39.0,39.0,1
2021-02-18,52.0,52.0,1
2021-02-19,19.0,19.0,1
2021-02-20,0.0,0.0,1
2021-02-21,16.0,16.0,1
2021-02-22,8.0,8.0,1
2021-02-23,63.0,63.0,1
2021-02-24,45.0,45.0,1
2021-02-25,36.0,36.0,1
2021-02-26,54.0,54.0,1
2021-02-27,5.0,5.0,1
2021-02-28,0.0,0.0,1
2021-03-01,52.0,52.0,1
2021-03-02,80.0,80.0,1
2021-03-03,31.0,31.0,1
2021-03-04,89.0,89.0,1
2021-03-05,100.0,100.0,1
2021-03-06,10.0,10.0,1
2021-03-07,19.0,19.0,1
2021-03-08,35.0,35.0,1
2021-03-09,34.0,34.0,1
2021-03-10,48.0,48.0,1
2021-03-11,65.0,65.0,1
2021-03-12,18.0,18.0,1
2021-03-13,14.0,14.0,1
2021-03-14,9.0,9.0,1
2021-03-15,41.0,41.0,1
2021-03-16,60.0,60.0,1
2021-03-17,26.0,26.0,1
2021-03-18,31.0,31.0,1
2021-03-19,23.0,23.0,1
2021-03-20,25.0,25.0,1
2021-03-21,5.0,5.0,1
2021-03-22,52.0,52.0,1
2021-03-23,60.0,60.0,1
2021-03-24,30.0,30.0,1
2021-03-25,58.0,58.0,1
2021-03-26,23.0,23.0,1
2021-03-27,5.0,5.0,1
2021-03-28,5.0,5.0,1
2021-03-29,68.0,68.0,1
2021-03-30,19.0,19.0,1
2021-03-31,24.0,24.0,1
2021-04-01,28.0,28.0,1
2021-04-02,23.0,23.0,1
2021-04-03,10.0,10.0,1
2021-04-04,0.0,0.0,1
2021-04-05,18.0,18.0,1
2021-04-06,8.0,8.0,1
2021-04-07,34.0,34.0,1
2021-04-08,49.0,49.0,1
2021-04-09,41.0,41.0,1
2021-04-10,9.0,9.0,1
2021-04-11,5.0,5.0,1
2021-04-12,55.0,55.0,1
2021-04-13,45.0,45.0,1
2021-04-14,30.0,30.0,1
2021-04-15,31.0,31.0,1
2021-04-16,23.0,23.0,1
2021-04-17,5.0,5.0,1
2021-04-18,5.0,5.0,1
2021-04-19,43.0,43.0,1
2021-04-20,22.0,22.0,1
2021-04-21,22.0,22.0,1
2021-04-22,14.0,14.0,1
2021-04-23,38.0,38.0,1
2021-04-24,16.0,16.0,1
2021-04-25,5.0,5.0,1
2021-04-26,39.0,39.0,1
2021-04-27,31.0,31.0,1
2021-04-28,31.0,31.0,1
2021-04-29,13.0,13.0,1
2021-04-30,44.0,44.0,1
2021-05-01,14.0,14.0,1
2021-05-02,5.0,5.0,1
2021-05-03,34.0,34.0,1
2021-05-04,24.0,24.0,1
2021-05-05,46.0,46.0,1
2021-05-06,39.0,39.0,1
2021-05-07,27.0,27.0,1
2021-05-08,10.0,10.0,1
2021-05-09,5.0,5.0,1
2021-05-10,39.0,39.0,1
2021-05-11,34.0,34.0,1
2021-05-12,48.0,48.0,1
2021-05-13,23.0,23.0,1
2021-05-14,19.0,19.0,1
