date,/m/012qjw_0,/m/012qjw,batch_id
2021-02-01,34.0,34.0,1
2021-02-02,45.0,45.0,1
2021-02-03,28.0,28.0,1
2021-02-04,53.0,53.0,1
2021-02-05,35.0,35.0,1
2021-02-06,24.0,24.0,1
2021-02-07,43.0,43.0,1
2021-02-08,33.0,33.0,1
2021-02-09,40.0,40.0,1
2021-02-10,22.0,22.0,1
2021-02-11,35.0,35.0,1
2021-02-12,53.0,53.0,1
2021-02-13,46.0,46.0,1
2021-02-14,52.0,52.0,1
2021-02-15,33.0,33.0,1
2021-02-16,23.0,23.0,1
2021-02-17,46.0,46.0,1
2021-02-18,23.0,23.0,1
2021-02-19,49.0,49.0,1
2021-02-20,42.0,42.0,1
2021-02-21,70.0,70.0,1
2021-02-22,33.0,33.0,1
2021-02-23,35.0,35.0,1
2021-02-24,59.0,59.0,1
2021-02-25,30.0,30.0,1
2021-02-26,59.0,59.0,1
2021-02-27,53.0,53.0,1
2021-02-28,44.0,44.0,1
2021-03-01,46.0,46.0,1
2021-03-02,35.0,35.0,1
2021-03-03,24.0,24.0,1
2021-03-04,39.0,39.0,1
2021-03-05,24.0,24.0,1
2021-03-06,26.0,26.0,1
2021-03-07,51.0,51.0,1
2021-03-08,40.0,40.0,1
2021-03-09,34.0,34.0,1
2021-03-10,46.0,46.0,1
2021-03-11,34.0,34.0,1
2021-03-12,41.0,41.0,1
2021-03-13,43.0,43.0,1
2021-03-14,54.0,54.0,1
2021-03-15,36.0,36.0,1
2021-03-16,39.0,39.0,1
2021-03-17,40.0,40.0,1
2021-03-18,46.0,46.0,1
2021-03-19,42.0,42.0,1
2021-03-20,67.0,67.0,1
2021-03-21,56.0,56.0,1
2021-03-22,46.0,46.0,1
2021-03-23,34.0,34.0,1
2021-03-24,11.0,11.0,1
2021-03-25,100.0,100.0,1
2021-03-26,24.0,24.0,1
2021-03-27,57.0,57.0,1
2021-03-28,41.0,41.0,1
2021-03-29,30.0,30.0,1
2021-03-30,68.0,68.0,1
2021-03-31,51.0,51.0,1
2021-04-01,30.0,30.0,1
2021-04-02,25.0,25.0,1
2021-04-03,27.0,27.0,1
2021-04-04,34.0,34.0,1
2021-04-05,42.0,42.0,1
2021-04-06,38.0,38.0,1
2021-04-07,6.0,6.0,1
2021-04-08,35.0,35.0,1
2021-04-09,24.0,24.0,1
2021-04-10,47.0,47.0,1
2021-04-11,55.0,55.0,1
2021-04-12,39.0,39.0,1
2021-04-13,18.0,18.0,1
2021-04-14,29.0,29.0,1
2021-04-15,70.0,70.0,1
2021-04-16,24.0,24.0,1
2021-04-17,47.0,47.0,1
2021-04-18,33.0,33.0,1
2021-04-19,22.0,22.0,1
2021-04-20,40.0,40.0,1
2021-04-21,29.0,29.0,1
2021-04-22,48.0,48.0,1
2021-04-23,50.0,50.0,1
2021-04-24,41.0,41.0,1
2021-04-25,46.0,46.0,1
2021-04-26,29.0,29.0,1
2021-04-27,18.0,18.0,1
2021-04-28,41.0,41.0,1
2021-04-29,56.0,56.0,1
2021-04-30,34.0,34.0,1
2021-05-01,32.0,32.0,1
2021-05-02,44.0,44.0,1
2021-05-03,22.0,22.0,1
2021-05-04,43.0,43.0,1
2021-05-05,33.0,33.0,1
2021-05-06,57.0,57.0,1
2021-05-07,18.0,18.0,1
2021-05-08,26.0,26.0,1
2021-05-09,82.0,82.0,1
2021-05-10,51.0,51.0,1
2021-05-11,28.0,28.0,1
2021-05-12,35.0,35.0,1
2021-05-13,30.0,30.0,1
2021-05-14,68.0,68.0,1
