date,/m/0cs24_0,/m/0cs24,batch_id
2021-02-01,56.0,56.0,1
2021-02-02,22.0,22.0,1
2021-02-03,55.0,55.0,1
2021-02-04,58.0,58.0,1
2021-02-05,35.0,35.0,1
2021-02-06,36.0,36.0,1
2021-02-07,37.0,37.0,1
2021-02-08,67.0,67.0,1
2021-02-09,34.0,34.0,1
2021-02-10,67.0,67.0,1
2021-02-11,0.0,0.0,1
2021-02-12,47.0,47.0,1
2021-02-13,26.0,26.0,1
2021-02-14,52.0,52.0,1
2021-02-15,100.0,100.0,1
2021-02-16,47.0,47.0,1
2021-02-17,11.0,11.0,1
2021-02-18,0.0,0.0,1
2021-02-19,36.0,36.0,1
2021-02-20,69.0,69.0,1
2021-02-21,69.0,69.0,1
2021-02-22,65.0,65.0,1
2021-02-23,35.0,35.0,1
2021-02-24,35.0,35.0,1
2021-02-25,47.0,47.0,1
2021-02-26,47.0,47.0,1
2021-02-27,26.0,26.0,1
2021-02-28,25.0,25.0,1
2021-03-01,34.0,34.0,1
2021-03-02,35.0,35.0,1
2021-03-03,35.0,35.0,1
2021-03-04,11.0,11.0,1
2021-03-05,71.0,71.0,1
2021-03-06,92.0,92.0,1
2021-03-07,51.0,51.0,1
2021-03-08,34.0,34.0,1
2021-03-09,78.0,78.0,1
2021-03-10,46.0,46.0,1
2021-03-11,23.0,23.0,1
2021-03-12,58.0,58.0,1
2021-03-13,49.0,49.0,1
2021-03-14,36.0,36.0,1
2021-03-15,35.0,35.0,1
2021-03-16,88.0,88.0,1
2021-03-17,23.0,23.0,1
2021-03-18,57.0,57.0,1
2021-03-19,84.0,84.0,1
2021-03-20,93.0,93.0,1
2021-03-21,50.0,50.0,1
2021-03-22,68.0,68.0,1
2021-03-23,45.0,45.0,1
2021-03-24,68.0,68.0,1
2021-03-25,12.0,12.0,1
2021-03-26,60.0,60.0,1
2021-03-27,38.0,38.0,1
2021-03-28,13.0,13.0,1
2021-03-29,48.0,48.0,1
2021-03-30,49.0,49.0,1
2021-03-31,63.0,63.0,1
2021-04-01,72.0,72.0,1
2021-04-02,49.0,49.0,1
2021-04-03,53.0,53.0,1
2021-04-04,27.0,27.0,1
2021-04-05,24.0,24.0,1
2021-04-06,54.0,54.0,1
2021-04-07,56.0,56.0,1
2021-04-08,81.0,81.0,1
2021-04-09,24.0,24.0,1
2021-04-10,35.0,35.0,1
2021-04-11,73.0,73.0,1
2021-04-12,44.0,44.0,1
2021-04-13,35.0,35.0,1
2021-04-14,57.0,57.0,1
2021-04-15,35.0,35.0,1
2021-04-16,36.0,36.0,1
2021-04-17,53.0,53.0,1
2021-04-18,80.0,80.0,1
2021-04-19,67.0,67.0,1
2021-04-20,46.0,46.0,1
2021-04-21,47.0,47.0,1
2021-04-22,47.0,47.0,1
2021-04-23,74.0,74.0,1
2021-04-24,55.0,55.0,1
2021-04-25,65.0,65.0,1
2021-04-26,11.0,11.0,1
2021-04-27,71.0,71.0,1
2021-04-28,47.0,47.0,1
2021-04-29,22.0,22.0,1
2021-04-30,11.0,11.0,1
2021-05-01,63.0,63.0,1
2021-05-02,25.0,25.0,1
2021-05-03,33.0,33.0,1
2021-05-04,0.0,0.0,1
2021-05-05,43.0,43.0,1
2021-05-06,23.0,23.0,1
2021-05-07,35.0,35.0,1
2021-05-08,38.0,38.0,1
2021-05-09,54.0,54.0,1
2021-05-10,34.0,34.0,1
2021-05-11,11.0,11.0,1
2021-05-12,11.0,11.0,1
2021-05-13,36.0,36.0,1
2021-05-14,0.0,0.0,1
