date,/m/035zjb_0,/m/035zjb,batch_id
2021-02-01,55.0,55.0,1
2021-02-02,33.0,33.0,1
2021-02-03,22.0,22.0,1
2021-02-04,46.0,46.0,1
2021-02-05,34.0,34.0,1
2021-02-06,60.0,60.0,1
2021-02-07,48.0,48.0,1
2021-02-08,22.0,22.0,1
2021-02-09,67.0,67.0,1
2021-02-10,33.0,33.0,1
2021-02-11,79.0,79.0,1
2021-02-12,34.0,34.0,1
2021-02-13,26.0,26.0,1
2021-02-14,26.0,26.0,1
2021-02-15,44.0,44.0,1
2021-02-16,69.0,69.0,1
2021-02-17,45.0,45.0,1
2021-02-18,45.0,45.0,1
2021-02-19,24.0,24.0,1
2021-02-20,68.0,68.0,1
2021-02-21,14.0,14.0,1
2021-02-22,64.0,64.0,1
2021-02-23,12.0,12.0,1
2021-02-24,47.0,47.0,1
2021-02-25,70.0,70.0,1
2021-02-26,46.0,46.0,1
2021-02-27,26.0,26.0,1
2021-02-28,12.0,12.0,1
2021-03-01,45.0,45.0,1
2021-03-02,46.0,46.0,1
2021-03-03,35.0,35.0,1
2021-03-04,33.0,33.0,1
2021-03-05,47.0,47.0,1
2021-03-06,39.0,39.0,1
2021-03-07,37.0,37.0,1
2021-03-08,56.0,56.0,1
2021-03-09,66.0,66.0,1
2021-03-10,45.0,45.0,1
2021-03-11,56.0,56.0,1
2021-03-12,35.0,35.0,1
2021-03-13,12.0,12.0,1
2021-03-14,47.0,47.0,1
2021-03-15,44.0,44.0,1
2021-03-16,58.0,58.0,1
2021-03-17,56.0,56.0,1
2021-03-18,68.0,68.0,1
2021-03-19,24.0,24.0,1
2021-03-20,53.0,53.0,1
2021-03-21,49.0,49.0,1
2021-03-22,56.0,56.0,1
2021-03-23,45.0,45.0,1
2021-03-24,67.0,67.0,1
2021-03-25,35.0,35.0,1
2021-03-26,59.0,59.0,1
2021-03-27,50.0,50.0,1
2021-03-28,27.0,27.0,1
2021-03-29,82.0,82.0,1
2021-03-30,61.0,61.0,1
2021-03-31,38.0,38.0,1
2021-04-01,36.0,36.0,1
2021-04-02,85.0,85.0,1
2021-04-03,92.0,92.0,1
2021-04-04,13.0,13.0,1
2021-04-05,23.0,23.0,1
2021-04-06,54.0,54.0,1
2021-04-07,66.0,66.0,1
2021-04-08,34.0,34.0,1
2021-04-09,70.0,70.0,1
2021-04-10,58.0,58.0,1
2021-04-11,85.0,85.0,1
2021-04-12,44.0,44.0,1
2021-04-13,81.0,81.0,1
2021-04-14,79.0,79.0,1
2021-04-15,46.0,46.0,1
2021-04-16,96.0,96.0,1
2021-04-17,39.0,39.0,1
2021-04-18,52.0,52.0,1
2021-04-19,66.0,66.0,1
2021-04-20,45.0,45.0,1
2021-04-21,92.0,92.0,1
2021-04-22,58.0,58.0,1
2021-04-23,24.0,24.0,1
2021-04-24,40.0,40.0,1
2021-04-25,52.0,52.0,1
2021-04-26,56.0,56.0,1
2021-04-27,58.0,58.0,1
2021-04-28,58.0,58.0,1
2021-04-29,44.0,44.0,1
2021-04-30,23.0,23.0,1
2021-05-01,25.0,25.0,1
2021-05-02,49.0,49.0,1
2021-05-03,44.0,44.0,1
2021-05-04,52.0,52.0,1
2021-05-05,64.0,64.0,1
2021-05-06,100.0,100.0,1
2021-05-07,46.0,46.0,1
2021-05-08,50.0,50.0,1
2021-05-09,67.0,67.0,1
2021-05-10,66.0,66.0,1
2021-05-11,32.0,32.0,1
2021-05-12,45.0,45.0,1
2021-05-13,24.0,24.0,1
2021-05-14,36.0,36.0,1
