date,/m/025rs2z_0,/m/025rs2z,batch_id
2021-02-01,75.0,75.0,1
2021-02-02,73.0,73.0,1
2021-02-03,47.0,47.0,1
2021-02-04,47.0,47.0,1
2021-02-05,66.0,66.0,1
2021-02-06,80.0,80.0,1
2021-02-07,71.0,71.0,1
2021-02-08,74.0,74.0,1
2021-02-09,83.0,83.0,1
2021-02-10,61.0,61.0,1
2021-02-11,57.0,57.0,1
2021-02-12,65.0,65.0,1
2021-02-13,73.0,73.0,1
2021-02-14,83.0,83.0,1
2021-02-15,61.0,61.0,1
2021-02-16,84.0,84.0,1
2021-02-17,90.0,90.0,1
2021-02-18,100.0,100.0,1
2021-02-19,85.0,85.0,1
2021-02-20,58.0,58.0,1
2021-02-21,71.0,71.0,1
2021-02-22,57.0,57.0,1
2021-02-23,68.0,68.0,1
2021-02-24,53.0,53.0,1
2021-02-25,71.0,71.0,1
2021-02-26,95.0,95.0,1
2021-02-27,65.0,65.0,1
2021-02-28,73.0,73.0,1
2021-03-01,53.0,53.0,1
2021-03-02,62.0,62.0,1
2021-03-03,57.0,57.0,1
2021-03-04,66.0,66.0,1
2021-03-05,70.0,70.0,1
2021-03-06,90.0,90.0,1
2021-03-07,61.0,61.0,1
2021-03-08,73.0,73.0,1
2021-03-09,75.0,75.0,1
2021-03-10,82.0,82.0,1
2021-03-11,59.0,59.0,1
2021-03-12,60.0,60.0,1
2021-03-13,76.0,76.0,1
2021-03-14,69.0,69.0,1
2021-03-15,80.0,80.0,1
2021-03-16,90.0,90.0,1
2021-03-17,65.0,65.0,1
2021-03-18,78.0,78.0,1
2021-03-19,60.0,60.0,1
2021-03-20,92.0,92.0,1
2021-03-21,56.0,56.0,1
2021-03-22,80.0,80.0,1
2021-03-23,51.0,51.0,1
2021-03-24,67.0,67.0,1
2021-03-25,49.0,49.0,1
2021-03-26,49.0,49.0,1
2021-03-27,75.0,75.0,1
2021-03-28,46.0,46.0,1
2021-03-29,50.0,50.0,1
2021-03-30,46.0,46.0,1
2021-03-31,65.0,65.0,1
2021-04-01,54.0,54.0,1
2021-04-02,50.0,50.0,1
2021-04-03,68.0,68.0,1
2021-04-04,69.0,69.0,1
2021-04-05,68.0,68.0,1
2021-04-06,75.0,75.0,1
2021-04-07,75.0,75.0,1
2021-04-08,61.0,61.0,1
2021-04-09,63.0,63.0,1
2021-04-10,38.0,38.0,1
2021-04-11,74.0,74.0,1
2021-04-12,67.0,67.0,1
2021-04-13,69.0,69.0,1
2021-04-14,62.0,62.0,1
2021-04-15,72.0,72.0,1
2021-04-16,51.0,51.0,1
2021-04-17,68.0,68.0,1
2021-04-18,64.0,64.0,1
2021-04-19,49.0,49.0,1
2021-04-20,50.0,50.0,1
2021-04-21,53.0,53.0,1
2021-04-22,55.0,55.0,1
2021-04-23,79.0,79.0,1
2021-04-24,70.0,70.0,1
2021-04-25,73.0,73.0,1
2021-04-26,62.0,62.0,1
2021-04-27,48.0,48.0,1
2021-04-28,60.0,60.0,1
2021-04-29,70.0,70.0,1
2021-04-30,71.0,71.0,1
2021-05-01,47.0,47.0,1
2021-05-02,60.0,60.0,1
2021-05-03,52.0,52.0,1
2021-05-04,50.0,50.0,1
2021-05-05,51.0,51.0,1
2021-05-06,70.0,70.0,1
2021-05-07,89.0,89.0,1
2021-05-08,67.0,67.0,1
2021-05-09,76.0,76.0,1
2021-05-10,65.0,65.0,1
2021-05-11,74.0,74.0,1
2021-05-12,48.0,48.0,1
2021-05-13,62.0,62.0,1
2021-05-14,59.0,59.0,1
