date,/m/061s4_0,/m/061s4,batch_id
2021-02-01,24.0,24.0,1
2021-02-02,59.0,59.0,1
2021-02-03,35.0,35.0,1
2021-02-04,12.0,12.0,1
2021-02-05,0.0,0.0,1
2021-02-06,26.0,26.0,1
2021-02-07,0.0,0.0,1
2021-02-08,24.0,24.0,1
2021-02-09,24.0,24.0,1
2021-02-10,24.0,24.0,1
2021-02-11,37.0,37.0,1
2021-02-12,25.0,25.0,1
2021-02-13,14.0,14.0,1
2021-02-14,0.0,0.0,1
2021-02-15,12.0,12.0,1
2021-02-16,12.0,12.0,1
2021-02-17,61.0,61.0,1
2021-02-18,37.0,37.0,1
2021-02-19,0.0,0.0,1
2021-02-20,44.0,44.0,1
2021-02-21,15.0,15.0,1
2021-02-22,80.0,80.0,1
2021-02-23,12.0,12.0,1
2021-02-24,13.0,13.0,1
2021-02-25,50.0,50.0,1
2021-02-26,63.0,63.0,1
2021-02-27,14.0,14.0,1
2021-02-28,54.0,54.0,1
2021-03-01,12.0,12.0,1
2021-03-02,12.0,12.0,1
2021-03-03,0.0,0.0,1
2021-03-04,35.0,35.0,1
2021-03-05,13.0,13.0,1
2021-03-06,14.0,14.0,1
2021-03-07,40.0,40.0,1
2021-03-08,85.0,85.0,1
2021-03-09,24.0,24.0,1
2021-03-10,12.0,12.0,1
2021-03-11,0.0,0.0,1
2021-03-12,37.0,37.0,1
2021-03-13,52.0,52.0,1
2021-03-14,13.0,13.0,1
2021-03-15,19.0,19.0,1
2021-03-16,73.0,73.0,1
2021-03-17,60.0,60.0,1
2021-03-18,49.0,49.0,1
2021-03-19,38.0,38.0,1
2021-03-20,43.0,43.0,1
2021-03-21,13.0,13.0,1
2021-03-22,36.0,36.0,1
2021-03-23,48.0,48.0,1
2021-03-24,36.0,36.0,1
2021-03-25,25.0,25.0,1
2021-03-26,51.0,51.0,1
2021-03-27,13.0,13.0,1
2021-03-28,43.0,43.0,1
2021-03-29,63.0,63.0,1
2021-03-30,13.0,13.0,1
2021-03-31,54.0,54.0,1
2021-04-01,26.0,26.0,1
2021-04-02,39.0,39.0,1
2021-04-03,56.0,56.0,1
2021-04-04,0.0,0.0,1
2021-04-05,38.0,38.0,1
2021-04-06,0.0,0.0,1
2021-04-07,24.0,24.0,1
2021-04-08,25.0,25.0,1
2021-04-09,50.0,50.0,1
2021-04-10,100.0,100.0,1
2021-04-11,0.0,0.0,1
2021-04-12,12.0,12.0,1
2021-04-13,37.0,37.0,1
2021-04-14,0.0,0.0,1
2021-04-15,12.0,12.0,1
2021-04-16,52.0,52.0,1
2021-04-17,28.0,28.0,1
2021-04-18,14.0,14.0,1
2021-04-19,24.0,24.0,1
2021-04-20,37.0,37.0,1
2021-04-21,12.0,12.0,1
2021-04-22,13.0,13.0,1
2021-04-23,13.0,13.0,1
2021-04-24,15.0,15.0,1
2021-04-25,42.0,42.0,1
2021-04-26,36.0,36.0,1
2021-04-27,38.0,38.0,1
2021-04-28,37.0,37.0,1
2021-04-29,12.0,12.0,1
2021-04-30,49.0,49.0,1
2021-05-01,27.0,27.0,1
2021-05-02,40.0,40.0,1
2021-05-03,12.0,12.0,1
2021-05-04,11.0,11.0,1
2021-05-05,23.0,23.0,1
2021-05-06,24.0,24.0,1
2021-05-07,25.0,25.0,1
2021-05-08,0.0,0.0,1
2021-05-09,29.0,29.0,1
2021-05-10,12.0,12.0,1
2021-05-11,23.0,23.0,1
2021-05-12,73.0,73.0,1
2021-05-13,64.0,64.0,1
2021-05-14,39.0,39.0,1
