date,/m/053rd_0,/m/053rd,batch_id
2021-02-01,36.0,36.0,1
2021-02-02,35.0,35.0,1
2021-02-03,50.0,50.0,1
2021-02-04,30.0,30.0,1
2021-02-05,29.0,29.0,1
2021-02-06,23.0,23.0,1
2021-02-07,39.0,39.0,1
2021-02-08,43.0,43.0,1
2021-02-09,58.0,58.0,1
2021-02-10,50.0,50.0,1
2021-02-11,44.0,44.0,1
2021-02-12,37.0,37.0,1
2021-02-13,41.0,41.0,1
2021-02-14,33.0,33.0,1
2021-02-15,35.0,35.0,1
2021-02-16,45.0,45.0,1
2021-02-17,73.0,73.0,1
2021-02-18,51.0,51.0,1
2021-02-19,85.0,85.0,1
2021-02-20,70.0,70.0,1
2021-02-21,44.0,44.0,1
2021-02-22,62.0,62.0,1
2021-02-23,30.0,30.0,1
2021-02-24,38.0,38.0,1
2021-02-25,30.0,30.0,1
2021-02-26,30.0,30.0,1
2021-02-27,50.0,50.0,1
2021-02-28,40.0,40.0,1
2021-03-01,7.0,7.0,1
2021-03-02,15.0,15.0,1
2021-03-03,38.0,38.0,1
2021-03-04,14.0,14.0,1
2021-03-05,23.0,23.0,1
2021-03-06,50.0,50.0,1
2021-03-07,32.0,32.0,1
2021-03-08,44.0,44.0,1
2021-03-09,79.0,79.0,1
2021-03-10,22.0,22.0,1
2021-03-11,44.0,44.0,1
2021-03-12,37.0,37.0,1
2021-03-13,31.0,31.0,1
2021-03-14,54.0,54.0,1
2021-03-15,57.0,57.0,1
2021-03-16,31.0,31.0,1
2021-03-17,79.0,79.0,1
2021-03-18,22.0,22.0,1
2021-03-19,38.0,38.0,1
2021-03-20,85.0,85.0,1
2021-03-21,16.0,16.0,1
2021-03-22,36.0,36.0,1
2021-03-23,36.0,36.0,1
2021-03-24,22.0,22.0,1
2021-03-25,37.0,37.0,1
2021-03-26,23.0,23.0,1
2021-03-27,24.0,24.0,1
2021-03-28,26.0,26.0,1
2021-03-29,30.0,30.0,1
2021-03-30,32.0,32.0,1
2021-03-31,24.0,24.0,1
2021-04-01,39.0,39.0,1
2021-04-02,31.0,31.0,1
2021-04-03,42.0,42.0,1
2021-04-04,17.0,17.0,1
2021-04-05,23.0,23.0,1
2021-04-06,35.0,35.0,1
2021-04-07,14.0,14.0,1
2021-04-08,22.0,22.0,1
2021-04-09,23.0,23.0,1
2021-04-10,22.0,22.0,1
2021-04-11,31.0,31.0,1
2021-04-12,21.0,21.0,1
2021-04-13,30.0,30.0,1
2021-04-14,66.0,66.0,1
2021-04-15,52.0,52.0,1
2021-04-16,39.0,39.0,1
2021-04-17,42.0,42.0,1
2021-04-18,25.0,25.0,1
2021-04-19,64.0,64.0,1
2021-04-20,37.0,37.0,1
2021-04-21,15.0,15.0,1
2021-04-22,8.0,8.0,1
2021-04-23,39.0,39.0,1
2021-04-24,35.0,35.0,1
2021-04-25,33.0,33.0,1
2021-04-26,72.0,72.0,1
2021-04-27,30.0,30.0,1
2021-04-28,30.0,30.0,1
2021-04-29,29.0,29.0,1
2021-04-30,58.0,58.0,1
2021-05-01,32.0,32.0,1
2021-05-02,32.0,32.0,1
2021-05-03,7.0,7.0,1
2021-05-04,14.0,14.0,1
2021-05-05,28.0,28.0,1
2021-05-06,36.0,36.0,1
2021-05-07,37.0,37.0,1
2021-05-08,49.0,49.0,1
2021-05-09,26.0,26.0,1
2021-05-10,50.0,50.0,1
2021-05-11,63.0,63.0,1
2021-05-12,37.0,37.0,1
2021-05-13,100.0,100.0,1
2021-05-14,24.0,24.0,1
