date,/m/04n5tv_0,/m/04n5tv,batch_id
2021-02-01,80.0,80.0,1
2021-02-02,86.0,86.0,1
2021-02-03,84.0,84.0,1
2021-02-04,71.0,71.0,1
2021-02-05,69.0,69.0,1
2021-02-06,45.0,45.0,1
2021-02-07,35.0,35.0,1
2021-02-08,74.0,74.0,1
2021-02-09,75.0,75.0,1
2021-02-10,68.0,68.0,1
2021-02-11,66.0,66.0,1
2021-02-12,67.0,67.0,1
2021-02-13,37.0,37.0,1
2021-02-14,33.0,33.0,1
2021-02-15,82.0,82.0,1
2021-02-16,67.0,67.0,1
2021-02-17,79.0,79.0,1
2021-02-18,75.0,75.0,1
2021-02-19,66.0,66.0,1
2021-02-20,42.0,42.0,1
2021-02-21,30.0,30.0,1
2021-02-22,68.0,68.0,1
2021-02-23,69.0,69.0,1
2021-02-24,68.0,68.0,1
2021-02-25,65.0,65.0,1
2021-02-26,86.0,86.0,1
2021-02-27,42.0,42.0,1
2021-02-28,23.0,23.0,1
2021-03-01,65.0,65.0,1
2021-03-02,70.0,70.0,1
2021-03-03,72.0,72.0,1
2021-03-04,56.0,56.0,1
2021-03-05,73.0,73.0,1
2021-03-06,43.0,43.0,1
2021-03-07,25.0,25.0,1
2021-03-08,79.0,79.0,1
2021-03-09,85.0,85.0,1
2021-03-10,95.0,95.0,1
2021-03-11,71.0,71.0,1
2021-03-12,66.0,66.0,1
2021-03-13,39.0,39.0,1
2021-03-14,32.0,32.0,1
2021-03-15,82.0,82.0,1
2021-03-16,73.0,73.0,1
2021-03-17,60.0,60.0,1
2021-03-18,64.0,64.0,1
2021-03-19,66.0,66.0,1
2021-03-20,43.0,43.0,1
2021-03-21,24.0,24.0,1
2021-03-22,66.0,66.0,1
2021-03-23,84.0,84.0,1
2021-03-24,70.0,70.0,1
2021-03-25,58.0,58.0,1
2021-03-26,61.0,61.0,1
2021-03-27,32.0,32.0,1
2021-03-28,29.0,29.0,1
2021-03-29,81.0,81.0,1
2021-03-30,83.0,83.0,1
2021-03-31,77.0,77.0,1
2021-04-01,65.0,65.0,1
2021-04-02,56.0,56.0,1
2021-04-03,42.0,42.0,1
2021-04-04,25.0,25.0,1
2021-04-05,25.0,25.0,1
2021-04-06,73.0,73.0,1
2021-04-07,85.0,85.0,1
2021-04-08,80.0,80.0,1
2021-04-09,81.0,81.0,1
2021-04-10,45.0,45.0,1
2021-04-11,33.0,33.0,1
2021-04-12,68.0,68.0,1
2021-04-13,80.0,80.0,1
2021-04-14,69.0,69.0,1
2021-04-15,78.0,78.0,1
2021-04-16,74.0,74.0,1
2021-04-17,39.0,39.0,1
2021-04-18,35.0,35.0,1
2021-04-19,71.0,71.0,1
2021-04-20,61.0,61.0,1
2021-04-21,67.0,67.0,1
2021-04-22,71.0,71.0,1
2021-04-23,66.0,66.0,1
2021-04-24,39.0,39.0,1
2021-04-25,29.0,29.0,1
2021-04-26,67.0,67.0,1
2021-04-27,74.0,74.0,1
2021-04-28,68.0,68.0,1
2021-04-29,57.0,57.0,1
2021-04-30,55.0,55.0,1
2021-05-01,42.0,42.0,1
2021-05-02,27.0,27.0,1
2021-05-03,86.0,86.0,1
2021-05-04,71.0,71.0,1
2021-05-05,74.0,74.0,1
2021-05-06,80.0,80.0,1
2021-05-07,72.0,72.0,1
2021-05-08,43.0,43.0,1
2021-05-09,53.0,53.0,1
2021-05-10,100.0,100.0,1
2021-05-11,100.0,100.0,1
2021-05-12,68.0,68.0,1
2021-05-13,44.0,44.0,1
2021-05-14,94.0,94.0,1
