date,/m/04gc5s_0,/m/04gc5s,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,40.0,40.0,1
2021-02-03,13.0,13.0,1
2021-02-04,28.0,28.0,1
2021-02-05,28.0,28.0,1
2021-02-06,44.0,44.0,1
2021-02-07,89.0,89.0,1
2021-02-08,94.0,94.0,1
2021-02-09,82.0,82.0,1
2021-02-10,54.0,54.0,1
2021-02-11,69.0,69.0,1
2021-02-12,84.0,84.0,1
2021-02-13,16.0,16.0,1
2021-02-14,47.0,47.0,1
2021-02-15,67.0,67.0,1
2021-02-16,14.0,14.0,1
2021-02-17,28.0,28.0,1
2021-02-18,69.0,69.0,1
2021-02-19,59.0,59.0,1
2021-02-20,100.0,100.0,1
2021-02-21,17.0,17.0,1
2021-02-22,0.0,0.0,1
2021-02-23,42.0,42.0,1
2021-02-24,43.0,43.0,1
2021-02-25,28.0,28.0,1
2021-02-26,57.0,57.0,1
2021-02-27,0.0,0.0,1
2021-02-28,61.0,61.0,1
2021-03-01,14.0,14.0,1
2021-03-02,14.0,14.0,1
2021-03-03,28.0,28.0,1
2021-03-04,13.0,13.0,1
2021-03-05,58.0,58.0,1
2021-03-06,0.0,0.0,1
2021-03-07,31.0,31.0,1
2021-03-08,55.0,55.0,1
2021-03-09,27.0,27.0,1
2021-03-10,28.0,28.0,1
2021-03-11,14.0,14.0,1
2021-03-12,14.0,14.0,1
2021-03-13,44.0,44.0,1
2021-03-14,58.0,58.0,1
2021-03-15,43.0,43.0,1
2021-03-16,24.0,24.0,1
2021-03-17,14.0,14.0,1
2021-03-18,55.0,55.0,1
2021-03-19,72.0,72.0,1
2021-03-20,48.0,48.0,1
2021-03-21,60.0,60.0,1
2021-03-22,14.0,14.0,1
2021-03-23,14.0,14.0,1
2021-03-24,41.0,41.0,1
2021-03-25,56.0,56.0,1
2021-03-26,44.0,44.0,1
2021-03-27,91.0,91.0,1
2021-03-28,49.0,49.0,1
2021-03-29,86.0,86.0,1
2021-03-30,60.0,60.0,1
2021-03-31,46.0,46.0,1
2021-04-01,58.0,58.0,1
2021-04-02,15.0,15.0,1
2021-04-03,48.0,48.0,1
2021-04-04,16.0,16.0,1
2021-04-05,14.0,14.0,1
2021-04-06,39.0,39.0,1
2021-04-07,0.0,0.0,1
2021-04-08,28.0,28.0,1
2021-04-09,29.0,29.0,1
2021-04-10,0.0,0.0,1
2021-04-11,15.0,15.0,1
2021-04-12,40.0,40.0,1
2021-04-13,42.0,42.0,1
2021-04-14,0.0,0.0,1
2021-04-15,28.0,28.0,1
2021-04-16,44.0,44.0,1
2021-04-17,32.0,32.0,1
2021-04-18,0.0,0.0,1
2021-04-19,0.0,0.0,1
2021-04-20,14.0,14.0,1
2021-04-21,56.0,56.0,1
2021-04-22,14.0,14.0,1
2021-04-23,30.0,30.0,1
2021-04-24,17.0,17.0,1
2021-04-25,16.0,16.0,1
2021-04-26,41.0,41.0,1
2021-04-27,14.0,14.0,1
2021-04-28,42.0,42.0,1
2021-04-29,27.0,27.0,1
2021-04-30,28.0,28.0,1
2021-05-01,15.0,15.0,1
2021-05-02,30.0,30.0,1
2021-05-03,0.0,0.0,1
2021-05-04,26.0,26.0,1
2021-05-05,13.0,13.0,1
2021-05-06,27.0,27.0,1
2021-05-07,42.0,42.0,1
2021-05-08,46.0,46.0,1
2021-05-09,16.0,16.0,1
2021-05-10,54.0,54.0,1
2021-05-11,27.0,27.0,1
2021-05-12,14.0,14.0,1
2021-05-13,44.0,44.0,1
2021-05-14,30.0,30.0,1
