date,/m/053jb_0,/m/053jb,batch_id
2021-02-01,56.0,56.0,1
2021-02-02,44.0,44.0,1
2021-02-03,83.0,83.0,1
2021-02-04,48.0,48.0,1
2021-02-05,54.0,54.0,1
2021-02-06,46.0,46.0,1
2021-02-07,45.0,45.0,1
2021-02-08,50.0,50.0,1
2021-02-09,42.0,42.0,1
2021-02-10,67.0,67.0,1
2021-02-11,69.0,69.0,1
2021-02-12,56.0,56.0,1
2021-02-13,41.0,41.0,1
2021-02-14,46.0,46.0,1
2021-02-15,85.0,85.0,1
2021-02-16,72.0,72.0,1
2021-02-17,54.0,54.0,1
2021-02-18,46.0,46.0,1
2021-02-19,63.0,63.0,1
2021-02-20,41.0,41.0,1
2021-02-21,55.0,55.0,1
2021-02-22,59.0,59.0,1
2021-02-23,66.0,66.0,1
2021-02-24,55.0,55.0,1
2021-02-25,47.0,47.0,1
2021-02-26,47.0,47.0,1
2021-02-27,54.0,54.0,1
2021-02-28,48.0,48.0,1
2021-03-01,75.0,75.0,1
2021-03-02,60.0,60.0,1
2021-03-03,67.0,67.0,1
2021-03-04,72.0,72.0,1
2021-03-05,51.0,51.0,1
2021-03-06,68.0,68.0,1
2021-03-07,74.0,74.0,1
2021-03-08,44.0,44.0,1
2021-03-09,65.0,65.0,1
2021-03-10,46.0,46.0,1
2021-03-11,59.0,59.0,1
2021-03-12,66.0,66.0,1
2021-03-13,45.0,45.0,1
2021-03-14,80.0,80.0,1
2021-03-15,77.0,77.0,1
2021-03-16,57.0,57.0,1
2021-03-17,58.0,58.0,1
2021-03-18,59.0,59.0,1
2021-03-19,52.0,52.0,1
2021-03-20,67.0,67.0,1
2021-03-21,48.0,48.0,1
2021-03-22,70.0,70.0,1
2021-03-23,53.0,53.0,1
2021-03-24,60.0,60.0,1
2021-03-25,52.0,52.0,1
2021-03-26,54.0,54.0,1
2021-03-27,54.0,54.0,1
2021-03-28,63.0,63.0,1
2021-03-29,30.0,30.0,1
2021-03-30,51.0,51.0,1
2021-03-31,70.0,70.0,1
2021-04-01,56.0,56.0,1
2021-04-02,57.0,57.0,1
2021-04-03,60.0,60.0,1
2021-04-04,40.0,40.0,1
2021-04-05,51.0,51.0,1
2021-04-06,63.0,63.0,1
2021-04-07,65.0,65.0,1
2021-04-08,73.0,73.0,1
2021-04-09,51.0,51.0,1
2021-04-10,45.0,45.0,1
2021-04-11,100.0,100.0,1
2021-04-12,59.0,59.0,1
2021-04-13,74.0,74.0,1
2021-04-14,59.0,59.0,1
2021-04-15,58.0,58.0,1
2021-04-16,46.0,46.0,1
2021-04-17,51.0,51.0,1
2021-04-18,53.0,53.0,1
2021-04-19,80.0,80.0,1
2021-04-20,67.0,67.0,1
2021-04-21,51.0,51.0,1
2021-04-22,53.0,53.0,1
2021-04-23,41.0,41.0,1
2021-04-24,61.0,61.0,1
2021-04-25,65.0,65.0,1
2021-04-26,55.0,55.0,1
2021-04-27,78.0,78.0,1
2021-04-28,66.0,66.0,1
2021-04-29,56.0,56.0,1
2021-04-30,59.0,59.0,1
2021-05-01,57.0,57.0,1
2021-05-02,69.0,69.0,1
2021-05-03,65.0,65.0,1
2021-05-04,78.0,78.0,1
2021-05-05,52.0,52.0,1
2021-05-06,43.0,43.0,1
2021-05-07,58.0,58.0,1
2021-05-08,36.0,36.0,1
2021-05-09,61.0,61.0,1
2021-05-10,45.0,45.0,1
2021-05-11,55.0,55.0,1
2021-05-12,44.0,44.0,1
2021-05-13,40.0,40.0,1
2021-05-14,55.0,55.0,1
