date,/m/07zltbw_0,/m/07zltbw,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,91.0,91.0,1
2021-02-03,93.0,93.0,1
2021-02-04,66.0,66.0,1
2021-02-05,65.0,65.0,1
2021-02-06,17.0,17.0,1
2021-02-07,5.0,5.0,1
2021-02-08,24.0,24.0,1
2021-02-09,22.0,22.0,1
2021-02-10,32.0,32.0,1
2021-02-11,20.0,20.0,1
2021-02-12,7.0,7.0,1
2021-02-13,3.0,3.0,1
2021-02-14,0.0,0.0,1
2021-02-15,4.0,4.0,1
2021-02-16,11.0,11.0,1
2021-02-17,9.0,9.0,1
2021-02-18,16.0,16.0,1
2021-02-19,9.0,9.0,1
2021-02-20,0.0,0.0,1
2021-02-21,3.0,3.0,1
2021-02-22,6.0,6.0,1
2021-02-23,9.0,9.0,1
2021-02-24,23.0,23.0,1
2021-02-25,80.0,80.0,1
2021-02-26,41.0,41.0,1
2021-02-27,8.0,8.0,1
2021-02-28,10.0,10.0,1
2021-03-01,15.0,15.0,1
2021-03-02,23.0,23.0,1
2021-03-03,25.0,25.0,1
2021-03-04,20.0,20.0,1
2021-03-05,12.0,12.0,1
2021-03-06,8.0,8.0,1
2021-03-07,2.0,2.0,1
2021-03-08,35.0,35.0,1
2021-03-09,33.0,33.0,1
2021-03-10,60.0,60.0,1
2021-03-11,40.0,40.0,1
2021-03-12,25.0,25.0,1
2021-03-13,14.0,14.0,1
2021-03-14,0.0,0.0,1
2021-03-15,36.0,36.0,1
2021-03-16,31.0,31.0,1
2021-03-17,40.0,40.0,1
2021-03-18,29.0,29.0,1
2021-03-19,19.0,19.0,1
2021-03-20,3.0,3.0,1
2021-03-21,2.0,2.0,1
2021-03-22,31.0,31.0,1
2021-03-23,24.0,24.0,1
2021-03-24,26.0,26.0,1
2021-03-25,21.0,21.0,1
2021-03-26,19.0,19.0,1
2021-03-27,7.0,7.0,1
2021-03-28,10.0,10.0,1
2021-03-29,21.0,21.0,1
2021-03-30,14.0,14.0,1
2021-03-31,20.0,20.0,1
2021-04-01,14.0,14.0,1
2021-04-02,7.0,7.0,1
2021-04-03,0.0,0.0,1
2021-04-04,3.0,3.0,1
2021-04-05,7.0,7.0,1
2021-04-06,19.0,19.0,1
2021-04-07,20.0,20.0,1
2021-04-08,11.0,11.0,1
2021-04-09,7.0,7.0,1
2021-04-10,0.0,0.0,1
2021-04-11,0.0,0.0,1
2021-04-12,13.0,13.0,1
2021-04-13,0.0,0.0,1
2021-04-14,7.0,7.0,1
2021-04-15,18.0,18.0,1
2021-04-16,12.0,12.0,1
2021-04-17,0.0,0.0,1
2021-04-18,0.0,0.0,1
2021-04-19,7.0,7.0,1
2021-04-20,7.0,7.0,1
2021-04-21,7.0,7.0,1
2021-04-22,14.0,14.0,1
2021-04-23,5.0,5.0,1
2021-04-24,5.0,5.0,1
2021-04-25,0.0,0.0,1
2021-04-26,4.0,4.0,1
2021-04-27,11.0,11.0,1
2021-04-28,5.0,5.0,1
2021-04-29,15.0,15.0,1
2021-04-30,13.0,13.0,1
2021-05-01,5.0,5.0,1
2021-05-02,0.0,0.0,1
2021-05-03,6.0,6.0,1
2021-05-04,4.0,4.0,1
2021-05-05,15.0,15.0,1
2021-05-06,13.0,13.0,1
2021-05-07,9.0,9.0,1
2021-05-08,0.0,0.0,1
2021-05-09,3.0,3.0,1
2021-05-10,9.0,9.0,1
2021-05-11,4.0,4.0,1
2021-05-12,9.0,9.0,1
2021-05-13,12.0,12.0,1
2021-05-14,14.0,14.0,1
