date,/m/06mq7_0,/m/06mq7,batch_id
2021-02-01,50.0,50.0,1
2021-02-02,91.0,91.0,1
2021-02-03,54.0,54.0,1
2021-02-04,100.0,100.0,1
2021-02-05,77.0,77.0,1
2021-02-06,64.0,64.0,1
2021-02-07,55.0,55.0,1
2021-02-08,91.0,91.0,1
2021-02-09,72.0,72.0,1
2021-02-10,79.0,79.0,1
2021-02-11,60.0,60.0,1
2021-02-12,52.0,52.0,1
2021-02-13,39.0,39.0,1
2021-02-14,34.0,34.0,1
2021-02-15,79.0,79.0,1
2021-02-16,48.0,48.0,1
2021-02-17,60.0,60.0,1
2021-02-18,30.0,30.0,1
2021-02-19,54.0,54.0,1
2021-02-20,36.0,36.0,1
2021-02-21,62.0,62.0,1
2021-02-22,73.0,73.0,1
2021-02-23,79.0,79.0,1
2021-02-24,66.0,66.0,1
2021-02-25,70.0,70.0,1
2021-02-26,66.0,66.0,1
2021-02-27,29.0,29.0,1
2021-02-28,71.0,71.0,1
2021-03-01,51.0,51.0,1
2021-03-02,61.0,61.0,1
2021-03-03,88.0,88.0,1
2021-03-04,46.0,46.0,1
2021-03-05,18.0,18.0,1
2021-03-06,54.0,54.0,1
2021-03-07,33.0,33.0,1
2021-03-08,55.0,55.0,1
2021-03-09,75.0,75.0,1
2021-03-10,38.0,38.0,1
2021-03-11,55.0,55.0,1
2021-03-12,65.0,65.0,1
2021-03-13,64.0,64.0,1
2021-03-14,45.0,45.0,1
2021-03-15,50.0,50.0,1
2021-03-16,77.0,77.0,1
2021-03-17,51.0,51.0,1
2021-03-18,47.0,47.0,1
2021-03-19,40.0,40.0,1
2021-03-20,55.0,55.0,1
2021-03-21,42.0,42.0,1
2021-03-22,85.0,85.0,1
2021-03-23,80.0,80.0,1
2021-03-24,55.0,55.0,1
2021-03-25,35.0,35.0,1
2021-03-26,36.0,36.0,1
2021-03-27,66.0,66.0,1
2021-03-28,70.0,70.0,1
2021-03-29,53.0,53.0,1
2021-03-30,51.0,51.0,1
2021-03-31,33.0,33.0,1
2021-04-01,32.0,32.0,1
2021-04-02,55.0,55.0,1
2021-04-03,54.0,54.0,1
2021-04-04,35.0,35.0,1
2021-04-05,35.0,35.0,1
2021-04-06,49.0,49.0,1
2021-04-07,46.0,46.0,1
2021-04-08,39.0,39.0,1
2021-04-09,22.0,22.0,1
2021-04-10,44.0,44.0,1
2021-04-11,50.0,50.0,1
2021-04-12,37.0,37.0,1
2021-04-13,74.0,74.0,1
2021-04-14,51.0,51.0,1
2021-04-15,26.0,26.0,1
2021-04-16,59.0,59.0,1
2021-04-17,20.0,20.0,1
2021-04-18,25.0,25.0,1
2021-04-19,71.0,71.0,1
2021-04-20,86.0,86.0,1
2021-04-21,61.0,61.0,1
2021-04-22,53.0,53.0,1
2021-04-23,60.0,60.0,1
2021-04-24,87.0,87.0,1
2021-04-25,39.0,39.0,1
2021-04-26,59.0,59.0,1
2021-04-27,70.0,70.0,1
2021-04-28,44.0,44.0,1
2021-04-29,71.0,71.0,1
2021-04-30,38.0,38.0,1
2021-05-01,90.0,90.0,1
2021-05-02,23.0,23.0,1
2021-05-03,79.0,79.0,1
2021-05-04,71.0,71.0,1
2021-05-05,57.0,57.0,1
2021-05-06,34.0,34.0,1
2021-05-07,52.0,52.0,1
2021-05-08,38.0,38.0,1
2021-05-09,61.0,61.0,1
2021-05-10,46.0,46.0,1
2021-05-11,53.0,53.0,1
2021-05-12,68.0,68.0,1
2021-05-13,45.0,45.0,1
2021-05-14,64.0,64.0,1
