date,/m/08y7p8_0,/m/08y7p8,batch_id
2021-02-01,84.0,84.0,1
2021-02-02,49.0,49.0,1
2021-02-03,31.0,31.0,1
2021-02-04,37.0,37.0,1
2021-02-05,40.0,40.0,1
2021-02-06,64.0,64.0,1
2021-02-07,28.0,28.0,1
2021-02-08,59.0,59.0,1
2021-02-09,76.0,76.0,1
2021-02-10,38.0,38.0,1
2021-02-11,40.0,40.0,1
2021-02-12,37.0,37.0,1
2021-02-13,57.0,57.0,1
2021-02-14,45.0,45.0,1
2021-02-15,61.0,61.0,1
2021-02-16,35.0,35.0,1
2021-02-17,66.0,66.0,1
2021-02-18,82.0,82.0,1
2021-02-19,50.0,50.0,1
2021-02-20,29.0,29.0,1
2021-02-21,83.0,83.0,1
2021-02-22,67.0,67.0,1
2021-02-23,65.0,65.0,1
2021-02-24,65.0,65.0,1
2021-02-25,59.0,59.0,1
2021-02-26,43.0,43.0,1
2021-02-27,90.0,90.0,1
2021-02-28,58.0,58.0,1
2021-03-01,55.0,55.0,1
2021-03-02,48.0,48.0,1
2021-03-03,41.0,41.0,1
2021-03-04,61.0,61.0,1
2021-03-05,60.0,60.0,1
2021-03-06,70.0,70.0,1
2021-03-07,46.0,46.0,1
2021-03-08,68.0,68.0,1
2021-03-09,56.0,56.0,1
2021-03-10,58.0,58.0,1
2021-03-11,60.0,60.0,1
2021-03-12,54.0,54.0,1
2021-03-13,48.0,48.0,1
2021-03-14,41.0,41.0,1
2021-03-15,55.0,55.0,1
2021-03-16,56.0,56.0,1
2021-03-17,68.0,68.0,1
2021-03-18,58.0,58.0,1
2021-03-19,52.0,52.0,1
2021-03-20,61.0,61.0,1
2021-03-21,51.0,51.0,1
2021-03-22,83.0,83.0,1
2021-03-23,55.0,55.0,1
2021-03-24,47.0,47.0,1
2021-03-25,46.0,46.0,1
2021-03-26,44.0,44.0,1
2021-03-27,40.0,40.0,1
2021-03-28,40.0,40.0,1
2021-03-29,52.0,52.0,1
2021-03-30,45.0,45.0,1
2021-03-31,52.0,52.0,1
2021-04-01,50.0,50.0,1
2021-04-02,68.0,68.0,1
2021-04-03,82.0,82.0,1
2021-04-04,46.0,46.0,1
2021-04-05,87.0,87.0,1
2021-04-06,55.0,55.0,1
2021-04-07,77.0,77.0,1
2021-04-08,48.0,48.0,1
2021-04-09,65.0,65.0,1
2021-04-10,59.0,59.0,1
2021-04-11,65.0,65.0,1
2021-04-12,66.0,66.0,1
2021-04-13,65.0,65.0,1
2021-04-14,76.0,76.0,1
2021-04-15,67.0,67.0,1
2021-04-16,84.0,84.0,1
2021-04-17,67.0,67.0,1
2021-04-18,55.0,55.0,1
2021-04-19,100.0,100.0,1
2021-04-20,93.0,93.0,1
2021-04-21,64.0,64.0,1
2021-04-22,93.0,93.0,1
2021-04-23,77.0,77.0,1
2021-04-24,78.0,78.0,1
2021-04-25,66.0,66.0,1
2021-04-26,47.0,47.0,1
2021-04-27,57.0,57.0,1
2021-04-28,43.0,43.0,1
2021-04-29,57.0,57.0,1
2021-04-30,50.0,50.0,1
2021-05-01,41.0,41.0,1
2021-05-02,32.0,32.0,1
2021-05-03,59.0,59.0,1
2021-05-04,76.0,76.0,1
2021-05-05,50.0,50.0,1
2021-05-06,36.0,36.0,1
2021-05-07,56.0,56.0,1
2021-05-08,38.0,38.0,1
2021-05-09,72.0,72.0,1
2021-05-10,54.0,54.0,1
2021-05-11,66.0,66.0,1
2021-05-12,47.0,47.0,1
2021-05-13,44.0,44.0,1
2021-05-14,68.0,68.0,1
