date,/m/02_7t_0,/m/02_7t,batch_id
2021-02-01,73.0,73.0,1
2021-02-02,70.0,70.0,1
2021-02-03,56.0,56.0,1
2021-02-04,90.0,90.0,1
2021-02-05,89.0,89.0,1
2021-02-06,47.0,47.0,1
2021-02-07,53.0,53.0,1
2021-02-08,94.0,94.0,1
2021-02-09,93.0,93.0,1
2021-02-10,83.0,83.0,1
2021-02-11,100.0,100.0,1
2021-02-12,79.0,79.0,1
2021-02-13,50.0,50.0,1
2021-02-14,35.0,35.0,1
2021-02-15,78.0,78.0,1
2021-02-16,99.0,99.0,1
2021-02-17,67.0,67.0,1
2021-02-18,80.0,80.0,1
2021-02-19,79.0,79.0,1
2021-02-20,27.0,27.0,1
2021-02-21,20.0,20.0,1
2021-02-22,68.0,68.0,1
2021-02-23,77.0,77.0,1
2021-02-24,80.0,80.0,1
2021-02-25,62.0,62.0,1
2021-02-26,65.0,65.0,1
2021-02-27,25.0,25.0,1
2021-02-28,18.0,18.0,1
2021-03-01,80.0,80.0,1
2021-03-02,73.0,73.0,1
2021-03-03,91.0,91.0,1
2021-03-04,70.0,70.0,1
2021-03-05,63.0,63.0,1
2021-03-06,38.0,38.0,1
2021-03-07,24.0,24.0,1
2021-03-08,91.0,91.0,1
2021-03-09,54.0,54.0,1
2021-03-10,69.0,69.0,1
2021-03-11,74.0,74.0,1
2021-03-12,51.0,51.0,1
2021-03-13,44.0,44.0,1
2021-03-14,15.0,15.0,1
2021-03-15,69.0,69.0,1
2021-03-16,66.0,66.0,1
2021-03-17,85.0,85.0,1
2021-03-18,72.0,72.0,1
2021-03-19,72.0,72.0,1
2021-03-20,29.0,29.0,1
2021-03-21,18.0,18.0,1
2021-03-22,66.0,66.0,1
2021-03-23,82.0,82.0,1
2021-03-24,66.0,66.0,1
2021-03-25,59.0,59.0,1
2021-03-26,73.0,73.0,1
2021-03-27,33.0,33.0,1
2021-03-28,13.0,13.0,1
2021-03-29,63.0,63.0,1
2021-03-30,63.0,63.0,1
2021-03-31,77.0,77.0,1
2021-04-01,73.0,73.0,1
2021-04-02,53.0,53.0,1
2021-04-03,32.0,32.0,1
2021-04-04,16.0,16.0,1
2021-04-05,63.0,63.0,1
2021-04-06,87.0,87.0,1
2021-04-07,65.0,65.0,1
2021-04-08,90.0,90.0,1
2021-04-09,72.0,72.0,1
2021-04-10,34.0,34.0,1
2021-04-11,24.0,24.0,1
2021-04-12,94.0,94.0,1
2021-04-13,76.0,76.0,1
2021-04-14,61.0,61.0,1
2021-04-15,93.0,93.0,1
2021-04-16,53.0,53.0,1
2021-04-17,29.0,29.0,1
2021-04-18,19.0,19.0,1
2021-04-19,92.0,92.0,1
2021-04-20,72.0,72.0,1
2021-04-21,82.0,82.0,1
2021-04-22,80.0,80.0,1
2021-04-23,54.0,54.0,1
2021-04-24,53.0,53.0,1
2021-04-25,44.0,44.0,1
2021-04-26,82.0,82.0,1
2021-04-27,60.0,60.0,1
2021-04-28,62.0,62.0,1
2021-04-29,57.0,57.0,1
2021-04-30,100.0,100.0,1
2021-05-01,27.0,27.0,1
2021-05-02,33.0,33.0,1
2021-05-03,67.0,67.0,1
2021-05-04,64.0,64.0,1
2021-05-05,71.0,71.0,1
2021-05-06,93.0,93.0,1
2021-05-07,59.0,59.0,1
2021-05-08,55.0,55.0,1
2021-05-09,13.0,13.0,1
2021-05-10,81.0,81.0,1
2021-05-11,85.0,85.0,1
2021-05-12,75.0,75.0,1
2021-05-13,93.0,93.0,1
2021-05-14,68.0,68.0,1
