date,/m/01d74z_0,/m/01d74z,batch_id
2021-02-01,73.0,73.0,1
2021-02-02,52.0,52.0,1
2021-02-03,70.0,70.0,1
2021-02-04,61.0,61.0,1
2021-02-05,57.0,57.0,1
2021-02-06,73.0,73.0,1
2021-02-07,74.0,74.0,1
2021-02-08,70.0,70.0,1
2021-02-09,77.0,77.0,1
2021-02-10,38.0,38.0,1
2021-02-11,60.0,60.0,1
2021-02-12,76.0,76.0,1
2021-02-13,61.0,61.0,1
2021-02-14,55.0,55.0,1
2021-02-15,96.0,96.0,1
2021-02-16,55.0,55.0,1
2021-02-17,60.0,60.0,1
2021-02-18,78.0,78.0,1
2021-02-19,83.0,83.0,1
2021-02-20,94.0,94.0,1
2021-02-21,47.0,47.0,1
2021-02-22,68.0,68.0,1
2021-02-23,68.0,68.0,1
2021-02-24,77.0,77.0,1
2021-02-25,83.0,83.0,1
2021-02-26,49.0,49.0,1
2021-02-27,72.0,72.0,1
2021-02-28,83.0,83.0,1
2021-03-01,45.0,45.0,1
2021-03-02,37.0,37.0,1
2021-03-03,65.0,65.0,1
2021-03-04,44.0,44.0,1
2021-03-05,66.0,66.0,1
2021-03-06,38.0,38.0,1
2021-03-07,80.0,80.0,1
2021-03-08,39.0,39.0,1
2021-03-09,67.0,67.0,1
2021-03-10,57.0,57.0,1
2021-03-11,81.0,81.0,1
2021-03-12,52.0,52.0,1
2021-03-13,54.0,54.0,1
2021-03-14,91.0,91.0,1
2021-03-15,70.0,70.0,1
2021-03-16,33.0,33.0,1
2021-03-17,59.0,59.0,1
2021-03-18,48.0,48.0,1
2021-03-19,34.0,34.0,1
2021-03-20,49.0,49.0,1
2021-03-21,55.0,55.0,1
2021-03-22,86.0,86.0,1
2021-03-23,36.0,36.0,1
2021-03-24,74.0,74.0,1
2021-03-25,70.0,70.0,1
2021-03-26,41.0,41.0,1
2021-03-27,86.0,86.0,1
2021-03-28,81.0,81.0,1
2021-03-29,47.0,47.0,1
2021-03-30,74.0,74.0,1
2021-03-31,63.0,63.0,1
2021-04-01,51.0,51.0,1
2021-04-02,32.0,32.0,1
2021-04-03,76.0,76.0,1
2021-04-04,81.0,81.0,1
2021-04-05,74.0,74.0,1
2021-04-06,72.0,72.0,1
2021-04-07,62.0,62.0,1
2021-04-08,67.0,67.0,1
2021-04-09,59.0,59.0,1
2021-04-10,55.0,55.0,1
2021-04-11,48.0,48.0,1
2021-04-12,61.0,61.0,1
2021-04-13,92.0,92.0,1
2021-04-14,51.0,51.0,1
2021-04-15,55.0,55.0,1
2021-04-16,51.0,51.0,1
2021-04-17,84.0,84.0,1
2021-04-18,45.0,45.0,1
2021-04-19,47.0,47.0,1
2021-04-20,42.0,42.0,1
2021-04-21,61.0,61.0,1
2021-04-22,62.0,62.0,1
2021-04-23,71.0,71.0,1
2021-04-24,75.0,75.0,1
2021-04-25,82.0,82.0,1
2021-04-26,54.0,54.0,1
2021-04-27,59.0,59.0,1
2021-04-28,55.0,55.0,1
2021-04-29,47.0,47.0,1
2021-04-30,45.0,45.0,1
2021-05-01,79.0,79.0,1
2021-05-02,92.0,92.0,1
2021-05-03,58.0,58.0,1
2021-05-04,61.0,61.0,1
2021-05-05,51.0,51.0,1
2021-05-06,71.0,71.0,1
2021-05-07,67.0,67.0,1
2021-05-08,100.0,100.0,1
2021-05-09,50.0,50.0,1
2021-05-10,50.0,50.0,1
2021-05-11,55.0,55.0,1
2021-05-12,45.0,45.0,1
2021-05-13,54.0,54.0,1
2021-05-14,55.0,55.0,1
