date,/m/02l6h_0,/m/02l6h,batch_id
2021-02-01,88.0,88.0,1
2021-02-02,75.0,75.0,1
2021-02-03,81.0,81.0,1
2021-02-04,82.0,82.0,1
2021-02-05,76.0,76.0,1
2021-02-06,66.0,66.0,1
2021-02-07,64.0,64.0,1
2021-02-08,87.0,87.0,1
2021-02-09,81.0,81.0,1
2021-02-10,82.0,82.0,1
2021-02-11,71.0,71.0,1
2021-02-12,62.0,62.0,1
2021-02-13,62.0,62.0,1
2021-02-14,81.0,81.0,1
2021-02-15,74.0,74.0,1
2021-02-16,74.0,74.0,1
2021-02-17,83.0,83.0,1
2021-02-18,79.0,79.0,1
2021-02-19,83.0,83.0,1
2021-02-20,79.0,79.0,1
2021-02-21,70.0,70.0,1
2021-02-22,81.0,81.0,1
2021-02-23,79.0,79.0,1
2021-02-24,90.0,90.0,1
2021-02-25,91.0,91.0,1
2021-02-26,77.0,77.0,1
2021-02-27,69.0,69.0,1
2021-02-28,73.0,73.0,1
2021-03-01,84.0,84.0,1
2021-03-02,71.0,71.0,1
2021-03-03,76.0,76.0,1
2021-03-04,74.0,74.0,1
2021-03-05,78.0,78.0,1
2021-03-06,74.0,74.0,1
2021-03-07,76.0,76.0,1
2021-03-08,77.0,77.0,1
2021-03-09,86.0,86.0,1
2021-03-10,89.0,89.0,1
2021-03-11,67.0,67.0,1
2021-03-12,79.0,79.0,1
2021-03-13,70.0,70.0,1
2021-03-14,75.0,75.0,1
2021-03-15,68.0,68.0,1
2021-03-16,87.0,87.0,1
2021-03-17,89.0,89.0,1
2021-03-18,81.0,81.0,1
2021-03-19,74.0,74.0,1
2021-03-20,65.0,65.0,1
2021-03-21,68.0,68.0,1
2021-03-22,94.0,94.0,1
2021-03-23,94.0,94.0,1
2021-03-24,74.0,74.0,1
2021-03-25,93.0,93.0,1
2021-03-26,84.0,84.0,1
2021-03-27,58.0,58.0,1
2021-03-28,81.0,81.0,1
2021-03-29,76.0,76.0,1
2021-03-30,92.0,92.0,1
2021-03-31,85.0,85.0,1
2021-04-01,72.0,72.0,1
2021-04-02,62.0,62.0,1
2021-04-03,59.0,59.0,1
2021-04-04,66.0,66.0,1
2021-04-05,86.0,86.0,1
2021-04-06,70.0,70.0,1
2021-04-07,85.0,85.0,1
2021-04-08,75.0,75.0,1
2021-04-09,79.0,79.0,1
2021-04-10,73.0,73.0,1
2021-04-11,71.0,71.0,1
2021-04-12,85.0,85.0,1
2021-04-13,96.0,96.0,1
2021-04-14,91.0,91.0,1
2021-04-15,99.0,99.0,1
2021-04-16,86.0,86.0,1
2021-04-17,70.0,70.0,1
2021-04-18,84.0,84.0,1
2021-04-19,87.0,87.0,1
2021-04-20,82.0,82.0,1
2021-04-21,55.0,55.0,1
2021-04-22,88.0,88.0,1
2021-04-23,98.0,98.0,1
2021-04-24,87.0,87.0,1
2021-04-25,74.0,74.0,1
2021-04-26,73.0,73.0,1
2021-04-27,82.0,82.0,1
2021-04-28,100.0,100.0,1
2021-04-29,75.0,75.0,1
2021-04-30,98.0,98.0,1
2021-05-01,81.0,81.0,1
2021-05-02,75.0,75.0,1
2021-05-03,76.0,76.0,1
2021-05-04,83.0,83.0,1
2021-05-05,98.0,98.0,1
2021-05-06,92.0,92.0,1
2021-05-07,82.0,82.0,1
2021-05-08,68.0,68.0,1
2021-05-09,72.0,72.0,1
2021-05-10,77.0,77.0,1
2021-05-11,99.0,99.0,1
2021-05-12,82.0,82.0,1
2021-05-13,65.0,65.0,1
2021-05-14,77.0,77.0,1
