date,/m/04mwwgd_0,/m/04mwwgd,batch_id
2021-02-01,22.0,22.0,1
2021-02-02,22.0,22.0,1
2021-02-03,17.0,17.0,1
2021-02-04,14.0,14.0,1
2021-02-05,22.0,22.0,1
2021-02-06,38.0,38.0,1
2021-02-07,69.0,69.0,1
2021-02-08,100.0,100.0,1
2021-02-09,55.0,55.0,1
2021-02-10,54.0,54.0,1
2021-02-11,56.0,56.0,1
2021-02-12,59.0,59.0,1
2021-02-13,58.0,58.0,1
2021-02-14,48.0,48.0,1
2021-02-15,22.0,22.0,1
2021-02-16,27.0,27.0,1
2021-02-17,13.0,13.0,1
2021-02-18,16.0,16.0,1
2021-02-19,21.0,21.0,1
2021-02-20,22.0,22.0,1
2021-02-21,24.0,24.0,1
2021-02-22,17.0,17.0,1
2021-02-23,9.0,9.0,1
2021-02-24,7.0,7.0,1
2021-02-25,18.0,18.0,1
2021-02-26,14.0,14.0,1
2021-02-27,23.0,23.0,1
2021-02-28,17.0,17.0,1
2021-03-01,11.0,11.0,1
2021-03-02,27.0,27.0,1
2021-03-03,14.0,14.0,1
2021-03-04,11.0,11.0,1
2021-03-05,19.0,19.0,1
2021-03-06,21.0,21.0,1
2021-03-07,22.0,22.0,1
2021-03-08,11.0,11.0,1
2021-03-09,26.0,26.0,1
2021-03-10,18.0,18.0,1
2021-03-11,16.0,16.0,1
2021-03-12,21.0,21.0,1
2021-03-13,17.0,17.0,1
2021-03-14,26.0,26.0,1
2021-03-15,14.0,14.0,1
2021-03-16,17.0,17.0,1
2021-03-17,18.0,18.0,1
2021-03-18,16.0,16.0,1
2021-03-19,14.0,14.0,1
2021-03-20,29.0,29.0,1
2021-03-21,22.0,22.0,1
2021-03-22,33.0,33.0,1
2021-03-23,22.0,22.0,1
2021-03-24,15.0,15.0,1
2021-03-25,11.0,11.0,1
2021-03-26,12.0,12.0,1
2021-03-27,10.0,10.0,1
2021-03-28,18.0,18.0,1
2021-03-29,9.0,9.0,1
2021-03-30,17.0,17.0,1
2021-03-31,22.0,22.0,1
2021-04-01,19.0,19.0,1
2021-04-02,19.0,19.0,1
2021-04-03,21.0,21.0,1
2021-04-04,24.0,24.0,1
2021-04-05,16.0,16.0,1
2021-04-06,30.0,30.0,1
2021-04-07,42.0,42.0,1
2021-04-08,29.0,29.0,1
2021-04-09,30.0,30.0,1
2021-04-10,25.0,25.0,1
2021-04-11,26.0,26.0,1
2021-04-12,19.0,19.0,1
2021-04-13,21.0,21.0,1
2021-04-14,25.0,25.0,1
2021-04-15,20.0,20.0,1
2021-04-16,17.0,17.0,1
2021-04-17,28.0,28.0,1
2021-04-18,39.0,39.0,1
2021-04-19,17.0,17.0,1
2021-04-20,11.0,11.0,1
2021-04-21,25.0,25.0,1
2021-04-22,12.0,12.0,1
2021-04-23,5.0,5.0,1
2021-04-24,21.0,21.0,1
2021-04-25,13.0,13.0,1
2021-04-26,20.0,20.0,1
2021-04-27,14.0,14.0,1
2021-04-28,16.0,16.0,1
2021-04-29,20.0,20.0,1
2021-04-30,9.0,9.0,1
2021-05-01,12.0,12.0,1
2021-05-02,10.0,10.0,1
2021-05-03,15.0,15.0,1
2021-05-04,21.0,21.0,1
2021-05-05,17.0,17.0,1
2021-05-06,22.0,22.0,1
2021-05-07,7.0,7.0,1
2021-05-08,12.0,12.0,1
2021-05-09,11.0,11.0,1
2021-05-10,20.0,20.0,1
2021-05-11,6.0,6.0,1
2021-05-12,9.0,9.0,1
2021-05-13,14.0,14.0,1
2021-05-14,17.0,17.0,1
