date,/m/0j5fv_0,/m/0j5fv,batch_id
2021-02-01,60.0,60.0,1
2021-02-02,49.0,49.0,1
2021-02-03,71.0,71.0,1
2021-02-04,57.0,57.0,1
2021-02-05,68.0,68.0,1
2021-02-06,77.0,77.0,1
2021-02-07,42.0,42.0,1
2021-02-08,49.0,49.0,1
2021-02-09,44.0,44.0,1
2021-02-10,49.0,49.0,1
2021-02-11,96.0,96.0,1
2021-02-12,40.0,40.0,1
2021-02-13,45.0,45.0,1
2021-02-14,45.0,45.0,1
2021-02-15,65.0,65.0,1
2021-02-16,57.0,57.0,1
2021-02-17,79.0,79.0,1
2021-02-18,56.0,56.0,1
2021-02-19,65.0,65.0,1
2021-02-20,74.0,74.0,1
2021-02-21,41.0,41.0,1
2021-02-22,48.0,48.0,1
2021-02-23,29.0,29.0,1
2021-02-24,69.0,69.0,1
2021-02-25,69.0,69.0,1
2021-02-26,52.0,52.0,1
2021-02-27,77.0,77.0,1
2021-02-28,31.0,31.0,1
2021-03-01,50.0,50.0,1
2021-03-02,63.0,63.0,1
2021-03-03,40.0,40.0,1
2021-03-04,54.0,54.0,1
2021-03-05,53.0,53.0,1
2021-03-06,58.0,58.0,1
2021-03-07,81.0,81.0,1
2021-03-08,45.0,45.0,1
2021-03-09,55.0,55.0,1
2021-03-10,33.0,33.0,1
2021-03-11,61.0,61.0,1
2021-03-12,11.0,11.0,1
2021-03-13,72.0,72.0,1
2021-03-14,59.0,59.0,1
2021-03-15,35.0,35.0,1
2021-03-16,58.0,58.0,1
2021-03-17,28.0,28.0,1
2021-03-18,50.0,50.0,1
2021-03-19,35.0,35.0,1
2021-03-20,52.0,52.0,1
2021-03-21,61.0,61.0,1
2021-03-22,67.0,67.0,1
2021-03-23,100.0,100.0,1
2021-03-24,55.0,55.0,1
2021-03-25,63.0,63.0,1
2021-03-26,41.0,41.0,1
2021-03-27,55.0,55.0,1
2021-03-28,79.0,79.0,1
2021-03-29,70.0,70.0,1
2021-03-30,73.0,73.0,1
2021-03-31,87.0,87.0,1
2021-04-01,47.0,47.0,1
2021-04-02,54.0,54.0,1
2021-04-03,52.0,52.0,1
2021-04-04,86.0,86.0,1
2021-04-05,64.0,64.0,1
2021-04-06,43.0,43.0,1
2021-04-07,66.0,66.0,1
2021-04-08,45.0,45.0,1
2021-04-09,41.0,41.0,1
2021-04-10,46.0,46.0,1
2021-04-11,60.0,60.0,1
2021-04-12,65.0,65.0,1
2021-04-13,29.0,29.0,1
2021-04-14,56.0,56.0,1
2021-04-15,46.0,46.0,1
2021-04-16,36.0,36.0,1
2021-04-17,45.0,45.0,1
2021-04-18,58.0,58.0,1
2021-04-19,33.0,33.0,1
2021-04-20,51.0,51.0,1
2021-04-21,46.0,46.0,1
2021-04-22,46.0,46.0,1
2021-04-23,85.0,85.0,1
2021-04-24,60.0,60.0,1
2021-04-25,64.0,64.0,1
2021-04-26,22.0,22.0,1
2021-04-27,58.0,58.0,1
2021-04-28,69.0,69.0,1
2021-04-29,55.0,55.0,1
2021-04-30,39.0,39.0,1
2021-05-01,56.0,56.0,1
2021-05-02,49.0,49.0,1
2021-05-03,38.0,38.0,1
2021-05-04,47.0,47.0,1
2021-05-05,58.0,58.0,1
2021-05-06,44.0,44.0,1
2021-05-07,34.0,34.0,1
2021-05-08,56.0,56.0,1
2021-05-09,60.0,60.0,1
2021-05-10,50.0,50.0,1
2021-05-11,43.0,43.0,1
2021-05-12,79.0,79.0,1
2021-05-13,53.0,53.0,1
2021-05-14,18.0,18.0,1
