date,/m/0ftysn_0,/m/0ftysn,batch_id
2021-02-01,71.0,71.0,1
2021-02-02,35.0,35.0,1
2021-02-03,71.0,71.0,1
2021-02-04,56.0,56.0,1
2021-02-05,67.0,67.0,1
2021-02-06,13.0,13.0,1
2021-02-07,19.0,19.0,1
2021-02-08,59.0,59.0,1
2021-02-09,42.0,42.0,1
2021-02-10,47.0,47.0,1
2021-02-11,43.0,43.0,1
2021-02-12,31.0,31.0,1
2021-02-13,7.0,7.0,1
2021-02-14,7.0,7.0,1
2021-02-15,65.0,65.0,1
2021-02-16,43.0,43.0,1
2021-02-17,37.0,37.0,1
2021-02-18,67.0,67.0,1
2021-02-19,58.0,58.0,1
2021-02-20,22.0,22.0,1
2021-02-21,0.0,0.0,1
2021-02-22,46.0,46.0,1
2021-02-23,50.0,50.0,1
2021-02-24,100.0,100.0,1
2021-02-25,50.0,50.0,1
2021-02-26,56.0,56.0,1
2021-02-27,0.0,0.0,1
2021-02-28,0.0,0.0,1
2021-03-01,84.0,84.0,1
2021-03-02,43.0,43.0,1
2021-03-03,56.0,56.0,1
2021-03-04,41.0,41.0,1
2021-03-05,63.0,63.0,1
2021-03-06,42.0,42.0,1
2021-03-07,0.0,0.0,1
2021-03-08,24.0,24.0,1
2021-03-09,53.0,53.0,1
2021-03-10,60.0,60.0,1
2021-03-11,48.0,48.0,1
2021-03-12,50.0,50.0,1
2021-03-13,6.0,6.0,1
2021-03-14,25.0,25.0,1
2021-03-15,38.0,38.0,1
2021-03-16,47.0,47.0,1
2021-03-17,48.0,48.0,1
2021-03-18,36.0,36.0,1
2021-03-19,32.0,32.0,1
2021-03-20,28.0,28.0,1
2021-03-21,20.0,20.0,1
2021-03-22,72.0,72.0,1
2021-03-23,60.0,60.0,1
2021-03-24,48.0,48.0,1
2021-03-25,37.0,37.0,1
2021-03-26,70.0,70.0,1
2021-03-27,20.0,20.0,1
2021-03-28,14.0,14.0,1
2021-03-29,57.0,57.0,1
2021-03-30,65.0,65.0,1
2021-03-31,74.0,74.0,1
2021-04-01,19.0,19.0,1
2021-04-02,39.0,39.0,1
2021-04-03,35.0,35.0,1
2021-04-04,0.0,0.0,1
2021-04-05,13.0,13.0,1
2021-04-06,46.0,46.0,1
2021-04-07,24.0,24.0,1
2021-04-08,49.0,49.0,1
2021-04-09,50.0,50.0,1
2021-04-10,19.0,19.0,1
2021-04-11,32.0,32.0,1
2021-04-12,70.0,70.0,1
2021-04-13,50.0,50.0,1
2021-04-14,42.0,42.0,1
2021-04-15,55.0,55.0,1
2021-04-16,39.0,39.0,1
2021-04-17,28.0,28.0,1
2021-04-18,7.0,7.0,1
2021-04-19,35.0,35.0,1
2021-04-20,37.0,37.0,1
2021-04-21,74.0,74.0,1
2021-04-22,25.0,25.0,1
2021-04-23,65.0,65.0,1
2021-04-24,22.0,22.0,1
2021-04-25,7.0,7.0,1
2021-04-26,48.0,48.0,1
2021-04-27,75.0,75.0,1
2021-04-28,43.0,43.0,1
2021-04-29,48.0,48.0,1
2021-04-30,67.0,67.0,1
2021-05-01,20.0,20.0,1
2021-05-02,7.0,7.0,1
2021-05-03,47.0,47.0,1
2021-05-04,67.0,67.0,1
2021-05-05,40.0,40.0,1
2021-05-06,66.0,66.0,1
2021-05-07,49.0,49.0,1
2021-05-08,0.0,0.0,1
2021-05-09,7.0,7.0,1
2021-05-10,36.0,36.0,1
2021-05-11,29.0,29.0,1
2021-05-12,91.0,91.0,1
2021-05-13,45.0,45.0,1
2021-05-14,39.0,39.0,1
