date,/m/04t14_0,/m/04t14,batch_id
2021-02-01,58.0,58.0,1
2021-02-02,77.0,77.0,1
2021-02-03,90.0,90.0,1
2021-02-04,54.0,54.0,1
2021-02-05,67.0,67.0,1
2021-02-06,56.0,56.0,1
2021-02-07,28.0,28.0,1
2021-02-08,45.0,45.0,1
2021-02-09,33.0,33.0,1
2021-02-10,64.0,64.0,1
2021-02-11,67.0,67.0,1
2021-02-12,40.0,40.0,1
2021-02-13,68.0,68.0,1
2021-02-14,23.0,23.0,1
2021-02-15,52.0,52.0,1
2021-02-16,68.0,68.0,1
2021-02-17,100.0,100.0,1
2021-02-18,46.0,46.0,1
2021-02-19,21.0,21.0,1
2021-02-20,40.0,40.0,1
2021-02-21,32.0,32.0,1
2021-02-22,50.0,50.0,1
2021-02-23,48.0,48.0,1
2021-02-24,82.0,82.0,1
2021-02-25,61.0,61.0,1
2021-02-26,48.0,48.0,1
2021-02-27,8.0,8.0,1
2021-02-28,44.0,44.0,1
2021-03-01,79.0,79.0,1
2021-03-02,54.0,54.0,1
2021-03-03,96.0,96.0,1
2021-03-04,71.0,71.0,1
2021-03-05,41.0,41.0,1
2021-03-06,69.0,69.0,1
2021-03-07,51.0,51.0,1
2021-03-08,26.0,26.0,1
2021-03-09,91.0,91.0,1
2021-03-10,40.0,40.0,1
2021-03-11,53.0,53.0,1
2021-03-12,54.0,54.0,1
2021-03-13,71.0,71.0,1
2021-03-14,63.0,63.0,1
2021-03-15,62.0,62.0,1
2021-03-16,34.0,34.0,1
2021-03-17,59.0,59.0,1
2021-03-18,80.0,80.0,1
2021-03-19,28.0,28.0,1
2021-03-20,39.0,39.0,1
2021-03-21,29.0,29.0,1
2021-03-22,66.0,66.0,1
2021-03-23,72.0,72.0,1
2021-03-24,39.0,39.0,1
2021-03-25,75.0,75.0,1
2021-03-26,63.0,63.0,1
2021-03-27,44.0,44.0,1
2021-03-28,23.0,23.0,1
2021-03-29,62.0,62.0,1
2021-03-30,43.0,43.0,1
2021-03-31,37.0,37.0,1
2021-04-01,28.0,28.0,1
2021-04-02,43.0,43.0,1
2021-04-03,54.0,54.0,1
2021-04-04,55.0,55.0,1
2021-04-05,62.0,62.0,1
2021-04-06,44.0,44.0,1
2021-04-07,52.0,52.0,1
2021-04-08,81.0,81.0,1
2021-04-09,62.0,62.0,1
2021-04-10,41.0,41.0,1
2021-04-11,85.0,85.0,1
2021-04-12,32.0,32.0,1
2021-04-13,20.0,20.0,1
2021-04-14,60.0,60.0,1
2021-04-15,40.0,40.0,1
2021-04-16,56.0,56.0,1
2021-04-17,54.0,54.0,1
2021-04-18,100.0,100.0,1
2021-04-19,52.0,52.0,1
2021-04-20,67.0,67.0,1
2021-04-21,20.0,20.0,1
2021-04-22,55.0,55.0,1
2021-04-23,57.0,57.0,1
2021-04-24,48.0,48.0,1
2021-04-25,76.0,76.0,1
2021-04-26,39.0,39.0,1
2021-04-27,82.0,82.0,1
2021-04-28,68.0,68.0,1
2021-04-29,65.0,65.0,1
2021-04-30,27.0,27.0,1
2021-05-01,37.0,37.0,1
2021-05-02,51.0,51.0,1
2021-05-03,39.0,39.0,1
2021-05-04,43.0,43.0,1
2021-05-05,50.0,50.0,1
2021-05-06,46.0,46.0,1
2021-05-07,47.0,47.0,1
2021-05-08,66.0,66.0,1
2021-05-09,8.0,8.0,1
2021-05-10,59.0,59.0,1
2021-05-11,45.0,45.0,1
2021-05-12,73.0,73.0,1
2021-05-13,42.0,42.0,1
2021-05-14,64.0,64.0,1
