date,/m/0fydw_0,/m/0fydw,batch_id
2021-02-01,60.0,60.0,1
2021-02-02,69.0,69.0,1
2021-02-03,68.0,68.0,1
2021-02-04,75.0,75.0,1
2021-02-05,80.0,80.0,1
2021-02-06,77.0,77.0,1
2021-02-07,80.0,80.0,1
2021-02-08,80.0,80.0,1
2021-02-09,70.0,70.0,1
2021-02-10,74.0,74.0,1
2021-02-11,63.0,63.0,1
2021-02-12,74.0,74.0,1
2021-02-13,83.0,83.0,1
2021-02-14,84.0,84.0,1
2021-02-15,75.0,75.0,1
2021-02-16,81.0,81.0,1
2021-02-17,93.0,93.0,1
2021-02-18,89.0,89.0,1
2021-02-19,87.0,87.0,1
2021-02-20,77.0,77.0,1
2021-02-21,91.0,91.0,1
2021-02-22,85.0,85.0,1
2021-02-23,71.0,71.0,1
2021-02-24,79.0,79.0,1
2021-02-25,76.0,76.0,1
2021-02-26,68.0,68.0,1
2021-02-27,72.0,72.0,1
2021-02-28,71.0,71.0,1
2021-03-01,67.0,67.0,1
2021-03-02,81.0,81.0,1
2021-03-03,78.0,78.0,1
2021-03-04,72.0,72.0,1
2021-03-05,74.0,74.0,1
2021-03-06,71.0,71.0,1
2021-03-07,78.0,78.0,1
2021-03-08,76.0,76.0,1
2021-03-09,74.0,74.0,1
2021-03-10,81.0,81.0,1
2021-03-11,94.0,94.0,1
2021-03-12,82.0,82.0,1
2021-03-13,76.0,76.0,1
2021-03-14,70.0,70.0,1
2021-03-15,73.0,73.0,1
2021-03-16,72.0,72.0,1
2021-03-17,79.0,79.0,1
2021-03-18,72.0,72.0,1
2021-03-19,71.0,71.0,1
2021-03-20,83.0,83.0,1
2021-03-21,67.0,67.0,1
2021-03-22,72.0,72.0,1
2021-03-23,73.0,73.0,1
2021-03-24,74.0,74.0,1
2021-03-25,78.0,78.0,1
2021-03-26,71.0,71.0,1
2021-03-27,71.0,71.0,1
2021-03-28,80.0,80.0,1
2021-03-29,85.0,85.0,1
2021-03-30,78.0,78.0,1
2021-03-31,86.0,86.0,1
2021-04-01,72.0,72.0,1
2021-04-02,74.0,74.0,1
2021-04-03,69.0,69.0,1
2021-04-04,68.0,68.0,1
2021-04-05,70.0,70.0,1
2021-04-06,81.0,81.0,1
2021-04-07,73.0,73.0,1
2021-04-08,74.0,74.0,1
2021-04-09,75.0,75.0,1
2021-04-10,67.0,67.0,1
2021-04-11,83.0,83.0,1
2021-04-12,93.0,93.0,1
2021-04-13,88.0,88.0,1
2021-04-14,73.0,73.0,1
2021-04-15,74.0,74.0,1
2021-04-16,82.0,82.0,1
2021-04-17,82.0,82.0,1
2021-04-18,75.0,75.0,1
2021-04-19,74.0,74.0,1
2021-04-20,80.0,80.0,1
2021-04-21,71.0,71.0,1
2021-04-22,77.0,77.0,1
2021-04-23,85.0,85.0,1
2021-04-24,83.0,83.0,1
2021-04-25,76.0,76.0,1
2021-04-26,81.0,81.0,1
2021-04-27,77.0,77.0,1
2021-04-28,82.0,82.0,1
2021-04-29,85.0,85.0,1
2021-04-30,88.0,88.0,1
2021-05-01,79.0,79.0,1
2021-05-02,76.0,76.0,1
2021-05-03,86.0,86.0,1
2021-05-04,80.0,80.0,1
2021-05-05,78.0,78.0,1
2021-05-06,73.0,73.0,1
2021-05-07,81.0,81.0,1
2021-05-08,86.0,86.0,1
2021-05-09,95.0,95.0,1
2021-05-10,93.0,93.0,1
2021-05-11,100.0,100.0,1
2021-05-12,85.0,85.0,1
2021-05-13,88.0,88.0,1
2021-05-14,95.0,95.0,1
