date,/m/0n47k3m_0,/m/0n47k3m,batch_id
2021-02-01,0.0,0.0,1
2021-02-02,51.0,51.0,1
2021-02-03,10.0,10.0,1
2021-02-04,32.0,32.0,1
2021-02-05,32.0,32.0,1
2021-02-06,22.0,22.0,1
2021-02-07,57.0,57.0,1
2021-02-08,31.0,31.0,1
2021-02-09,31.0,31.0,1
2021-02-10,31.0,31.0,1
2021-02-11,64.0,64.0,1
2021-02-12,75.0,75.0,1
2021-02-13,36.0,36.0,1
2021-02-14,12.0,12.0,1
2021-02-15,31.0,31.0,1
2021-02-16,22.0,22.0,1
2021-02-17,43.0,43.0,1
2021-02-18,42.0,42.0,1
2021-02-19,56.0,56.0,1
2021-02-20,51.0,51.0,1
2021-02-21,26.0,26.0,1
2021-02-22,30.0,30.0,1
2021-02-23,54.0,54.0,1
2021-02-24,44.0,44.0,1
2021-02-25,22.0,22.0,1
2021-02-26,33.0,33.0,1
2021-02-27,12.0,12.0,1
2021-02-28,35.0,35.0,1
2021-03-01,0.0,0.0,1
2021-03-02,76.0,76.0,1
2021-03-03,55.0,55.0,1
2021-03-04,41.0,41.0,1
2021-03-05,55.0,55.0,1
2021-03-06,49.0,49.0,1
2021-03-07,59.0,59.0,1
2021-03-08,32.0,32.0,1
2021-03-09,41.0,41.0,1
2021-03-10,32.0,32.0,1
2021-03-11,42.0,42.0,1
2021-03-12,43.0,43.0,1
2021-03-13,57.0,57.0,1
2021-03-14,100.0,100.0,1
2021-03-15,25.0,25.0,1
2021-03-16,36.0,36.0,1
2021-03-17,52.0,52.0,1
2021-03-18,42.0,42.0,1
2021-03-19,33.0,33.0,1
2021-03-20,49.0,49.0,1
2021-03-21,46.0,46.0,1
2021-03-22,0.0,0.0,1
2021-03-23,52.0,52.0,1
2021-03-24,10.0,10.0,1
2021-03-25,11.0,11.0,1
2021-03-26,33.0,33.0,1
2021-03-27,0.0,0.0,1
2021-03-28,25.0,25.0,1
2021-03-29,44.0,44.0,1
2021-03-30,23.0,23.0,1
2021-03-31,70.0,70.0,1
2021-04-01,11.0,11.0,1
2021-04-02,11.0,11.0,1
2021-04-03,49.0,49.0,1
2021-04-04,50.0,50.0,1
2021-04-05,66.0,66.0,1
2021-04-06,30.0,30.0,1
2021-04-07,41.0,41.0,1
2021-04-08,43.0,43.0,1
2021-04-09,44.0,44.0,1
2021-04-10,44.0,44.0,1
2021-04-11,34.0,34.0,1
2021-04-12,61.0,61.0,1
2021-04-13,33.0,33.0,1
2021-04-14,63.0,63.0,1
2021-04-15,54.0,54.0,1
2021-04-16,90.0,90.0,1
2021-04-17,37.0,37.0,1
2021-04-18,25.0,25.0,1
2021-04-19,31.0,31.0,1
2021-04-20,43.0,43.0,1
2021-04-21,11.0,11.0,1
2021-04-22,22.0,22.0,1
2021-04-23,57.0,57.0,1
2021-04-24,0.0,0.0,1
2021-04-25,24.0,24.0,1
2021-04-26,11.0,11.0,1
2021-04-27,11.0,11.0,1
2021-04-28,22.0,22.0,1
2021-04-29,52.0,52.0,1
2021-04-30,53.0,53.0,1
2021-05-01,47.0,47.0,1
2021-05-02,46.0,46.0,1
2021-05-03,10.0,10.0,1
2021-05-04,29.0,29.0,1
2021-05-05,20.0,20.0,1
2021-05-06,42.0,42.0,1
2021-05-07,11.0,11.0,1
2021-05-08,24.0,24.0,1
2021-05-09,25.0,25.0,1
2021-05-10,21.0,21.0,1
2021-05-11,10.0,10.0,1
2021-05-12,42.0,42.0,1
2021-05-13,33.0,33.0,1
2021-05-14,23.0,23.0,1
