date,/g/11btmsd1xx_0,/g/11btmsd1xx,batch_id
2021-02-01,74.0,74.0,1
2021-02-02,50.0,50.0,1
2021-02-03,54.0,54.0,1
2021-02-04,63.0,63.0,1
2021-02-05,42.0,42.0,1
2021-02-06,66.0,66.0,1
2021-02-07,66.0,66.0,1
2021-02-08,47.0,47.0,1
2021-02-09,55.0,55.0,1
2021-02-10,80.0,80.0,1
2021-02-11,52.0,52.0,1
2021-02-12,32.0,32.0,1
2021-02-13,51.0,51.0,1
2021-02-14,59.0,59.0,1
2021-02-15,67.0,67.0,1
2021-02-16,63.0,63.0,1
2021-02-17,62.0,62.0,1
2021-02-18,69.0,69.0,1
2021-02-19,66.0,66.0,1
2021-02-20,50.0,50.0,1
2021-02-21,80.0,80.0,1
2021-02-22,52.0,52.0,1
2021-02-23,67.0,67.0,1
2021-02-24,46.0,46.0,1
2021-02-25,74.0,74.0,1
2021-02-26,89.0,89.0,1
2021-02-27,47.0,47.0,1
2021-02-28,68.0,68.0,1
2021-03-01,65.0,65.0,1
2021-03-02,74.0,74.0,1
2021-03-03,92.0,92.0,1
2021-03-04,67.0,67.0,1
2021-03-05,50.0,50.0,1
2021-03-06,52.0,52.0,1
2021-03-07,57.0,57.0,1
2021-03-08,76.0,76.0,1
2021-03-09,61.0,61.0,1
2021-03-10,34.0,34.0,1
2021-03-11,69.0,69.0,1
2021-03-12,92.0,92.0,1
2021-03-13,52.0,52.0,1
2021-03-14,65.0,65.0,1
2021-03-15,75.0,75.0,1
2021-03-16,68.0,68.0,1
2021-03-17,99.0,99.0,1
2021-03-18,100.0,100.0,1
2021-03-19,83.0,83.0,1
2021-03-20,68.0,68.0,1
2021-03-21,86.0,86.0,1
2021-03-22,75.0,75.0,1
2021-03-23,68.0,68.0,1
2021-03-24,41.0,41.0,1
2021-03-25,60.0,60.0,1
2021-03-26,65.0,65.0,1
2021-03-27,64.0,64.0,1
2021-03-28,49.0,49.0,1
2021-03-29,61.0,61.0,1
2021-03-30,33.0,33.0,1
2021-03-31,76.0,76.0,1
2021-04-01,87.0,87.0,1
2021-04-02,52.0,52.0,1
2021-04-03,44.0,44.0,1
2021-04-04,97.0,97.0,1
2021-04-05,50.0,50.0,1
2021-04-06,62.0,62.0,1
2021-04-07,81.0,81.0,1
2021-04-08,28.0,28.0,1
2021-04-09,61.0,61.0,1
2021-04-10,39.0,39.0,1
2021-04-11,55.0,55.0,1
2021-04-12,53.0,53.0,1
2021-04-13,71.0,71.0,1
2021-04-14,52.0,52.0,1
2021-04-15,70.0,70.0,1
2021-04-16,62.0,62.0,1
2021-04-17,44.0,44.0,1
2021-04-18,44.0,44.0,1
2021-04-19,57.0,57.0,1
2021-04-20,69.0,69.0,1
2021-04-21,67.0,67.0,1
2021-04-22,75.0,75.0,1
2021-04-23,41.0,41.0,1
2021-04-24,41.0,41.0,1
2021-04-25,63.0,63.0,1
2021-04-26,51.0,51.0,1
2021-04-27,53.0,53.0,1
2021-04-28,63.0,63.0,1
2021-04-29,47.0,47.0,1
2021-04-30,52.0,52.0,1
2021-05-01,61.0,61.0,1
2021-05-02,41.0,41.0,1
2021-05-03,53.0,53.0,1
2021-05-04,80.0,80.0,1
2021-05-05,62.0,62.0,1
2021-05-06,47.0,47.0,1
2021-05-07,46.0,46.0,1
2021-05-08,61.0,61.0,1
2021-05-09,25.0,25.0,1
2021-05-10,47.0,47.0,1
2021-05-11,46.0,46.0,1
2021-05-12,52.0,52.0,1
2021-05-13,47.0,47.0,1
2021-05-14,44.0,44.0,1
