date,/g/11bcfb_qvx_0,/g/11bcfb_qvx,batch_id
2021-02-01,34.0,34.0,1
2021-02-02,39.0,39.0,1
2021-02-03,43.0,43.0,1
2021-02-04,59.0,59.0,1
2021-02-05,71.0,71.0,1
2021-02-06,33.0,33.0,1
2021-02-07,24.0,24.0,1
2021-02-08,22.0,22.0,1
2021-02-09,53.0,53.0,1
2021-02-10,43.0,43.0,1
2021-02-11,85.0,85.0,1
2021-02-12,36.0,36.0,1
2021-02-13,66.0,66.0,1
2021-02-14,56.0,56.0,1
2021-02-15,39.0,39.0,1
2021-02-16,41.0,41.0,1
2021-02-17,58.0,58.0,1
2021-02-18,53.0,53.0,1
2021-02-19,28.0,28.0,1
2021-02-20,48.0,48.0,1
2021-02-21,76.0,76.0,1
2021-02-22,50.0,50.0,1
2021-02-23,100.0,100.0,1
2021-02-24,41.0,41.0,1
2021-02-25,96.0,96.0,1
2021-02-26,91.0,91.0,1
2021-02-27,71.0,71.0,1
2021-02-28,59.0,59.0,1
2021-03-01,62.0,62.0,1
2021-03-02,50.0,50.0,1
2021-03-03,37.0,37.0,1
2021-03-04,47.0,47.0,1
2021-03-05,46.0,46.0,1
2021-03-06,31.0,31.0,1
2021-03-07,69.0,69.0,1
2021-03-08,44.0,44.0,1
2021-03-09,30.0,30.0,1
2021-03-10,49.0,49.0,1
2021-03-11,58.0,58.0,1
2021-03-12,86.0,86.0,1
2021-03-13,76.0,76.0,1
2021-03-14,51.0,51.0,1
2021-03-15,48.0,48.0,1
2021-03-16,76.0,76.0,1
2021-03-17,61.0,61.0,1
2021-03-18,62.0,62.0,1
2021-03-19,32.0,32.0,1
2021-03-20,31.0,31.0,1
2021-03-21,48.0,48.0,1
2021-03-22,57.0,57.0,1
2021-03-23,35.0,35.0,1
2021-03-24,39.0,39.0,1
2021-03-25,91.0,91.0,1
2021-03-26,51.0,51.0,1
2021-03-27,49.0,49.0,1
2021-03-28,21.0,21.0,1
2021-03-29,51.0,51.0,1
2021-03-30,57.0,57.0,1
2021-03-31,74.0,74.0,1
2021-04-01,70.0,70.0,1
2021-04-02,52.0,52.0,1
2021-04-03,36.0,36.0,1
2021-04-04,42.0,42.0,1
2021-04-05,41.0,41.0,1
2021-04-06,63.0,63.0,1
2021-04-07,39.0,39.0,1
2021-04-08,40.0,40.0,1
2021-04-09,69.0,69.0,1
2021-04-10,36.0,36.0,1
2021-04-11,71.0,71.0,1
2021-04-12,34.0,34.0,1
2021-04-13,50.0,50.0,1
2021-04-14,53.0,53.0,1
2021-04-15,63.0,63.0,1
2021-04-16,47.0,47.0,1
2021-04-17,62.0,62.0,1
2021-04-18,67.0,67.0,1
2021-04-19,56.0,56.0,1
2021-04-20,22.0,22.0,1
2021-04-21,50.0,50.0,1
2021-04-22,69.0,69.0,1
2021-04-23,34.0,34.0,1
2021-04-24,42.0,42.0,1
2021-04-25,46.0,46.0,1
2021-04-26,62.0,62.0,1
2021-04-27,96.0,96.0,1
2021-04-28,41.0,41.0,1
2021-04-29,39.0,39.0,1
2021-04-30,53.0,53.0,1
2021-05-01,54.0,54.0,1
2021-05-02,58.0,58.0,1
2021-05-03,60.0,60.0,1
2021-05-04,62.0,62.0,1
2021-05-05,63.0,63.0,1
2021-05-06,52.0,52.0,1
2021-05-07,45.0,45.0,1
2021-05-08,35.0,35.0,1
2021-05-09,69.0,69.0,1
2021-05-10,74.0,74.0,1
2021-05-11,64.0,64.0,1
2021-05-12,27.0,27.0,1
2021-05-13,42.0,42.0,1
2021-05-14,48.0,48.0,1
