date,/m/09nqf_0,/m/09nqf,batch_id
2021-02-01,58.0,58.0,1
2021-02-02,65.0,65.0,1
2021-02-03,49.0,49.0,1
2021-02-04,62.0,62.0,1
2021-02-05,54.0,54.0,1
2021-02-06,48.0,48.0,1
2021-02-07,48.0,48.0,1
2021-02-08,67.0,67.0,1
2021-02-09,68.0,68.0,1
2021-02-10,68.0,68.0,1
2021-02-11,81.0,81.0,1
2021-02-12,53.0,53.0,1
2021-02-13,55.0,55.0,1
2021-02-14,58.0,58.0,1
2021-02-15,67.0,67.0,1
2021-02-16,43.0,43.0,1
2021-02-17,100.0,100.0,1
2021-02-18,52.0,52.0,1
2021-02-19,82.0,82.0,1
2021-02-20,65.0,65.0,1
2021-02-21,41.0,41.0,1
2021-02-22,49.0,49.0,1
2021-02-23,82.0,82.0,1
2021-02-24,56.0,56.0,1
2021-02-25,75.0,75.0,1
2021-02-26,60.0,60.0,1
2021-02-27,37.0,37.0,1
2021-02-28,55.0,55.0,1
2021-03-01,55.0,55.0,1
2021-03-02,51.0,51.0,1
2021-03-03,72.0,72.0,1
2021-03-04,65.0,65.0,1
2021-03-05,61.0,61.0,1
2021-03-06,49.0,49.0,1
2021-03-07,42.0,42.0,1
2021-03-08,43.0,43.0,1
2021-03-09,70.0,70.0,1
2021-03-10,83.0,83.0,1
2021-03-11,46.0,46.0,1
2021-03-12,60.0,60.0,1
2021-03-13,67.0,67.0,1
2021-03-14,47.0,47.0,1
2021-03-15,66.0,66.0,1
2021-03-16,60.0,60.0,1
2021-03-17,61.0,61.0,1
2021-03-18,74.0,74.0,1
2021-03-19,41.0,41.0,1
2021-03-20,44.0,44.0,1
2021-03-21,63.0,63.0,1
2021-03-22,65.0,65.0,1
2021-03-23,59.0,59.0,1
2021-03-24,40.0,40.0,1
2021-03-25,57.0,57.0,1
2021-03-26,54.0,54.0,1
2021-03-27,42.0,42.0,1
2021-03-28,51.0,51.0,1
2021-03-29,73.0,73.0,1
2021-03-30,60.0,60.0,1
2021-03-31,63.0,63.0,1
2021-04-01,72.0,72.0,1
2021-04-02,47.0,47.0,1
2021-04-03,42.0,42.0,1
2021-04-04,34.0,34.0,1
2021-04-05,66.0,66.0,1
2021-04-06,57.0,57.0,1
2021-04-07,53.0,53.0,1
2021-04-08,56.0,56.0,1
2021-04-09,77.0,77.0,1
2021-04-10,57.0,57.0,1
2021-04-11,41.0,41.0,1
2021-04-12,56.0,56.0,1
2021-04-13,64.0,64.0,1
2021-04-14,63.0,63.0,1
2021-04-15,70.0,70.0,1
2021-04-16,51.0,51.0,1
2021-04-17,64.0,64.0,1
2021-04-18,42.0,42.0,1
2021-04-19,55.0,55.0,1
2021-04-20,57.0,57.0,1
2021-04-21,52.0,52.0,1
2021-04-22,45.0,45.0,1
2021-04-23,60.0,60.0,1
2021-04-24,42.0,42.0,1
2021-04-25,43.0,43.0,1
2021-04-26,71.0,71.0,1
2021-04-27,59.0,59.0,1
2021-04-28,73.0,73.0,1
2021-04-29,47.0,47.0,1
2021-04-30,45.0,45.0,1
2021-05-01,43.0,43.0,1
2021-05-02,51.0,51.0,1
2021-05-03,64.0,64.0,1
2021-05-04,75.0,75.0,1
2021-05-05,47.0,47.0,1
2021-05-06,52.0,52.0,1
2021-05-07,49.0,49.0,1
2021-05-08,40.0,40.0,1
2021-05-09,71.0,71.0,1
2021-05-10,57.0,57.0,1
2021-05-11,53.0,53.0,1
2021-05-12,51.0,51.0,1
2021-05-13,61.0,61.0,1
2021-05-14,69.0,69.0,1
