date,/m/014d3g_0,/m/014d3g,batch_id
2021-02-01,22.0,22.0,1
2021-02-02,14.0,14.0,1
2021-02-03,43.0,43.0,1
2021-02-04,46.0,46.0,1
2021-02-05,38.0,38.0,1
2021-02-06,48.0,48.0,1
2021-02-07,24.0,24.0,1
2021-02-08,36.0,36.0,1
2021-02-09,37.0,37.0,1
2021-02-10,36.0,36.0,1
2021-02-11,52.0,52.0,1
2021-02-12,46.0,46.0,1
2021-02-13,51.0,51.0,1
2021-02-14,34.0,34.0,1
2021-02-15,7.0,7.0,1
2021-02-16,38.0,38.0,1
2021-02-17,68.0,68.0,1
2021-02-18,45.0,45.0,1
2021-02-19,55.0,55.0,1
2021-02-20,9.0,9.0,1
2021-02-21,36.0,36.0,1
2021-02-22,42.0,42.0,1
2021-02-23,46.0,46.0,1
2021-02-24,100.0,100.0,1
2021-02-25,23.0,23.0,1
2021-02-26,31.0,31.0,1
2021-02-27,34.0,34.0,1
2021-02-28,58.0,58.0,1
2021-03-01,22.0,22.0,1
2021-03-02,0.0,0.0,1
2021-03-03,46.0,46.0,1
2021-03-04,58.0,58.0,1
2021-03-05,8.0,8.0,1
2021-03-06,86.0,86.0,1
2021-03-07,41.0,41.0,1
2021-03-08,22.0,22.0,1
2021-03-09,29.0,29.0,1
2021-03-10,7.0,7.0,1
2021-03-11,37.0,37.0,1
2021-03-12,53.0,53.0,1
2021-03-13,64.0,64.0,1
2021-03-14,71.0,71.0,1
2021-03-15,23.0,23.0,1
2021-03-16,45.0,45.0,1
2021-03-17,66.0,66.0,1
2021-03-18,45.0,45.0,1
2021-03-19,47.0,47.0,1
2021-03-20,87.0,87.0,1
2021-03-21,32.0,32.0,1
2021-03-22,81.0,81.0,1
2021-03-23,22.0,22.0,1
2021-03-24,52.0,52.0,1
2021-03-25,46.0,46.0,1
2021-03-26,24.0,24.0,1
2021-03-27,49.0,49.0,1
2021-03-28,53.0,53.0,1
2021-03-29,54.0,54.0,1
2021-03-30,64.0,64.0,1
2021-03-31,58.0,58.0,1
2021-04-01,31.0,31.0,1
2021-04-02,48.0,48.0,1
2021-04-03,26.0,26.0,1
2021-04-04,35.0,35.0,1
2021-04-05,54.0,54.0,1
2021-04-06,57.0,57.0,1
2021-04-07,29.0,29.0,1
2021-04-08,53.0,53.0,1
2021-04-09,85.0,85.0,1
2021-04-10,31.0,31.0,1
2021-04-11,56.0,56.0,1
2021-04-12,36.0,36.0,1
2021-04-13,23.0,23.0,1
2021-04-14,52.0,52.0,1
2021-04-15,23.0,23.0,1
2021-04-16,32.0,32.0,1
2021-04-17,35.0,35.0,1
2021-04-18,26.0,26.0,1
2021-04-19,22.0,22.0,1
2021-04-20,30.0,30.0,1
2021-04-21,30.0,30.0,1
2021-04-22,39.0,39.0,1
2021-04-23,24.0,24.0,1
2021-04-24,62.0,62.0,1
2021-04-25,17.0,17.0,1
2021-04-26,22.0,22.0,1
2021-04-27,23.0,23.0,1
2021-04-28,23.0,23.0,1
2021-04-29,37.0,37.0,1
2021-04-30,37.0,37.0,1
2021-05-01,25.0,25.0,1
2021-05-02,82.0,82.0,1
2021-05-03,58.0,58.0,1
2021-05-04,35.0,35.0,1
2021-05-05,50.0,50.0,1
2021-05-06,37.0,37.0,1
2021-05-07,61.0,61.0,1
2021-05-08,58.0,58.0,1
2021-05-09,53.0,53.0,1
2021-05-10,59.0,59.0,1
2021-05-11,36.0,36.0,1
2021-05-12,37.0,37.0,1
2021-05-13,39.0,39.0,1
2021-05-14,64.0,64.0,1
