date,/m/0cnxs6x_0,/m/0cnxs6x,batch_id
2021-02-01,70.0,70.0,1
2021-02-02,77.0,77.0,1
2021-02-03,63.0,63.0,1
2021-02-04,68.0,68.0,1
2021-02-05,65.0,65.0,1
2021-02-06,76.0,76.0,1
2021-02-07,44.0,44.0,1
2021-02-08,49.0,49.0,1
2021-02-09,76.0,76.0,1
2021-02-10,72.0,72.0,1
2021-02-11,53.0,53.0,1
2021-02-12,78.0,78.0,1
2021-02-13,68.0,68.0,1
2021-02-14,52.0,52.0,1
2021-02-15,54.0,54.0,1
2021-02-16,73.0,73.0,1
2021-02-17,43.0,43.0,1
2021-02-18,77.0,77.0,1
2021-02-19,64.0,64.0,1
2021-02-20,81.0,81.0,1
2021-02-21,76.0,76.0,1
2021-02-22,66.0,66.0,1
2021-02-23,71.0,71.0,1
2021-02-24,79.0,79.0,1
2021-02-25,62.0,62.0,1
2021-02-26,54.0,54.0,1
2021-02-27,82.0,82.0,1
2021-02-28,40.0,40.0,1
2021-03-01,74.0,74.0,1
2021-03-02,73.0,73.0,1
2021-03-03,57.0,57.0,1
2021-03-04,75.0,75.0,1
2021-03-05,60.0,60.0,1
2021-03-06,72.0,72.0,1
2021-03-07,69.0,69.0,1
2021-03-08,74.0,74.0,1
2021-03-09,77.0,77.0,1
2021-03-10,88.0,88.0,1
2021-03-11,67.0,67.0,1
2021-03-12,56.0,56.0,1
2021-03-13,46.0,46.0,1
2021-03-14,70.0,70.0,1
2021-03-15,50.0,50.0,1
2021-03-16,86.0,86.0,1
2021-03-17,76.0,76.0,1
2021-03-18,81.0,81.0,1
2021-03-19,70.0,70.0,1
2021-03-20,73.0,73.0,1
2021-03-21,34.0,34.0,1
2021-03-22,52.0,52.0,1
2021-03-23,93.0,93.0,1
2021-03-24,73.0,73.0,1
2021-03-25,34.0,34.0,1
2021-03-26,28.0,28.0,1
2021-03-27,37.0,37.0,1
2021-03-28,70.0,70.0,1
2021-03-29,70.0,70.0,1
2021-03-30,36.0,36.0,1
2021-03-31,45.0,45.0,1
2021-04-01,58.0,58.0,1
2021-04-02,51.0,51.0,1
2021-04-03,69.0,69.0,1
2021-04-04,70.0,70.0,1
2021-04-05,67.0,67.0,1
2021-04-06,75.0,75.0,1
2021-04-07,71.0,71.0,1
2021-04-08,58.0,58.0,1
2021-04-09,72.0,72.0,1
2021-04-10,86.0,86.0,1
2021-04-11,67.0,67.0,1
2021-04-12,74.0,74.0,1
2021-04-13,59.0,59.0,1
2021-04-14,81.0,81.0,1
2021-04-15,100.0,100.0,1
2021-04-16,71.0,71.0,1
2021-04-17,50.0,50.0,1
2021-04-18,78.0,78.0,1
2021-04-19,68.0,68.0,1
2021-04-20,82.0,82.0,1
2021-04-21,59.0,59.0,1
2021-04-22,89.0,89.0,1
2021-04-23,52.0,52.0,1
2021-04-24,66.0,66.0,1
2021-04-25,58.0,58.0,1
2021-04-26,74.0,74.0,1
2021-04-27,74.0,74.0,1
2021-04-28,66.0,66.0,1
2021-04-29,49.0,49.0,1
2021-04-30,43.0,43.0,1
2021-05-01,50.0,50.0,1
2021-05-02,73.0,73.0,1
2021-05-03,74.0,74.0,1
2021-05-04,62.0,62.0,1
2021-05-05,55.0,55.0,1
2021-05-06,71.0,71.0,1
2021-05-07,71.0,71.0,1
2021-05-08,77.0,77.0,1
2021-05-09,46.0,46.0,1
2021-05-10,40.0,40.0,1
2021-05-11,62.0,62.0,1
2021-05-12,75.0,75.0,1
2021-05-13,28.0,28.0,1
2021-05-14,70.0,70.0,1
