date,/m/016c68_0,/m/016c68,batch_id
2021-02-01,67.0,67.0,1
2021-02-02,55.0,55.0,1
2021-02-03,52.0,52.0,1
2021-02-04,43.0,43.0,1
2021-02-05,50.0,50.0,1
2021-02-06,61.0,61.0,1
2021-02-07,57.0,57.0,1
2021-02-08,92.0,92.0,1
2021-02-09,49.0,49.0,1
2021-02-10,55.0,55.0,1
2021-02-11,57.0,57.0,1
2021-02-12,73.0,73.0,1
2021-02-13,56.0,56.0,1
2021-02-14,48.0,48.0,1
2021-02-15,52.0,52.0,1
2021-02-16,62.0,62.0,1
2021-02-17,69.0,69.0,1
2021-02-18,65.0,65.0,1
2021-02-19,48.0,48.0,1
2021-02-20,41.0,41.0,1
2021-02-21,69.0,69.0,1
2021-02-22,47.0,47.0,1
2021-02-23,43.0,43.0,1
2021-02-24,43.0,43.0,1
2021-02-25,63.0,63.0,1
2021-02-26,62.0,62.0,1
2021-02-27,100.0,100.0,1
2021-02-28,63.0,63.0,1
2021-03-01,57.0,57.0,1
2021-03-02,62.0,62.0,1
2021-03-03,47.0,47.0,1
2021-03-04,52.0,52.0,1
2021-03-05,59.0,59.0,1
2021-03-06,48.0,48.0,1
2021-03-07,84.0,84.0,1
2021-03-08,61.0,61.0,1
2021-03-09,56.0,56.0,1
2021-03-10,49.0,49.0,1
2021-03-11,83.0,83.0,1
2021-03-12,78.0,78.0,1
2021-03-13,45.0,45.0,1
2021-03-14,72.0,72.0,1
2021-03-15,44.0,44.0,1
2021-03-16,42.0,42.0,1
2021-03-17,53.0,53.0,1
2021-03-18,57.0,57.0,1
2021-03-19,84.0,84.0,1
2021-03-20,40.0,40.0,1
2021-03-21,33.0,33.0,1
2021-03-22,75.0,75.0,1
2021-03-23,64.0,64.0,1
2021-03-24,41.0,41.0,1
2021-03-25,54.0,54.0,1
2021-03-26,64.0,64.0,1
2021-03-27,84.0,84.0,1
2021-03-28,76.0,76.0,1
2021-03-29,75.0,75.0,1
2021-03-30,66.0,66.0,1
2021-03-31,25.0,25.0,1
2021-04-01,84.0,84.0,1
2021-04-02,45.0,45.0,1
2021-04-03,79.0,79.0,1
2021-04-04,81.0,81.0,1
2021-04-05,16.0,16.0,1
2021-04-06,43.0,43.0,1
2021-04-07,78.0,78.0,1
2021-04-08,81.0,81.0,1
2021-04-09,67.0,67.0,1
2021-04-10,90.0,90.0,1
2021-04-11,65.0,65.0,1
2021-04-12,37.0,37.0,1
2021-04-13,62.0,62.0,1
2021-04-14,57.0,57.0,1
2021-04-15,62.0,62.0,1
2021-04-16,52.0,52.0,1
2021-04-17,66.0,66.0,1
2021-04-18,71.0,71.0,1
2021-04-19,56.0,56.0,1
2021-04-20,34.0,34.0,1
2021-04-21,86.0,86.0,1
2021-04-22,55.0,55.0,1
2021-04-23,33.0,33.0,1
2021-04-24,50.0,50.0,1
2021-04-25,74.0,74.0,1
2021-04-26,49.0,49.0,1
2021-04-27,55.0,55.0,1
2021-04-28,27.0,27.0,1
2021-04-29,67.0,67.0,1
2021-04-30,53.0,53.0,1
2021-05-01,71.0,71.0,1
2021-05-02,50.0,50.0,1
2021-05-03,52.0,52.0,1
2021-05-04,81.0,81.0,1
2021-05-05,51.0,51.0,1
2021-05-06,56.0,56.0,1
2021-05-07,50.0,50.0,1
2021-05-08,51.0,51.0,1
2021-05-09,63.0,63.0,1
2021-05-10,75.0,75.0,1
2021-05-11,69.0,69.0,1
2021-05-12,34.0,34.0,1
2021-05-13,60.0,60.0,1
2021-05-14,29.0,29.0,1
