date,/m/027x3_0,/m/027x3,batch_id
2021-02-01,83.0,83.0,1
2021-02-02,90.0,90.0,1
2021-02-03,59.0,59.0,1
2021-02-04,80.0,80.0,1
2021-02-05,74.0,74.0,1
2021-02-06,66.0,66.0,1
2021-02-07,54.0,54.0,1
2021-02-08,70.0,70.0,1
2021-02-09,55.0,55.0,1
2021-02-10,67.0,67.0,1
2021-02-11,61.0,61.0,1
2021-02-12,50.0,50.0,1
2021-02-13,63.0,63.0,1
2021-02-14,61.0,61.0,1
2021-02-15,48.0,48.0,1
2021-02-16,67.0,67.0,1
2021-02-17,94.0,94.0,1
2021-02-18,74.0,74.0,1
2021-02-19,66.0,66.0,1
2021-02-20,41.0,41.0,1
2021-02-21,60.0,60.0,1
2021-02-22,59.0,59.0,1
2021-02-23,70.0,70.0,1
2021-02-24,83.0,83.0,1
2021-02-25,61.0,61.0,1
2021-02-26,72.0,72.0,1
2021-02-27,77.0,77.0,1
2021-02-28,70.0,70.0,1
2021-03-01,73.0,73.0,1
2021-03-02,87.0,87.0,1
2021-03-03,59.0,59.0,1
2021-03-04,78.0,78.0,1
2021-03-05,63.0,63.0,1
2021-03-06,47.0,47.0,1
2021-03-07,65.0,65.0,1
2021-03-08,68.0,68.0,1
2021-03-09,70.0,70.0,1
2021-03-10,76.0,76.0,1
2021-03-11,59.0,59.0,1
2021-03-12,89.0,89.0,1
2021-03-13,75.0,75.0,1
2021-03-14,57.0,57.0,1
2021-03-15,75.0,75.0,1
2021-03-16,56.0,56.0,1
2021-03-17,100.0,100.0,1
2021-03-18,70.0,70.0,1
2021-03-19,72.0,72.0,1
2021-03-20,59.0,59.0,1
2021-03-21,71.0,71.0,1
2021-03-22,84.0,84.0,1
2021-03-23,62.0,62.0,1
2021-03-24,55.0,55.0,1
2021-03-25,67.0,67.0,1
2021-03-26,79.0,79.0,1
2021-03-27,43.0,43.0,1
2021-03-28,67.0,67.0,1
2021-03-29,92.0,92.0,1
2021-03-30,71.0,71.0,1
2021-03-31,83.0,83.0,1
2021-04-01,62.0,62.0,1
2021-04-02,60.0,60.0,1
2021-04-03,38.0,38.0,1
2021-04-04,61.0,61.0,1
2021-04-05,61.0,61.0,1
2021-04-06,76.0,76.0,1
2021-04-07,58.0,58.0,1
2021-04-08,68.0,68.0,1
2021-04-09,81.0,81.0,1
2021-04-10,45.0,45.0,1
2021-04-11,51.0,51.0,1
2021-04-12,54.0,54.0,1
2021-04-13,69.0,69.0,1
2021-04-14,60.0,60.0,1
2021-04-15,58.0,58.0,1
2021-04-16,57.0,57.0,1
2021-04-17,49.0,49.0,1
2021-04-18,45.0,45.0,1
2021-04-19,86.0,86.0,1
2021-04-20,72.0,72.0,1
2021-04-21,57.0,57.0,1
2021-04-22,78.0,78.0,1
2021-04-23,69.0,69.0,1
2021-04-24,61.0,61.0,1
2021-04-25,60.0,60.0,1
2021-04-26,91.0,91.0,1
2021-04-27,69.0,69.0,1
2021-04-28,87.0,87.0,1
2021-04-29,79.0,79.0,1
2021-04-30,69.0,69.0,1
2021-05-01,63.0,63.0,1
2021-05-02,63.0,63.0,1
2021-05-03,70.0,70.0,1
2021-05-04,82.0,82.0,1
2021-05-05,59.0,59.0,1
2021-05-06,79.0,79.0,1
2021-05-07,70.0,70.0,1
2021-05-08,60.0,60.0,1
2021-05-09,58.0,58.0,1
2021-05-10,82.0,82.0,1
2021-05-11,79.0,79.0,1
2021-05-12,82.0,82.0,1
2021-05-13,67.0,67.0,1
2021-05-14,42.0,42.0,1
