date,/m/01b_5g_0,/m/01b_5g,batch_id
2021-02-01,62.0,62.0,1
2021-02-02,52.0,52.0,1
2021-02-03,62.0,62.0,1
2021-02-04,33.0,33.0,1
2021-02-05,54.0,54.0,1
2021-02-06,79.0,79.0,1
2021-02-07,11.0,11.0,1
2021-02-08,31.0,31.0,1
2021-02-09,11.0,11.0,1
2021-02-10,0.0,0.0,1
2021-02-11,11.0,11.0,1
2021-02-12,33.0,33.0,1
2021-02-13,0.0,0.0,1
2021-02-14,24.0,24.0,1
2021-02-15,0.0,0.0,1
2021-02-16,11.0,11.0,1
2021-02-17,32.0,32.0,1
2021-02-18,32.0,32.0,1
2021-02-19,57.0,57.0,1
2021-02-20,64.0,64.0,1
2021-02-21,0.0,0.0,1
2021-02-22,20.0,20.0,1
2021-02-23,44.0,44.0,1
2021-02-24,44.0,44.0,1
2021-02-25,55.0,55.0,1
2021-02-26,88.0,88.0,1
2021-02-27,24.0,24.0,1
2021-02-28,0.0,0.0,1
2021-03-01,32.0,32.0,1
2021-03-02,33.0,33.0,1
2021-03-03,44.0,44.0,1
2021-03-04,21.0,21.0,1
2021-03-05,22.0,22.0,1
2021-03-06,12.0,12.0,1
2021-03-07,12.0,12.0,1
2021-03-08,21.0,21.0,1
2021-03-09,21.0,21.0,1
2021-03-10,11.0,11.0,1
2021-03-11,43.0,43.0,1
2021-03-12,22.0,22.0,1
2021-03-13,34.0,34.0,1
2021-03-14,56.0,56.0,1
2021-03-15,25.0,25.0,1
2021-03-16,55.0,55.0,1
2021-03-17,21.0,21.0,1
2021-03-18,85.0,85.0,1
2021-03-19,45.0,45.0,1
2021-03-20,12.0,12.0,1
2021-03-21,46.0,46.0,1
2021-03-22,32.0,32.0,1
2021-03-23,42.0,42.0,1
2021-03-24,11.0,11.0,1
2021-03-25,22.0,22.0,1
2021-03-26,11.0,11.0,1
2021-03-27,23.0,23.0,1
2021-03-28,38.0,38.0,1
2021-03-29,100.0,100.0,1
2021-03-30,35.0,35.0,1
2021-03-31,12.0,12.0,1
2021-04-01,23.0,23.0,1
2021-04-02,11.0,11.0,1
2021-04-03,49.0,49.0,1
2021-04-04,63.0,63.0,1
2021-04-05,22.0,22.0,1
2021-04-06,20.0,20.0,1
2021-04-07,21.0,21.0,1
2021-04-08,32.0,32.0,1
2021-04-09,22.0,22.0,1
2021-04-10,33.0,33.0,1
2021-04-11,57.0,57.0,1
2021-04-12,62.0,62.0,1
2021-04-13,44.0,44.0,1
2021-04-14,32.0,32.0,1
2021-04-15,33.0,33.0,1
2021-04-16,11.0,11.0,1
2021-04-17,12.0,12.0,1
2021-04-18,37.0,37.0,1
2021-04-19,52.0,52.0,1
2021-04-20,21.0,21.0,1
2021-04-21,22.0,22.0,1
2021-04-22,33.0,33.0,1
2021-04-23,12.0,12.0,1
2021-04-24,26.0,26.0,1
2021-04-25,0.0,0.0,1
2021-04-26,42.0,42.0,1
2021-04-27,11.0,11.0,1
2021-04-28,22.0,22.0,1
2021-04-29,21.0,21.0,1
2021-04-30,32.0,32.0,1
2021-05-01,0.0,0.0,1
2021-05-02,23.0,23.0,1
2021-05-03,10.0,10.0,1
2021-05-04,10.0,10.0,1
2021-05-05,10.0,10.0,1
2021-05-06,32.0,32.0,1
2021-05-07,11.0,11.0,1
2021-05-08,36.0,36.0,1
2021-05-09,25.0,25.0,1
2021-05-10,21.0,21.0,1
2021-05-11,21.0,21.0,1
2021-05-12,86.0,86.0,1
2021-05-13,22.0,22.0,1
2021-05-14,34.0,34.0,1
