date,/m/017pgr_0,/m/017pgr,batch_id
2021-02-01,70.0,70.0,1
2021-02-02,79.0,79.0,1
2021-02-03,85.0,85.0,1
2021-02-04,81.0,81.0,1
2021-02-05,74.0,74.0,1
2021-02-06,62.0,62.0,1
2021-02-07,76.0,76.0,1
2021-02-08,91.0,91.0,1
2021-02-09,99.0,99.0,1
2021-02-10,97.0,97.0,1
2021-02-11,88.0,88.0,1
2021-02-12,72.0,72.0,1
2021-02-13,87.0,87.0,1
2021-02-14,81.0,81.0,1
2021-02-15,61.0,61.0,1
2021-02-16,77.0,77.0,1
2021-02-17,86.0,86.0,1
2021-02-18,83.0,83.0,1
2021-02-19,79.0,79.0,1
2021-02-20,62.0,62.0,1
2021-02-21,55.0,55.0,1
2021-02-22,59.0,59.0,1
2021-02-23,69.0,69.0,1
2021-02-24,79.0,79.0,1
2021-02-25,72.0,72.0,1
2021-02-26,68.0,68.0,1
2021-02-27,59.0,59.0,1
2021-02-28,61.0,61.0,1
2021-03-01,89.0,89.0,1
2021-03-02,70.0,70.0,1
2021-03-03,73.0,73.0,1
2021-03-04,82.0,82.0,1
2021-03-05,74.0,74.0,1
2021-03-06,66.0,66.0,1
2021-03-07,50.0,50.0,1
2021-03-08,94.0,94.0,1
2021-03-09,79.0,79.0,1
2021-03-10,89.0,89.0,1
2021-03-11,81.0,81.0,1
2021-03-12,72.0,72.0,1
2021-03-13,65.0,65.0,1
2021-03-14,59.0,59.0,1
2021-03-15,58.0,58.0,1
2021-03-16,76.0,76.0,1
2021-03-17,79.0,79.0,1
2021-03-18,64.0,64.0,1
2021-03-19,62.0,62.0,1
2021-03-20,61.0,61.0,1
2021-03-21,53.0,53.0,1
2021-03-22,75.0,75.0,1
2021-03-23,85.0,85.0,1
2021-03-24,81.0,81.0,1
2021-03-25,76.0,76.0,1
2021-03-26,59.0,59.0,1
2021-03-27,78.0,78.0,1
2021-03-28,49.0,49.0,1
2021-03-29,93.0,93.0,1
2021-03-30,87.0,87.0,1
2021-03-31,97.0,97.0,1
2021-04-01,97.0,97.0,1
2021-04-02,77.0,77.0,1
2021-04-03,69.0,69.0,1
2021-04-04,67.0,67.0,1
2021-04-05,50.0,50.0,1
2021-04-06,78.0,78.0,1
2021-04-07,92.0,92.0,1
2021-04-08,63.0,63.0,1
2021-04-09,70.0,70.0,1
2021-04-10,67.0,67.0,1
2021-04-11,71.0,71.0,1
2021-04-12,86.0,86.0,1
2021-04-13,74.0,74.0,1
2021-04-14,81.0,81.0,1
2021-04-15,85.0,85.0,1
2021-04-16,69.0,69.0,1
2021-04-17,64.0,64.0,1
2021-04-18,72.0,72.0,1
2021-04-19,81.0,81.0,1
2021-04-20,63.0,63.0,1
2021-04-21,94.0,94.0,1
2021-04-22,66.0,66.0,1
2021-04-23,91.0,91.0,1
2021-04-24,69.0,69.0,1
2021-04-25,66.0,66.0,1
2021-04-26,96.0,96.0,1
2021-04-27,96.0,96.0,1
2021-04-28,100.0,100.0,1
2021-04-29,90.0,90.0,1
2021-04-30,92.0,92.0,1
2021-05-01,79.0,79.0,1
2021-05-02,71.0,71.0,1
2021-05-03,87.0,87.0,1
2021-05-04,82.0,82.0,1
2021-05-05,84.0,84.0,1
2021-05-06,75.0,75.0,1
2021-05-07,68.0,68.0,1
2021-05-08,95.0,95.0,1
2021-05-09,63.0,63.0,1
2021-05-10,96.0,96.0,1
2021-05-11,81.0,81.0,1
2021-05-12,89.0,89.0,1
2021-05-13,76.0,76.0,1
2021-05-14,85.0,85.0,1
