date,/m/014hbx_0,/m/014hbx,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,69.0,69.0,1
2021-02-03,52.0,52.0,1
2021-02-04,48.0,48.0,1
2021-02-05,60.0,60.0,1
2021-02-06,76.0,76.0,1
2021-02-07,32.0,32.0,1
2021-02-08,40.0,40.0,1
2021-02-09,35.0,35.0,1
2021-02-10,58.0,58.0,1
2021-02-11,24.0,24.0,1
2021-02-12,66.0,66.0,1
2021-02-13,47.0,47.0,1
2021-02-14,81.0,81.0,1
2021-02-15,35.0,35.0,1
2021-02-16,72.0,72.0,1
2021-02-17,30.0,30.0,1
2021-02-18,53.0,53.0,1
2021-02-19,44.0,44.0,1
2021-02-20,43.0,43.0,1
2021-02-21,58.0,58.0,1
2021-02-22,50.0,50.0,1
2021-02-23,67.0,67.0,1
2021-02-24,37.0,37.0,1
2021-02-25,79.0,79.0,1
2021-02-26,12.0,12.0,1
2021-02-27,27.0,27.0,1
2021-02-28,26.0,26.0,1
2021-03-01,23.0,23.0,1
2021-03-02,30.0,30.0,1
2021-03-03,49.0,49.0,1
2021-03-04,69.0,69.0,1
2021-03-05,56.0,56.0,1
2021-03-06,34.0,34.0,1
2021-03-07,52.0,52.0,1
2021-03-08,47.0,47.0,1
2021-03-09,87.0,87.0,1
2021-03-10,47.0,47.0,1
2021-03-11,59.0,59.0,1
2021-03-12,91.0,91.0,1
2021-03-13,38.0,38.0,1
2021-03-14,50.0,50.0,1
2021-03-15,64.0,64.0,1
2021-03-16,35.0,35.0,1
2021-03-17,64.0,64.0,1
2021-03-18,53.0,53.0,1
2021-03-19,43.0,43.0,1
2021-03-20,69.0,69.0,1
2021-03-21,45.0,45.0,1
2021-03-22,53.0,53.0,1
2021-03-23,59.0,59.0,1
2021-03-24,35.0,35.0,1
2021-03-25,73.0,73.0,1
2021-03-26,62.0,62.0,1
2021-03-27,52.0,52.0,1
2021-03-28,70.0,70.0,1
2021-03-29,55.0,55.0,1
2021-03-30,51.0,51.0,1
2021-03-31,46.0,46.0,1
2021-04-01,56.0,56.0,1
2021-04-02,70.0,70.0,1
2021-04-03,62.0,62.0,1
2021-04-04,56.0,56.0,1
2021-04-05,92.0,92.0,1
2021-04-06,62.0,62.0,1
2021-04-07,64.0,64.0,1
2021-04-08,84.0,84.0,1
2021-04-09,61.0,61.0,1
2021-04-10,43.0,43.0,1
2021-04-11,44.0,44.0,1
2021-04-12,40.0,40.0,1
2021-04-13,24.0,24.0,1
2021-04-14,47.0,47.0,1
2021-04-15,24.0,24.0,1
2021-04-16,75.0,75.0,1
2021-04-17,89.0,89.0,1
2021-04-18,41.0,41.0,1
2021-04-19,64.0,64.0,1
2021-04-20,48.0,48.0,1
2021-04-21,30.0,30.0,1
2021-04-22,74.0,74.0,1
2021-04-23,51.0,51.0,1
2021-04-24,57.0,57.0,1
2021-04-25,54.0,54.0,1
2021-04-26,100.0,100.0,1
2021-04-27,49.0,49.0,1
2021-04-28,54.0,54.0,1
2021-04-29,76.0,76.0,1
2021-04-30,65.0,65.0,1
2021-05-01,46.0,46.0,1
2021-05-02,45.0,45.0,1
2021-05-03,80.0,80.0,1
2021-05-04,49.0,49.0,1
2021-05-05,62.0,62.0,1
2021-05-06,47.0,47.0,1
2021-05-07,78.0,78.0,1
2021-05-08,59.0,59.0,1
2021-05-09,92.0,92.0,1
2021-05-10,87.0,87.0,1
2021-05-11,34.0,34.0,1
2021-05-12,53.0,53.0,1
2021-05-13,75.0,75.0,1
2021-05-14,70.0,70.0,1
