date,/m/05wntq_0,/m/05wntq,batch_id
2021-02-01,60.0,60.0,1
2021-02-02,40.0,40.0,1
2021-02-03,40.0,40.0,1
2021-02-04,42.0,42.0,1
2021-02-05,52.0,52.0,1
2021-02-06,22.0,22.0,1
2021-02-07,44.0,44.0,1
2021-02-08,30.0,30.0,1
2021-02-09,21.0,21.0,1
2021-02-10,60.0,60.0,1
2021-02-11,42.0,42.0,1
2021-02-12,21.0,21.0,1
2021-02-13,35.0,35.0,1
2021-02-14,47.0,47.0,1
2021-02-15,50.0,50.0,1
2021-02-16,53.0,53.0,1
2021-02-17,10.0,10.0,1
2021-02-18,21.0,21.0,1
2021-02-19,44.0,44.0,1
2021-02-20,25.0,25.0,1
2021-02-21,13.0,13.0,1
2021-02-22,39.0,39.0,1
2021-02-23,11.0,11.0,1
2021-02-24,32.0,32.0,1
2021-02-25,43.0,43.0,1
2021-02-26,64.0,64.0,1
2021-02-27,24.0,24.0,1
2021-02-28,34.0,34.0,1
2021-03-01,41.0,41.0,1
2021-03-02,53.0,53.0,1
2021-03-03,53.0,53.0,1
2021-03-04,60.0,60.0,1
2021-03-05,32.0,32.0,1
2021-03-06,24.0,24.0,1
2021-03-07,57.0,57.0,1
2021-03-08,52.0,52.0,1
2021-03-09,30.0,30.0,1
2021-03-10,41.0,41.0,1
2021-03-11,21.0,21.0,1
2021-03-12,21.0,21.0,1
2021-03-13,11.0,11.0,1
2021-03-14,65.0,65.0,1
2021-03-15,40.0,40.0,1
2021-03-16,35.0,35.0,1
2021-03-17,41.0,41.0,1
2021-03-18,41.0,41.0,1
2021-03-19,43.0,43.0,1
2021-03-20,36.0,36.0,1
2021-03-21,11.0,11.0,1
2021-03-22,20.0,20.0,1
2021-03-23,21.0,21.0,1
2021-03-24,20.0,20.0,1
2021-03-25,63.0,63.0,1
2021-03-26,44.0,44.0,1
2021-03-27,68.0,68.0,1
2021-03-28,24.0,24.0,1
2021-03-29,32.0,32.0,1
2021-03-30,0.0,0.0,1
2021-03-31,0.0,0.0,1
2021-04-01,44.0,44.0,1
2021-04-02,22.0,22.0,1
2021-04-03,12.0,12.0,1
2021-04-04,24.0,24.0,1
2021-04-05,43.0,43.0,1
2021-04-06,79.0,79.0,1
2021-04-07,30.0,30.0,1
2021-04-08,21.0,21.0,1
2021-04-09,75.0,75.0,1
2021-04-10,43.0,43.0,1
2021-04-11,22.0,22.0,1
2021-04-12,100.0,100.0,1
2021-04-13,42.0,42.0,1
2021-04-14,10.0,10.0,1
2021-04-15,53.0,53.0,1
2021-04-16,55.0,55.0,1
2021-04-17,84.0,84.0,1
2021-04-18,48.0,48.0,1
2021-04-19,61.0,61.0,1
2021-04-20,31.0,31.0,1
2021-04-21,53.0,53.0,1
2021-04-22,64.0,64.0,1
2021-04-23,11.0,11.0,1
2021-04-24,37.0,37.0,1
2021-04-25,24.0,24.0,1
2021-04-26,10.0,10.0,1
2021-04-27,53.0,53.0,1
2021-04-28,21.0,21.0,1
2021-04-29,20.0,20.0,1
2021-04-30,31.0,31.0,1
2021-05-01,46.0,46.0,1
2021-05-02,34.0,34.0,1
2021-05-03,60.0,60.0,1
2021-05-04,67.0,67.0,1
2021-05-05,39.0,39.0,1
2021-05-06,20.0,20.0,1
2021-05-07,21.0,21.0,1
2021-05-08,23.0,23.0,1
2021-05-09,62.0,62.0,1
2021-05-10,41.0,41.0,1
2021-05-11,70.0,70.0,1
2021-05-12,21.0,21.0,1
2021-05-13,11.0,11.0,1
2021-05-14,33.0,33.0,1
