date,/m/03d938_0,/m/03d938,batch_id
2021-02-01,32.0,32.0,1
2021-02-02,56.0,56.0,1
2021-02-03,28.0,28.0,1
2021-02-04,58.0,58.0,1
2021-02-05,72.0,72.0,1
2021-02-06,20.0,20.0,1
2021-02-07,20.0,20.0,1
2021-02-08,65.0,65.0,1
2021-02-09,99.0,99.0,1
2021-02-10,56.0,56.0,1
2021-02-11,38.0,38.0,1
2021-02-12,73.0,73.0,1
2021-02-13,27.0,27.0,1
2021-02-14,27.0,27.0,1
2021-02-15,42.0,42.0,1
2021-02-16,78.0,78.0,1
2021-02-17,62.0,62.0,1
2021-02-18,86.0,86.0,1
2021-02-19,61.0,61.0,1
2021-02-20,35.0,35.0,1
2021-02-21,29.0,29.0,1
2021-02-22,36.0,36.0,1
2021-02-23,39.0,39.0,1
2021-02-24,49.0,49.0,1
2021-02-25,73.0,73.0,1
2021-02-26,49.0,49.0,1
2021-02-27,27.0,27.0,1
2021-02-28,47.0,47.0,1
2021-03-01,38.0,38.0,1
2021-03-02,34.0,34.0,1
2021-03-03,29.0,29.0,1
2021-03-04,79.0,79.0,1
2021-03-05,65.0,65.0,1
2021-03-06,27.0,27.0,1
2021-03-07,37.0,37.0,1
2021-03-08,67.0,67.0,1
2021-03-09,56.0,56.0,1
2021-03-10,24.0,24.0,1
2021-03-11,57.0,57.0,1
2021-03-12,54.0,54.0,1
2021-03-13,46.0,46.0,1
2021-03-14,30.0,30.0,1
2021-03-15,78.0,78.0,1
2021-03-16,69.0,69.0,1
2021-03-17,52.0,52.0,1
2021-03-18,52.0,52.0,1
2021-03-19,50.0,50.0,1
2021-03-20,61.0,61.0,1
2021-03-21,52.0,52.0,1
2021-03-22,71.0,71.0,1
2021-03-23,61.0,61.0,1
2021-03-24,38.0,38.0,1
2021-03-25,39.0,39.0,1
2021-03-26,60.0,60.0,1
2021-03-27,10.0,10.0,1
2021-03-28,39.0,39.0,1
2021-03-29,89.0,89.0,1
2021-03-30,31.0,31.0,1
2021-03-31,48.0,48.0,1
2021-04-01,60.0,60.0,1
2021-04-02,67.0,67.0,1
2021-04-03,39.0,39.0,1
2021-04-04,28.0,28.0,1
2021-04-05,44.0,44.0,1
2021-04-06,64.0,64.0,1
2021-04-07,51.0,51.0,1
2021-04-08,53.0,53.0,1
2021-04-09,89.0,89.0,1
2021-04-10,10.0,10.0,1
2021-04-11,20.0,20.0,1
2021-04-12,74.0,74.0,1
2021-04-13,59.0,59.0,1
2021-04-14,100.0,100.0,1
2021-04-15,53.0,53.0,1
2021-04-16,30.0,30.0,1
2021-04-17,33.0,33.0,1
2021-04-18,17.0,17.0,1
2021-04-19,79.0,79.0,1
2021-04-20,48.0,48.0,1
2021-04-21,68.0,68.0,1
2021-04-22,49.0,49.0,1
2021-04-23,46.0,46.0,1
2021-04-24,23.0,23.0,1
2021-04-25,55.0,55.0,1
2021-04-26,52.0,52.0,1
2021-04-27,39.0,39.0,1
2021-04-28,34.0,34.0,1
2021-04-29,51.0,51.0,1
2021-04-30,38.0,38.0,1
2021-05-01,58.0,58.0,1
2021-05-02,16.0,16.0,1
2021-05-03,46.0,46.0,1
2021-05-04,22.0,22.0,1
2021-05-05,59.0,59.0,1
2021-05-06,19.0,19.0,1
2021-05-07,53.0,53.0,1
2021-05-08,48.0,48.0,1
2021-05-09,45.0,45.0,1
2021-05-10,65.0,65.0,1
2021-05-11,46.0,46.0,1
2021-05-12,38.0,38.0,1
2021-05-13,30.0,30.0,1
2021-05-14,46.0,46.0,1
