date,/m/0vpj4_b_0,/m/0vpj4_b,batch_id
2021-02-01,52.0,52.0,1
2021-02-02,48.0,48.0,1
2021-02-03,35.0,35.0,1
2021-02-04,34.0,34.0,1
2021-02-05,43.0,43.0,1
2021-02-06,35.0,35.0,1
2021-02-07,41.0,41.0,1
2021-02-08,50.0,50.0,1
2021-02-09,63.0,63.0,1
2021-02-10,32.0,32.0,1
2021-02-11,42.0,42.0,1
2021-02-12,37.0,37.0,1
2021-02-13,55.0,55.0,1
2021-02-14,40.0,40.0,1
2021-02-15,50.0,50.0,1
2021-02-16,46.0,46.0,1
2021-02-17,35.0,35.0,1
2021-02-18,45.0,45.0,1
2021-02-19,51.0,51.0,1
2021-02-20,82.0,82.0,1
2021-02-21,50.0,50.0,1
2021-02-22,58.0,58.0,1
2021-02-23,51.0,51.0,1
2021-02-24,38.0,38.0,1
2021-02-25,36.0,36.0,1
2021-02-26,39.0,39.0,1
2021-02-27,38.0,38.0,1
2021-02-28,33.0,33.0,1
2021-03-01,45.0,45.0,1
2021-03-02,37.0,37.0,1
2021-03-03,57.0,57.0,1
2021-03-04,34.0,34.0,1
2021-03-05,22.0,22.0,1
2021-03-06,32.0,32.0,1
2021-03-07,61.0,61.0,1
2021-03-08,30.0,30.0,1
2021-03-09,54.0,54.0,1
2021-03-10,48.0,48.0,1
2021-03-11,51.0,51.0,1
2021-03-12,46.0,46.0,1
2021-03-13,66.0,66.0,1
2021-03-14,45.0,45.0,1
2021-03-15,53.0,53.0,1
2021-03-16,47.0,47.0,1
2021-03-17,44.0,44.0,1
2021-03-18,32.0,32.0,1
2021-03-19,54.0,54.0,1
2021-03-20,33.0,33.0,1
2021-03-21,40.0,40.0,1
2021-03-22,44.0,44.0,1
2021-03-23,38.0,38.0,1
2021-03-24,38.0,38.0,1
2021-03-25,34.0,34.0,1
2021-03-26,45.0,45.0,1
2021-03-27,38.0,38.0,1
2021-03-28,41.0,41.0,1
2021-03-29,41.0,41.0,1
2021-03-30,43.0,43.0,1
2021-03-31,37.0,37.0,1
2021-04-01,32.0,32.0,1
2021-04-02,37.0,37.0,1
2021-04-03,65.0,65.0,1
2021-04-04,53.0,53.0,1
2021-04-05,67.0,67.0,1
2021-04-06,48.0,48.0,1
2021-04-07,55.0,55.0,1
2021-04-08,57.0,57.0,1
2021-04-09,46.0,46.0,1
2021-04-10,72.0,72.0,1
2021-04-11,59.0,59.0,1
2021-04-12,56.0,56.0,1
2021-04-13,66.0,66.0,1
2021-04-14,81.0,81.0,1
2021-04-15,57.0,57.0,1
2021-04-16,62.0,62.0,1
2021-04-17,89.0,89.0,1
2021-04-18,87.0,87.0,1
2021-04-19,84.0,84.0,1
2021-04-20,65.0,65.0,1
2021-04-21,80.0,80.0,1
2021-04-22,69.0,69.0,1
2021-04-23,68.0,68.0,1
2021-04-24,70.0,70.0,1
2021-04-25,63.0,63.0,1
2021-04-26,64.0,64.0,1
2021-04-27,48.0,48.0,1
2021-04-28,46.0,46.0,1
2021-04-29,39.0,39.0,1
2021-04-30,58.0,58.0,1
2021-05-01,59.0,59.0,1
2021-05-02,84.0,84.0,1
2021-05-03,65.0,65.0,1
2021-05-04,46.0,46.0,1
2021-05-05,82.0,82.0,1
2021-05-06,64.0,64.0,1
2021-05-07,76.0,76.0,1
2021-05-08,100.0,100.0,1
2021-05-09,93.0,93.0,1
2021-05-10,100.0,100.0,1
2021-05-11,86.0,86.0,1
2021-05-12,57.0,57.0,1
2021-05-13,93.0,93.0,1
2021-05-14,79.0,79.0,1
