date,/m/06_4x_0,/m/06_4x,batch_id
2021-02-01,72.0,72.0,1
2021-02-02,84.0,84.0,1
2021-02-03,92.0,92.0,1
2021-02-04,54.0,54.0,1
2021-02-05,66.0,66.0,1
2021-02-06,22.0,22.0,1
2021-02-07,26.0,26.0,1
2021-02-08,84.0,84.0,1
2021-02-09,53.0,53.0,1
2021-02-10,44.0,44.0,1
2021-02-11,37.0,37.0,1
2021-02-12,63.0,63.0,1
2021-02-13,19.0,19.0,1
2021-02-14,19.0,19.0,1
2021-02-15,100.0,100.0,1
2021-02-16,84.0,84.0,1
2021-02-17,75.0,75.0,1
2021-02-18,87.0,87.0,1
2021-02-19,61.0,61.0,1
2021-02-20,15.0,15.0,1
2021-02-21,30.0,30.0,1
2021-02-22,62.0,62.0,1
2021-02-23,63.0,63.0,1
2021-02-24,68.0,68.0,1
2021-02-25,51.0,51.0,1
2021-02-26,76.0,76.0,1
2021-02-27,19.0,19.0,1
2021-02-28,23.0,23.0,1
2021-03-01,57.0,57.0,1
2021-03-02,46.0,46.0,1
2021-03-03,59.0,59.0,1
2021-03-04,48.0,48.0,1
2021-03-05,73.0,73.0,1
2021-03-06,24.0,24.0,1
2021-03-07,9.0,9.0,1
2021-03-08,45.0,45.0,1
2021-03-09,68.0,68.0,1
2021-03-10,45.0,45.0,1
2021-03-11,66.0,66.0,1
2021-03-12,46.0,46.0,1
2021-03-13,13.0,13.0,1
2021-03-14,35.0,35.0,1
2021-03-15,57.0,57.0,1
2021-03-16,53.0,53.0,1
2021-03-17,81.0,81.0,1
2021-03-18,70.0,70.0,1
2021-03-19,82.0,82.0,1
2021-03-20,19.0,19.0,1
2021-03-21,9.0,9.0,1
2021-03-22,77.0,77.0,1
2021-03-23,65.0,65.0,1
2021-03-24,57.0,57.0,1
2021-03-25,63.0,63.0,1
2021-03-26,56.0,56.0,1
2021-03-27,18.0,18.0,1
2021-03-28,5.0,5.0,1
2021-03-29,82.0,82.0,1
2021-03-30,80.0,80.0,1
2021-03-31,50.0,50.0,1
2021-04-01,74.0,74.0,1
2021-04-02,71.0,71.0,1
2021-04-03,24.0,24.0,1
2021-04-04,10.0,10.0,1
2021-04-05,30.0,30.0,1
2021-04-06,75.0,75.0,1
2021-04-07,52.0,52.0,1
2021-04-08,54.0,54.0,1
2021-04-09,72.0,72.0,1
2021-04-10,17.0,17.0,1
2021-04-11,13.0,13.0,1
2021-04-12,48.0,48.0,1
2021-04-13,55.0,55.0,1
2021-04-14,78.0,78.0,1
2021-04-15,42.0,42.0,1
2021-04-16,66.0,66.0,1
2021-04-17,10.0,10.0,1
2021-04-18,14.0,14.0,1
2021-04-19,68.0,68.0,1
2021-04-20,46.0,46.0,1
2021-04-21,42.0,42.0,1
2021-04-22,51.0,51.0,1
2021-04-23,67.0,67.0,1
2021-04-24,20.0,20.0,1
2021-04-25,19.0,19.0,1
2021-04-26,20.0,20.0,1
2021-04-27,42.0,42.0,1
2021-04-28,46.0,46.0,1
2021-04-29,32.0,32.0,1
2021-04-30,62.0,62.0,1
2021-05-01,9.0,9.0,1
2021-05-02,18.0,18.0,1
2021-05-03,44.0,44.0,1
2021-05-04,61.0,61.0,1
2021-05-05,35.0,35.0,1
2021-05-06,41.0,41.0,1
2021-05-07,55.0,55.0,1
2021-05-08,32.0,32.0,1
2021-05-09,24.0,24.0,1
2021-05-10,44.0,44.0,1
2021-05-11,59.0,59.0,1
2021-05-12,62.0,62.0,1
2021-05-13,35.0,35.0,1
2021-05-14,31.0,31.0,1
