date,/m/04q8cv5_0,/m/04q8cv5,batch_id
2021-02-01,67.0,67.0,1
2021-02-02,70.0,70.0,1
2021-02-03,56.0,56.0,1
2021-02-04,65.0,65.0,1
2021-02-05,61.0,61.0,1
2021-02-06,26.0,26.0,1
2021-02-07,44.0,44.0,1
2021-02-08,65.0,65.0,1
2021-02-09,85.0,85.0,1
2021-02-10,78.0,78.0,1
2021-02-11,100.0,100.0,1
2021-02-12,79.0,79.0,1
2021-02-13,28.0,28.0,1
2021-02-14,35.0,35.0,1
2021-02-15,94.0,94.0,1
2021-02-16,65.0,65.0,1
2021-02-17,72.0,72.0,1
2021-02-18,61.0,61.0,1
2021-02-19,50.0,50.0,1
2021-02-20,27.0,27.0,1
2021-02-21,24.0,24.0,1
2021-02-22,55.0,55.0,1
2021-02-23,88.0,88.0,1
2021-02-24,71.0,71.0,1
2021-02-25,77.0,77.0,1
2021-02-26,88.0,88.0,1
2021-02-27,25.0,25.0,1
2021-02-28,15.0,15.0,1
2021-03-01,60.0,60.0,1
2021-03-02,68.0,68.0,1
2021-03-03,74.0,74.0,1
2021-03-04,65.0,65.0,1
2021-03-05,58.0,58.0,1
2021-03-06,19.0,19.0,1
2021-03-07,15.0,15.0,1
2021-03-08,69.0,69.0,1
2021-03-09,78.0,78.0,1
2021-03-10,77.0,77.0,1
2021-03-11,61.0,61.0,1
2021-03-12,65.0,65.0,1
2021-03-13,27.0,27.0,1
2021-03-14,14.0,14.0,1
2021-03-15,58.0,58.0,1
2021-03-16,50.0,50.0,1
2021-03-17,98.0,98.0,1
2021-03-18,77.0,77.0,1
2021-03-19,55.0,55.0,1
2021-03-20,13.0,13.0,1
2021-03-21,27.0,27.0,1
2021-03-22,90.0,90.0,1
2021-03-23,44.0,44.0,1
2021-03-24,36.0,36.0,1
2021-03-25,65.0,65.0,1
2021-03-26,61.0,61.0,1
2021-03-27,15.0,15.0,1
2021-03-28,23.0,23.0,1
2021-03-29,69.0,69.0,1
2021-03-30,66.0,66.0,1
2021-03-31,58.0,58.0,1
2021-04-01,50.0,50.0,1
2021-04-02,53.0,53.0,1
2021-04-03,19.0,19.0,1
2021-04-04,6.0,6.0,1
2021-04-05,20.0,20.0,1
2021-04-06,66.0,66.0,1
2021-04-07,68.0,68.0,1
2021-04-08,59.0,59.0,1
2021-04-09,46.0,46.0,1
2021-04-10,20.0,20.0,1
2021-04-11,18.0,18.0,1
2021-04-12,61.0,61.0,1
2021-04-13,77.0,77.0,1
2021-04-14,52.0,52.0,1
2021-04-15,56.0,56.0,1
2021-04-16,56.0,56.0,1
2021-04-17,19.0,19.0,1
2021-04-18,29.0,29.0,1
2021-04-19,73.0,73.0,1
2021-04-20,61.0,61.0,1
2021-04-21,62.0,62.0,1
2021-04-22,29.0,29.0,1
2021-04-23,93.0,93.0,1
2021-04-24,36.0,36.0,1
2021-04-25,22.0,22.0,1
2021-04-26,63.0,63.0,1
2021-04-27,66.0,66.0,1
2021-04-28,40.0,40.0,1
2021-04-29,57.0,57.0,1
2021-04-30,64.0,64.0,1
2021-05-01,21.0,21.0,1
2021-05-02,18.0,18.0,1
2021-05-03,62.0,62.0,1
2021-05-04,62.0,62.0,1
2021-05-05,58.0,58.0,1
2021-05-06,57.0,57.0,1
2021-05-07,45.0,45.0,1
2021-05-08,28.0,28.0,1
2021-05-09,20.0,20.0,1
2021-05-10,60.0,60.0,1
2021-05-11,45.0,45.0,1
2021-05-12,47.0,47.0,1
2021-05-13,52.0,52.0,1
2021-05-14,54.0,54.0,1
