date,/m/03k2qf_0,/m/03k2qf,batch_id
2021-02-01,48.0,48.0,1
2021-02-02,60.0,60.0,1
2021-02-03,84.0,84.0,1
2021-02-04,89.0,89.0,1
2021-02-05,88.0,88.0,1
2021-02-06,13.0,13.0,1
2021-02-07,27.0,27.0,1
2021-02-08,24.0,24.0,1
2021-02-09,49.0,49.0,1
2021-02-10,24.0,24.0,1
2021-02-11,25.0,25.0,1
2021-02-12,25.0,25.0,1
2021-02-13,71.0,71.0,1
2021-02-14,28.0,28.0,1
2021-02-15,73.0,73.0,1
2021-02-16,63.0,63.0,1
2021-02-17,63.0,63.0,1
2021-02-18,87.0,87.0,1
2021-02-19,0.0,0.0,1
2021-02-20,15.0,15.0,1
2021-02-21,30.0,30.0,1
2021-02-22,47.0,47.0,1
2021-02-23,25.0,25.0,1
2021-02-24,38.0,38.0,1
2021-02-25,26.0,26.0,1
2021-02-26,64.0,64.0,1
2021-02-27,28.0,28.0,1
2021-02-28,41.0,41.0,1
2021-03-01,37.0,37.0,1
2021-03-02,64.0,64.0,1
2021-03-03,64.0,64.0,1
2021-03-04,36.0,36.0,1
2021-03-05,52.0,52.0,1
2021-03-06,57.0,57.0,1
2021-03-07,41.0,41.0,1
2021-03-08,37.0,37.0,1
2021-03-09,85.0,85.0,1
2021-03-10,37.0,37.0,1
2021-03-11,25.0,25.0,1
2021-03-12,38.0,38.0,1
2021-03-13,53.0,53.0,1
2021-03-14,39.0,39.0,1
2021-03-15,77.0,77.0,1
2021-03-16,64.0,64.0,1
2021-03-17,25.0,25.0,1
2021-03-18,37.0,37.0,1
2021-03-19,65.0,65.0,1
2021-03-20,29.0,29.0,1
2021-03-21,54.0,54.0,1
2021-03-22,86.0,86.0,1
2021-03-23,86.0,86.0,1
2021-03-24,61.0,61.0,1
2021-03-25,64.0,64.0,1
2021-03-26,26.0,26.0,1
2021-03-27,27.0,27.0,1
2021-03-28,29.0,29.0,1
2021-03-29,13.0,13.0,1
2021-03-30,94.0,94.0,1
2021-03-31,55.0,55.0,1
2021-04-01,52.0,52.0,1
2021-04-02,13.0,13.0,1
2021-04-03,72.0,72.0,1
2021-04-04,15.0,15.0,1
2021-04-05,51.0,51.0,1
2021-04-06,71.0,71.0,1
2021-04-07,12.0,12.0,1
2021-04-08,50.0,50.0,1
2021-04-09,64.0,64.0,1
2021-04-10,26.0,26.0,1
2021-04-11,27.0,27.0,1
2021-04-12,48.0,48.0,1
2021-04-13,51.0,51.0,1
2021-04-14,50.0,50.0,1
2021-04-15,76.0,76.0,1
2021-04-16,26.0,26.0,1
2021-04-17,29.0,29.0,1
2021-04-18,14.0,14.0,1
2021-04-19,73.0,73.0,1
2021-04-20,100.0,100.0,1
2021-04-21,25.0,25.0,1
2021-04-22,13.0,13.0,1
2021-04-23,54.0,54.0,1
2021-04-24,30.0,30.0,1
2021-04-25,14.0,14.0,1
2021-04-26,37.0,37.0,1
2021-04-27,77.0,77.0,1
2021-04-28,51.0,51.0,1
2021-04-29,49.0,49.0,1
2021-04-30,37.0,37.0,1
2021-05-01,41.0,41.0,1
2021-05-02,14.0,14.0,1
2021-05-03,84.0,84.0,1
2021-05-04,58.0,58.0,1
2021-05-05,59.0,59.0,1
2021-05-06,12.0,12.0,1
2021-05-07,76.0,76.0,1
2021-05-08,14.0,14.0,1
2021-05-09,15.0,15.0,1
2021-05-10,49.0,49.0,1
2021-05-11,36.0,36.0,1
2021-05-12,62.0,62.0,1
2021-05-13,65.0,65.0,1
2021-05-14,27.0,27.0,1
