date,/m/0cmn5k
2020-02-01,53
2020-02-02,51
2020-02-03,45
2020-02-04,76
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,82
2020-02-09,49
2020-02-10,0
2020-02-11,50
2020-02-12,50
2020-02-13,0
2020-02-14,53
2020-02-15,0
2020-02-16,0
2020-02-17,50
2020-02-18,49
2020-02-19,50
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,49
2020-02-25,0
2020-02-26,70
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,49
2020-03-03,50
2020-03-04,49
2020-03-05,100
2020-03-06,0
2020-03-07,55
2020-03-08,76
2020-03-09,0
2020-03-10,0
2020-03-11,47
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,52
2020-03-16,45
2020-03-17,46
2020-03-18,47
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,41
2020-03-24,0
2020-03-25,0
2020-03-26,45
2020-03-27,42
2020-03-28,48
2020-03-29,0
2020-03-30,0
2020-03-31,42
2020-04-01,0
2020-04-02,0
2020-04-03,42
2020-04-04,51
2020-04-05,0
2020-04-06,44
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,50
2020-04-12,0
2020-04-13,0
2020-04-14,42
2020-04-15,0
2020-04-16,0
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,0
2020-04-21,44
2020-04-22,0
2020-04-23,43
2020-04-24,43
2020-04-25,49
2020-04-26,51
2020-04-27,0
2020-04-28,0
2020-04-29,62
2020-04-30,0
2020-05-01,43
2020-05-02,44
2020-05-03,0
2020-05-04,39
2020-05-05,39
2020-05-06,0
2020-05-07,69
2020-05-08,92
2020-05-09,0
2020-05-10,46
2020-05-11,40
2020-05-12,43
2020-05-13,0
2020-05-14,44
2020-05-15,0
2020-05-16,0
2020-05-17,52
2020-05-18,0
2020-05-19,44
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,46
2020-05-24,0
2020-05-25,0
2020-05-26,45
2020-05-27,0
2020-05-28,66
2020-05-29,46
2020-05-30,0
2020-05-31,52
