date,/m/0108bn2x_0,/m/0108bn2x,batch_id
2021-02-01,24.0,24.0,1
2021-02-02,59.0,59.0,1
2021-02-03,53.0,53.0,1
2021-02-04,36.0,36.0,1
2021-02-05,42.0,42.0,1
2021-02-06,38.0,38.0,1
2021-02-07,56.0,56.0,1
2021-02-08,43.0,43.0,1
2021-02-09,60.0,60.0,1
2021-02-10,62.0,62.0,1
2021-02-11,44.0,44.0,1
2021-02-12,36.0,36.0,1
2021-02-13,38.0,38.0,1
2021-02-14,56.0,56.0,1
2021-02-15,43.0,43.0,1
2021-02-16,31.0,31.0,1
2021-02-17,50.0,50.0,1
2021-02-18,58.0,58.0,1
2021-02-19,50.0,50.0,1
2021-02-20,80.0,80.0,1
2021-02-21,47.0,47.0,1
2021-02-22,39.0,39.0,1
2021-02-23,62.0,62.0,1
2021-02-24,40.0,40.0,1
2021-02-25,48.0,48.0,1
2021-02-26,31.0,31.0,1
2021-02-27,22.0,22.0,1
2021-02-28,15.0,15.0,1
2021-03-01,22.0,22.0,1
2021-03-02,23.0,23.0,1
2021-03-03,31.0,31.0,1
2021-03-04,24.0,24.0,1
2021-03-05,14.0,14.0,1
2021-03-06,13.0,13.0,1
2021-03-07,46.0,46.0,1
2021-03-08,27.0,27.0,1
2021-03-09,35.0,35.0,1
2021-03-10,30.0,30.0,1
2021-03-11,19.0,19.0,1
2021-03-12,34.0,34.0,1
2021-03-13,44.0,44.0,1
2021-03-14,35.0,35.0,1
2021-03-15,26.0,26.0,1
2021-03-16,38.0,38.0,1
2021-03-17,22.0,22.0,1
2021-03-18,28.0,28.0,1
2021-03-19,35.0,35.0,1
2021-03-20,26.0,26.0,1
2021-03-21,9.0,9.0,1
2021-03-22,44.0,44.0,1
2021-03-23,16.0,16.0,1
2021-03-24,22.0,22.0,1
2021-03-25,20.0,20.0,1
2021-03-26,14.0,14.0,1
2021-03-27,18.0,18.0,1
2021-03-28,29.0,29.0,1
2021-03-29,9.0,9.0,1
2021-03-30,21.0,21.0,1
2021-03-31,31.0,31.0,1
2021-04-01,46.0,46.0,1
2021-04-02,38.0,38.0,1
2021-04-03,32.0,32.0,1
2021-04-04,45.0,45.0,1
2021-04-05,26.0,26.0,1
2021-04-06,39.0,39.0,1
2021-04-07,22.0,22.0,1
2021-04-08,22.0,22.0,1
2021-04-09,26.0,26.0,1
2021-04-10,23.0,23.0,1
2021-04-11,32.0,32.0,1
2021-04-12,40.0,40.0,1
2021-04-13,28.0,28.0,1
2021-04-14,41.0,41.0,1
2021-04-15,28.0,28.0,1
2021-04-16,32.0,32.0,1
2021-04-17,32.0,32.0,1
2021-04-18,41.0,41.0,1
2021-04-19,21.0,21.0,1
2021-04-20,41.0,41.0,1
2021-04-21,34.0,34.0,1
2021-04-22,60.0,60.0,1
2021-04-23,39.0,39.0,1
2021-04-24,16.0,16.0,1
2021-04-25,31.0,31.0,1
2021-04-26,27.0,27.0,1
2021-04-27,45.0,45.0,1
2021-04-28,22.0,22.0,1
2021-04-29,35.0,35.0,1
2021-04-30,25.0,25.0,1
2021-05-01,61.0,61.0,1
2021-05-02,54.0,54.0,1
2021-05-03,72.0,72.0,1
2021-05-04,77.0,77.0,1
2021-05-05,68.0,68.0,1
2021-05-06,90.0,90.0,1
2021-05-07,84.0,84.0,1
2021-05-08,64.0,64.0,1
2021-05-09,95.0,95.0,1
2021-05-10,100.0,100.0,1
2021-05-11,71.0,71.0,1
2021-05-12,77.0,77.0,1
2021-05-13,84.0,84.0,1
2021-05-14,65.0,65.0,1
