date,/m/06d5f_0,/m/06d5f,batch_id
2021-02-01,44.0,44.0,1
2021-02-02,83.0,83.0,1
2021-02-03,68.0,68.0,1
2021-02-04,51.0,51.0,1
2021-02-05,66.0,66.0,1
2021-02-06,37.0,37.0,1
2021-02-07,38.0,38.0,1
2021-02-08,44.0,44.0,1
2021-02-09,100.0,100.0,1
2021-02-10,59.0,59.0,1
2021-02-11,45.0,45.0,1
2021-02-12,36.0,36.0,1
2021-02-13,23.0,23.0,1
2021-02-14,86.0,86.0,1
2021-02-15,49.0,49.0,1
2021-02-16,56.0,56.0,1
2021-02-17,35.0,35.0,1
2021-02-18,50.0,50.0,1
2021-02-19,43.0,43.0,1
2021-02-20,30.0,30.0,1
2021-02-21,37.0,37.0,1
2021-02-22,67.0,67.0,1
2021-02-23,72.0,72.0,1
2021-02-24,67.0,67.0,1
2021-02-25,47.0,47.0,1
2021-02-26,31.0,31.0,1
2021-02-27,23.0,23.0,1
2021-02-28,39.0,39.0,1
2021-03-01,80.0,80.0,1
2021-03-02,67.0,67.0,1
2021-03-03,83.0,83.0,1
2021-03-04,59.0,59.0,1
2021-03-05,68.0,68.0,1
2021-03-06,58.0,58.0,1
2021-03-07,28.0,28.0,1
2021-03-08,80.0,80.0,1
2021-03-09,59.0,59.0,1
2021-03-10,85.0,85.0,1
2021-03-11,90.0,90.0,1
2021-03-12,57.0,57.0,1
2021-03-13,22.0,22.0,1
2021-03-14,32.0,32.0,1
2021-03-15,55.0,55.0,1
2021-03-16,99.0,99.0,1
2021-03-17,90.0,90.0,1
2021-03-18,65.0,65.0,1
2021-03-19,74.0,74.0,1
2021-03-20,29.0,29.0,1
2021-03-21,77.0,77.0,1
2021-03-22,80.0,80.0,1
2021-03-23,55.0,55.0,1
2021-03-24,50.0,50.0,1
2021-03-25,72.0,72.0,1
2021-03-26,42.0,42.0,1
2021-03-27,72.0,72.0,1
2021-03-28,47.0,47.0,1
2021-03-29,37.0,37.0,1
2021-03-30,60.0,60.0,1
2021-03-31,89.0,89.0,1
2021-04-01,48.0,48.0,1
2021-04-02,76.0,76.0,1
2021-04-03,23.0,23.0,1
2021-04-04,41.0,41.0,1
2021-04-05,31.0,31.0,1
2021-04-06,77.0,77.0,1
2021-04-07,74.0,74.0,1
2021-04-08,97.0,97.0,1
2021-04-09,68.0,68.0,1
2021-04-10,47.0,47.0,1
2021-04-11,70.0,70.0,1
2021-04-12,73.0,73.0,1
2021-04-13,36.0,36.0,1
2021-04-14,70.0,70.0,1
2021-04-15,82.0,82.0,1
2021-04-16,75.0,75.0,1
2021-04-17,41.0,41.0,1
2021-04-18,47.0,47.0,1
2021-04-19,93.0,93.0,1
2021-04-20,81.0,81.0,1
2021-04-21,82.0,82.0,1
2021-04-22,89.0,89.0,1
2021-04-23,60.0,60.0,1
2021-04-24,54.0,54.0,1
2021-04-25,63.0,63.0,1
2021-04-26,60.0,60.0,1
2021-04-27,52.0,52.0,1
2021-04-28,67.0,67.0,1
2021-04-29,79.0,79.0,1
2021-04-30,40.0,40.0,1
2021-05-01,33.0,33.0,1
2021-05-02,44.0,44.0,1
2021-05-03,39.0,39.0,1
2021-05-04,37.0,37.0,1
2021-05-05,62.0,62.0,1
2021-05-06,79.0,79.0,1
2021-05-07,67.0,67.0,1
2021-05-08,34.0,34.0,1
2021-05-09,18.0,18.0,1
2021-05-10,69.0,69.0,1
2021-05-11,97.0,97.0,1
2021-05-12,45.0,45.0,1
2021-05-13,42.0,42.0,1
2021-05-14,38.0,38.0,1
