date,/m/03vvz_0,/m/03vvz,batch_id
2021-02-01,49.0,49.0,1
2021-02-02,37.0,37.0,1
2021-02-03,24.0,24.0,1
2021-02-04,39.0,39.0,1
2021-02-05,38.0,38.0,1
2021-02-06,0.0,0.0,1
2021-02-07,40.0,40.0,1
2021-02-08,12.0,12.0,1
2021-02-09,25.0,25.0,1
2021-02-10,25.0,25.0,1
2021-02-11,0.0,0.0,1
2021-02-12,26.0,26.0,1
2021-02-13,14.0,14.0,1
2021-02-14,43.0,43.0,1
2021-02-15,74.0,74.0,1
2021-02-16,13.0,13.0,1
2021-02-17,0.0,0.0,1
2021-02-18,25.0,25.0,1
2021-02-19,27.0,27.0,1
2021-02-20,15.0,15.0,1
2021-02-21,46.0,46.0,1
2021-02-22,36.0,36.0,1
2021-02-23,26.0,26.0,1
2021-02-24,65.0,65.0,1
2021-02-25,65.0,65.0,1
2021-02-26,26.0,26.0,1
2021-02-27,29.0,29.0,1
2021-02-28,42.0,42.0,1
2021-03-01,25.0,25.0,1
2021-03-02,90.0,90.0,1
2021-03-03,65.0,65.0,1
2021-03-04,12.0,12.0,1
2021-03-05,79.0,79.0,1
2021-03-06,0.0,0.0,1
2021-03-07,28.0,28.0,1
2021-03-08,13.0,13.0,1
2021-03-09,25.0,25.0,1
2021-03-10,25.0,25.0,1
2021-03-11,13.0,13.0,1
2021-03-12,64.0,64.0,1
2021-03-13,40.0,40.0,1
2021-03-14,53.0,53.0,1
2021-03-15,29.0,29.0,1
2021-03-16,22.0,22.0,1
2021-03-17,25.0,25.0,1
2021-03-18,50.0,50.0,1
2021-03-19,13.0,13.0,1
2021-03-20,15.0,15.0,1
2021-03-21,55.0,55.0,1
2021-03-22,100.0,100.0,1
2021-03-23,38.0,38.0,1
2021-03-24,100.0,100.0,1
2021-03-25,52.0,52.0,1
2021-03-26,40.0,40.0,1
2021-03-27,28.0,28.0,1
2021-03-28,45.0,45.0,1
2021-03-29,26.0,26.0,1
2021-03-30,41.0,41.0,1
2021-03-31,42.0,42.0,1
2021-04-01,40.0,40.0,1
2021-04-02,68.0,68.0,1
2021-04-03,58.0,58.0,1
2021-04-04,15.0,15.0,1
2021-04-05,39.0,39.0,1
2021-04-06,0.0,0.0,1
2021-04-07,62.0,62.0,1
2021-04-08,13.0,13.0,1
2021-04-09,39.0,39.0,1
2021-04-10,52.0,52.0,1
2021-04-11,27.0,27.0,1
2021-04-12,12.0,12.0,1
2021-04-13,52.0,52.0,1
2021-04-14,38.0,38.0,1
2021-04-15,51.0,51.0,1
2021-04-16,54.0,54.0,1
2021-04-17,44.0,44.0,1
2021-04-18,15.0,15.0,1
2021-04-19,37.0,37.0,1
2021-04-20,0.0,0.0,1
2021-04-21,52.0,52.0,1
2021-04-22,52.0,52.0,1
2021-04-23,27.0,27.0,1
2021-04-24,45.0,45.0,1
2021-04-25,0.0,0.0,1
2021-04-26,38.0,38.0,1
2021-04-27,26.0,26.0,1
2021-04-28,39.0,39.0,1
2021-04-29,37.0,37.0,1
2021-04-30,38.0,38.0,1
2021-05-01,28.0,28.0,1
2021-05-02,28.0,28.0,1
2021-05-03,37.0,37.0,1
2021-05-04,59.0,59.0,1
2021-05-05,48.0,48.0,1
2021-05-06,37.0,37.0,1
2021-05-07,39.0,39.0,1
2021-05-08,70.0,70.0,1
2021-05-09,15.0,15.0,1
2021-05-10,50.0,50.0,1
2021-05-11,36.0,36.0,1
2021-05-12,51.0,51.0,1
2021-05-13,53.0,53.0,1
2021-05-14,27.0,27.0,1
