date,/m/029577_0,/m/029577,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,43.0,43.0,1
2021-02-03,22.0,22.0,1
2021-02-04,45.0,45.0,1
2021-02-05,34.0,34.0,1
2021-02-06,24.0,24.0,1
2021-02-07,12.0,12.0,1
2021-02-08,33.0,33.0,1
2021-02-09,11.0,11.0,1
2021-02-10,33.0,33.0,1
2021-02-11,34.0,34.0,1
2021-02-12,23.0,23.0,1
2021-02-13,64.0,64.0,1
2021-02-14,38.0,38.0,1
2021-02-15,33.0,33.0,1
2021-02-16,34.0,34.0,1
2021-02-17,34.0,34.0,1
2021-02-18,90.0,90.0,1
2021-02-19,24.0,24.0,1
2021-02-20,81.0,81.0,1
2021-02-21,54.0,54.0,1
2021-02-22,63.0,63.0,1
2021-02-23,23.0,23.0,1
2021-02-24,35.0,35.0,1
2021-02-25,34.0,34.0,1
2021-02-26,69.0,69.0,1
2021-02-27,64.0,64.0,1
2021-02-28,86.0,86.0,1
2021-03-01,55.0,55.0,1
2021-03-02,11.0,11.0,1
2021-03-03,35.0,35.0,1
2021-03-04,11.0,11.0,1
2021-03-05,35.0,35.0,1
2021-03-06,64.0,64.0,1
2021-03-07,37.0,37.0,1
2021-03-08,45.0,45.0,1
2021-03-09,0.0,0.0,1
2021-03-10,33.0,33.0,1
2021-03-11,67.0,67.0,1
2021-03-12,34.0,34.0,1
2021-03-13,24.0,24.0,1
2021-03-14,59.0,59.0,1
2021-03-15,78.0,78.0,1
2021-03-16,29.0,29.0,1
2021-03-17,33.0,33.0,1
2021-03-18,56.0,56.0,1
2021-03-19,23.0,23.0,1
2021-03-20,52.0,52.0,1
2021-03-21,49.0,49.0,1
2021-03-22,66.0,66.0,1
2021-03-23,22.0,22.0,1
2021-03-24,11.0,11.0,1
2021-03-25,23.0,23.0,1
2021-03-26,0.0,0.0,1
2021-03-27,37.0,37.0,1
2021-03-28,13.0,13.0,1
2021-03-29,12.0,12.0,1
2021-03-30,24.0,24.0,1
2021-03-31,50.0,50.0,1
2021-04-01,47.0,47.0,1
2021-04-02,24.0,24.0,1
2021-04-03,65.0,65.0,1
2021-04-04,79.0,79.0,1
2021-04-05,46.0,46.0,1
2021-04-06,53.0,53.0,1
2021-04-07,11.0,11.0,1
2021-04-08,68.0,68.0,1
2021-04-09,69.0,69.0,1
2021-04-10,34.0,34.0,1
2021-04-11,36.0,36.0,1
2021-04-12,43.0,43.0,1
2021-04-13,23.0,23.0,1
2021-04-14,45.0,45.0,1
2021-04-15,11.0,11.0,1
2021-04-16,59.0,59.0,1
2021-04-17,39.0,39.0,1
2021-04-18,52.0,52.0,1
2021-04-19,11.0,11.0,1
2021-04-20,22.0,22.0,1
2021-04-21,69.0,69.0,1
2021-04-22,69.0,69.0,1
2021-04-23,24.0,24.0,1
2021-04-24,13.0,13.0,1
2021-04-25,13.0,13.0,1
2021-04-26,100.0,100.0,1
2021-04-27,23.0,23.0,1
2021-04-28,46.0,46.0,1
2021-04-29,22.0,22.0,1
2021-04-30,34.0,34.0,1
2021-05-01,0.0,0.0,1
2021-05-02,24.0,24.0,1
2021-05-03,43.0,43.0,1
2021-05-04,10.0,10.0,1
2021-05-05,32.0,32.0,1
2021-05-06,44.0,44.0,1
2021-05-07,23.0,23.0,1
2021-05-08,12.0,12.0,1
2021-05-09,53.0,53.0,1
2021-05-10,22.0,22.0,1
2021-05-11,21.0,21.0,1
2021-05-12,34.0,34.0,1
2021-05-13,35.0,35.0,1
2021-05-14,24.0,24.0,1
