date,/m/015fr_0,/m/015fr,batch_id
2021-02-01,34.0,34.0,1
2021-02-02,50.0,50.0,1
2021-02-03,42.0,42.0,1
2021-02-04,40.0,40.0,1
2021-02-05,36.0,36.0,1
2021-02-06,33.0,33.0,1
2021-02-07,50.0,50.0,1
2021-02-08,34.0,34.0,1
2021-02-09,51.0,51.0,1
2021-02-10,46.0,46.0,1
2021-02-11,28.0,28.0,1
2021-02-12,24.0,24.0,1
2021-02-13,31.0,31.0,1
2021-02-14,36.0,36.0,1
2021-02-15,46.0,46.0,1
2021-02-16,48.0,48.0,1
2021-02-17,24.0,24.0,1
2021-02-18,75.0,75.0,1
2021-02-19,42.0,42.0,1
2021-02-20,33.0,33.0,1
2021-02-21,33.0,33.0,1
2021-02-22,56.0,56.0,1
2021-02-23,32.0,32.0,1
2021-02-24,61.0,61.0,1
2021-02-25,20.0,20.0,1
2021-02-26,48.0,48.0,1
2021-02-27,49.0,49.0,1
2021-02-28,22.0,22.0,1
2021-03-01,43.0,43.0,1
2021-03-02,40.0,40.0,1
2021-03-03,45.0,45.0,1
2021-03-04,38.0,38.0,1
2021-03-05,57.0,57.0,1
2021-03-06,72.0,72.0,1
2021-03-07,65.0,65.0,1
2021-03-08,35.0,35.0,1
2021-03-09,54.0,54.0,1
2021-03-10,39.0,39.0,1
2021-03-11,31.0,31.0,1
2021-03-12,40.0,40.0,1
2021-03-13,38.0,38.0,1
2021-03-14,29.0,29.0,1
2021-03-15,40.0,40.0,1
2021-03-16,57.0,57.0,1
2021-03-17,50.0,50.0,1
2021-03-18,59.0,59.0,1
2021-03-19,41.0,41.0,1
2021-03-20,32.0,32.0,1
2021-03-21,47.0,47.0,1
2021-03-22,54.0,54.0,1
2021-03-23,27.0,27.0,1
2021-03-24,66.0,66.0,1
2021-03-25,68.0,68.0,1
2021-03-26,62.0,62.0,1
2021-03-27,74.0,74.0,1
2021-03-28,46.0,46.0,1
2021-03-29,20.0,20.0,1
2021-03-30,51.0,51.0,1
2021-03-31,65.0,65.0,1
2021-04-01,50.0,50.0,1
2021-04-02,59.0,59.0,1
2021-04-03,50.0,50.0,1
2021-04-04,60.0,60.0,1
2021-04-05,24.0,24.0,1
2021-04-06,37.0,37.0,1
2021-04-07,66.0,66.0,1
2021-04-08,48.0,48.0,1
2021-04-09,16.0,16.0,1
2021-04-10,61.0,61.0,1
2021-04-11,76.0,76.0,1
2021-04-12,61.0,61.0,1
2021-04-13,85.0,85.0,1
2021-04-14,59.0,59.0,1
2021-04-15,100.0,100.0,1
2021-04-16,63.0,63.0,1
2021-04-17,36.0,36.0,1
2021-04-18,73.0,73.0,1
2021-04-19,42.0,42.0,1
2021-04-20,47.0,47.0,1
2021-04-21,48.0,48.0,1
2021-04-22,37.0,37.0,1
2021-04-23,25.0,25.0,1
2021-04-24,47.0,47.0,1
2021-04-25,32.0,32.0,1
2021-04-26,59.0,59.0,1
2021-04-27,45.0,45.0,1
2021-04-28,48.0,48.0,1
2021-04-29,31.0,31.0,1
2021-04-30,59.0,59.0,1
2021-05-01,43.0,43.0,1
2021-05-02,60.0,60.0,1
2021-05-03,38.0,38.0,1
2021-05-04,36.0,36.0,1
2021-05-05,45.0,45.0,1
2021-05-06,50.0,50.0,1
2021-05-07,60.0,60.0,1
2021-05-08,44.0,44.0,1
2021-05-09,14.0,14.0,1
2021-05-10,39.0,39.0,1
2021-05-11,19.0,19.0,1
2021-05-12,24.0,24.0,1
2021-05-13,54.0,54.0,1
2021-05-14,47.0,47.0,1
