date,/m/014dsx_0,/m/014dsx,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,36.0,36.0,1
2021-02-03,30.0,30.0,1
2021-02-04,35.0,35.0,1
2021-02-05,30.0,30.0,1
2021-02-06,28.0,28.0,1
2021-02-07,38.0,38.0,1
2021-02-08,29.0,29.0,1
2021-02-09,25.0,25.0,1
2021-02-10,33.0,33.0,1
2021-02-11,37.0,37.0,1
2021-02-12,41.0,41.0,1
2021-02-13,40.0,40.0,1
2021-02-14,41.0,41.0,1
2021-02-15,41.0,41.0,1
2021-02-16,38.0,38.0,1
2021-02-17,34.0,34.0,1
2021-02-18,38.0,38.0,1
2021-02-19,32.0,32.0,1
2021-02-20,31.0,31.0,1
2021-02-21,40.0,40.0,1
2021-02-22,38.0,38.0,1
2021-02-23,36.0,36.0,1
2021-02-24,43.0,43.0,1
2021-02-25,39.0,39.0,1
2021-02-26,36.0,36.0,1
2021-02-27,40.0,40.0,1
2021-02-28,37.0,37.0,1
2021-03-01,38.0,38.0,1
2021-03-02,41.0,41.0,1
2021-03-03,38.0,38.0,1
2021-03-04,31.0,31.0,1
2021-03-05,58.0,58.0,1
2021-03-06,59.0,59.0,1
2021-03-07,54.0,54.0,1
2021-03-08,45.0,45.0,1
2021-03-09,40.0,40.0,1
2021-03-10,35.0,35.0,1
2021-03-11,36.0,36.0,1
2021-03-12,32.0,32.0,1
2021-03-13,37.0,37.0,1
2021-03-14,42.0,42.0,1
2021-03-15,50.0,50.0,1
2021-03-16,36.0,36.0,1
2021-03-17,42.0,42.0,1
2021-03-18,36.0,36.0,1
2021-03-19,30.0,30.0,1
2021-03-20,36.0,36.0,1
2021-03-21,55.0,55.0,1
2021-03-22,39.0,39.0,1
2021-03-23,43.0,43.0,1
2021-03-24,31.0,31.0,1
2021-03-25,35.0,35.0,1
2021-03-26,33.0,33.0,1
2021-03-27,32.0,32.0,1
2021-03-28,49.0,49.0,1
2021-03-29,41.0,41.0,1
2021-03-30,52.0,52.0,1
2021-03-31,39.0,39.0,1
2021-04-01,33.0,33.0,1
2021-04-02,30.0,30.0,1
2021-04-03,35.0,35.0,1
2021-04-04,39.0,39.0,1
2021-04-05,36.0,36.0,1
2021-04-06,38.0,38.0,1
2021-04-07,34.0,34.0,1
2021-04-08,33.0,33.0,1
2021-04-09,31.0,31.0,1
2021-04-10,44.0,44.0,1
2021-04-11,43.0,43.0,1
2021-04-12,45.0,45.0,1
2021-04-13,30.0,30.0,1
2021-04-14,83.0,83.0,1
2021-04-15,71.0,71.0,1
2021-04-16,42.0,42.0,1
2021-04-17,62.0,62.0,1
2021-04-18,88.0,88.0,1
2021-04-19,74.0,74.0,1
2021-04-20,66.0,66.0,1
2021-04-21,64.0,64.0,1
2021-04-22,53.0,53.0,1
2021-04-23,49.0,49.0,1
2021-04-24,66.0,66.0,1
2021-04-25,66.0,66.0,1
2021-04-26,65.0,65.0,1
2021-04-27,82.0,82.0,1
2021-04-28,68.0,68.0,1
2021-04-29,46.0,46.0,1
2021-04-30,56.0,56.0,1
2021-05-01,72.0,72.0,1
2021-05-02,69.0,69.0,1
2021-05-03,65.0,65.0,1
2021-05-04,62.0,62.0,1
2021-05-05,71.0,71.0,1
2021-05-06,53.0,53.0,1
2021-05-07,59.0,59.0,1
2021-05-08,59.0,59.0,1
2021-05-09,63.0,63.0,1
2021-05-10,84.0,84.0,1
2021-05-11,100.0,100.0,1
2021-05-12,66.0,66.0,1
2021-05-13,70.0,70.0,1
2021-05-14,87.0,87.0,1
