date,/m/096bg_0,/m/096bg,batch_id
2021-02-01,66.0,66.0,1
2021-02-02,57.0,57.0,1
2021-02-03,25.0,25.0,1
2021-02-04,51.0,51.0,1
2021-02-05,34.0,34.0,1
2021-02-06,54.0,54.0,1
2021-02-07,0.0,0.0,1
2021-02-08,66.0,66.0,1
2021-02-09,67.0,67.0,1
2021-02-10,8.0,8.0,1
2021-02-11,42.0,42.0,1
2021-02-12,43.0,43.0,1
2021-02-13,48.0,48.0,1
2021-02-14,48.0,48.0,1
2021-02-15,41.0,41.0,1
2021-02-16,60.0,60.0,1
2021-02-17,42.0,42.0,1
2021-02-18,51.0,51.0,1
2021-02-19,54.0,54.0,1
2021-02-20,20.0,20.0,1
2021-02-21,31.0,31.0,1
2021-02-22,72.0,72.0,1
2021-02-23,17.0,17.0,1
2021-02-24,61.0,61.0,1
2021-02-25,78.0,78.0,1
2021-02-26,52.0,52.0,1
2021-02-27,67.0,67.0,1
2021-02-28,37.0,37.0,1
2021-03-01,75.0,75.0,1
2021-03-02,17.0,17.0,1
2021-03-03,52.0,52.0,1
2021-03-04,57.0,57.0,1
2021-03-05,35.0,35.0,1
2021-03-06,19.0,19.0,1
2021-03-07,37.0,37.0,1
2021-03-08,59.0,59.0,1
2021-03-09,58.0,58.0,1
2021-03-10,34.0,34.0,1
2021-03-11,17.0,17.0,1
2021-03-12,95.0,95.0,1
2021-03-13,54.0,54.0,1
2021-03-14,53.0,53.0,1
2021-03-15,72.0,72.0,1
2021-03-16,29.0,29.0,1
2021-03-17,100.0,100.0,1
2021-03-18,34.0,34.0,1
2021-03-19,35.0,35.0,1
2021-03-20,49.0,49.0,1
2021-03-21,37.0,37.0,1
2021-03-22,50.0,50.0,1
2021-03-23,58.0,58.0,1
2021-03-24,42.0,42.0,1
2021-03-25,60.0,60.0,1
2021-03-26,44.0,44.0,1
2021-03-27,28.0,28.0,1
2021-03-28,99.0,99.0,1
2021-03-29,79.0,79.0,1
2021-03-30,18.0,18.0,1
2021-03-31,47.0,47.0,1
2021-04-01,36.0,36.0,1
2021-04-02,36.0,36.0,1
2021-04-03,59.0,59.0,1
2021-04-04,40.0,40.0,1
2021-04-05,44.0,44.0,1
2021-04-06,16.0,16.0,1
2021-04-07,41.0,41.0,1
2021-04-08,43.0,43.0,1
2021-04-09,87.0,87.0,1
2021-04-10,61.0,61.0,1
2021-04-11,45.0,45.0,1
2021-04-12,57.0,57.0,1
2021-04-13,61.0,61.0,1
2021-04-14,42.0,42.0,1
2021-04-15,60.0,60.0,1
2021-04-16,36.0,36.0,1
2021-04-17,0.0,0.0,1
2021-04-18,98.0,98.0,1
2021-04-19,49.0,49.0,1
2021-04-20,68.0,68.0,1
2021-04-21,78.0,78.0,1
2021-04-22,44.0,44.0,1
2021-04-23,27.0,27.0,1
2021-04-24,50.0,50.0,1
2021-04-25,39.0,39.0,1
2021-04-26,75.0,75.0,1
2021-04-27,35.0,35.0,1
2021-04-28,52.0,52.0,1
2021-04-29,58.0,58.0,1
2021-04-30,42.0,42.0,1
2021-05-01,19.0,19.0,1
2021-05-02,46.0,46.0,1
2021-05-03,41.0,41.0,1
2021-05-04,23.0,23.0,1
2021-05-05,32.0,32.0,1
2021-05-06,41.0,41.0,1
2021-05-07,34.0,34.0,1
2021-05-08,9.0,9.0,1
2021-05-09,30.0,30.0,1
2021-05-10,58.0,58.0,1
2021-05-11,57.0,57.0,1
2021-05-12,17.0,17.0,1
2021-05-13,71.0,71.0,1
2021-05-14,45.0,45.0,1
