date,/m/01k8wv_0,/m/01k8wv,batch_id
2021-02-01,68.0,68.0,1
2021-02-02,68.0,68.0,1
2021-02-03,43.0,43.0,1
2021-02-04,63.0,63.0,1
2021-02-05,27.0,27.0,1
2021-02-06,28.0,28.0,1
2021-02-07,38.0,38.0,1
2021-02-08,34.0,34.0,1
2021-02-09,44.0,44.0,1
2021-02-10,43.0,43.0,1
2021-02-11,62.0,62.0,1
2021-02-12,27.0,27.0,1
2021-02-13,100.0,100.0,1
2021-02-14,50.0,50.0,1
2021-02-15,26.0,26.0,1
2021-02-16,72.0,72.0,1
2021-02-17,35.0,35.0,1
2021-02-18,26.0,26.0,1
2021-02-19,0.0,0.0,1
2021-02-20,42.0,42.0,1
2021-02-21,21.0,21.0,1
2021-02-22,50.0,50.0,1
2021-02-23,45.0,45.0,1
2021-02-24,9.0,9.0,1
2021-02-25,45.0,45.0,1
2021-02-26,45.0,45.0,1
2021-02-27,40.0,40.0,1
2021-02-28,10.0,10.0,1
2021-03-01,17.0,17.0,1
2021-03-02,18.0,18.0,1
2021-03-03,9.0,9.0,1
2021-03-04,26.0,26.0,1
2021-03-05,27.0,27.0,1
2021-03-06,40.0,40.0,1
2021-03-07,39.0,39.0,1
2021-03-08,18.0,18.0,1
2021-03-09,43.0,43.0,1
2021-03-10,18.0,18.0,1
2021-03-11,61.0,61.0,1
2021-03-12,72.0,72.0,1
2021-03-13,56.0,56.0,1
2021-03-14,9.0,9.0,1
2021-03-15,48.0,48.0,1
2021-03-16,45.0,45.0,1
2021-03-17,43.0,43.0,1
2021-03-18,35.0,35.0,1
2021-03-19,9.0,9.0,1
2021-03-20,21.0,21.0,1
2021-03-21,19.0,19.0,1
2021-03-22,44.0,44.0,1
2021-03-23,26.0,26.0,1
2021-03-24,26.0,26.0,1
2021-03-25,72.0,72.0,1
2021-03-26,28.0,28.0,1
2021-03-27,29.0,29.0,1
2021-03-28,0.0,0.0,1
2021-03-29,18.0,18.0,1
2021-03-30,28.0,28.0,1
2021-03-31,20.0,20.0,1
2021-04-01,56.0,56.0,1
2021-04-02,0.0,0.0,1
2021-04-03,41.0,41.0,1
2021-04-04,31.0,31.0,1
2021-04-05,64.0,64.0,1
2021-04-06,59.0,59.0,1
2021-04-07,17.0,17.0,1
2021-04-08,27.0,27.0,1
2021-04-09,9.0,9.0,1
2021-04-10,36.0,36.0,1
2021-04-11,9.0,9.0,1
2021-04-12,42.0,42.0,1
2021-04-13,54.0,54.0,1
2021-04-14,53.0,53.0,1
2021-04-15,27.0,27.0,1
2021-04-16,47.0,47.0,1
2021-04-17,41.0,41.0,1
2021-04-18,41.0,41.0,1
2021-04-19,60.0,60.0,1
2021-04-20,35.0,35.0,1
2021-04-21,36.0,36.0,1
2021-04-22,27.0,27.0,1
2021-04-23,10.0,10.0,1
2021-04-24,21.0,21.0,1
2021-04-25,10.0,10.0,1
2021-04-26,52.0,52.0,1
2021-04-27,27.0,27.0,1
2021-04-28,18.0,18.0,1
2021-04-29,26.0,26.0,1
2021-04-30,44.0,44.0,1
2021-05-01,29.0,29.0,1
2021-05-02,58.0,58.0,1
2021-05-03,9.0,9.0,1
2021-05-04,57.0,57.0,1
2021-05-05,42.0,42.0,1
2021-05-06,52.0,52.0,1
2021-05-07,27.0,27.0,1
2021-05-08,29.0,29.0,1
2021-05-09,10.0,10.0,1
2021-05-10,35.0,35.0,1
2021-05-11,25.0,25.0,1
2021-05-12,9.0,9.0,1
2021-05-13,37.0,37.0,1
2021-05-14,28.0,28.0,1
