date,/m/01rfps_0,/m/01rfps,batch_id
2021-02-01,35.0,35.0,1
2021-02-02,43.0,43.0,1
2021-02-03,43.0,43.0,1
2021-02-04,40.0,40.0,1
2021-02-05,55.0,55.0,1
2021-02-06,65.0,65.0,1
2021-02-07,46.0,46.0,1
2021-02-08,32.0,32.0,1
2021-02-09,34.0,34.0,1
2021-02-10,42.0,42.0,1
2021-02-11,33.0,33.0,1
2021-02-12,47.0,47.0,1
2021-02-13,45.0,45.0,1
2021-02-14,55.0,55.0,1
2021-02-15,40.0,40.0,1
2021-02-16,54.0,54.0,1
2021-02-17,34.0,34.0,1
2021-02-18,43.0,43.0,1
2021-02-19,45.0,45.0,1
2021-02-20,33.0,33.0,1
2021-02-21,48.0,48.0,1
2021-02-22,53.0,53.0,1
2021-02-23,53.0,53.0,1
2021-02-24,35.0,35.0,1
2021-02-25,40.0,40.0,1
2021-02-26,32.0,32.0,1
2021-02-27,61.0,61.0,1
2021-02-28,49.0,49.0,1
2021-03-01,36.0,36.0,1
2021-03-02,38.0,38.0,1
2021-03-03,23.0,23.0,1
2021-03-04,32.0,32.0,1
2021-03-05,34.0,34.0,1
2021-03-06,39.0,39.0,1
2021-03-07,49.0,49.0,1
2021-03-08,51.0,51.0,1
2021-03-09,37.0,37.0,1
2021-03-10,41.0,41.0,1
2021-03-11,34.0,34.0,1
2021-03-12,42.0,42.0,1
2021-03-13,77.0,77.0,1
2021-03-14,45.0,45.0,1
2021-03-15,41.0,41.0,1
2021-03-16,39.0,39.0,1
2021-03-17,46.0,46.0,1
2021-03-18,44.0,44.0,1
2021-03-19,36.0,36.0,1
2021-03-20,72.0,72.0,1
2021-03-21,73.0,73.0,1
2021-03-22,44.0,44.0,1
2021-03-23,53.0,53.0,1
2021-03-24,44.0,44.0,1
2021-03-25,54.0,54.0,1
2021-03-26,58.0,58.0,1
2021-03-27,83.0,83.0,1
2021-03-28,60.0,60.0,1
2021-03-29,66.0,66.0,1
2021-03-30,50.0,50.0,1
2021-03-31,59.0,59.0,1
2021-04-01,41.0,41.0,1
2021-04-02,64.0,64.0,1
2021-04-03,93.0,93.0,1
2021-04-04,62.0,62.0,1
2021-04-05,53.0,53.0,1
2021-04-06,52.0,52.0,1
2021-04-07,47.0,47.0,1
2021-04-08,43.0,43.0,1
2021-04-09,58.0,58.0,1
2021-04-10,61.0,61.0,1
2021-04-11,42.0,42.0,1
2021-04-12,50.0,50.0,1
2021-04-13,26.0,26.0,1
2021-04-14,48.0,48.0,1
2021-04-15,57.0,57.0,1
2021-04-16,62.0,62.0,1
2021-04-17,55.0,55.0,1
2021-04-18,58.0,58.0,1
2021-04-19,47.0,47.0,1
2021-04-20,29.0,29.0,1
2021-04-21,45.0,45.0,1
2021-04-22,35.0,35.0,1
2021-04-23,35.0,35.0,1
2021-04-24,47.0,47.0,1
2021-04-25,51.0,51.0,1
2021-04-26,51.0,51.0,1
2021-04-27,49.0,49.0,1
2021-04-28,45.0,45.0,1
2021-04-29,44.0,44.0,1
2021-04-30,65.0,65.0,1
2021-05-01,100.0,100.0,1
2021-05-02,69.0,69.0,1
2021-05-03,46.0,46.0,1
2021-05-04,56.0,56.0,1
2021-05-05,45.0,45.0,1
2021-05-06,42.0,42.0,1
2021-05-07,50.0,50.0,1
2021-05-08,55.0,55.0,1
2021-05-09,43.0,43.0,1
2021-05-10,49.0,49.0,1
2021-05-11,39.0,39.0,1
2021-05-12,60.0,60.0,1
2021-05-13,68.0,68.0,1
2021-05-14,68.0,68.0,1
