date,/m/07zry_0,/m/07zry,batch_id
2021-02-01,91.0,91.0,1
2021-02-02,57.0,57.0,1
2021-02-03,74.0,74.0,1
2021-02-04,88.0,88.0,1
2021-02-05,84.0,84.0,1
2021-02-06,63.0,63.0,1
2021-02-07,74.0,74.0,1
2021-02-08,64.0,64.0,1
2021-02-09,93.0,93.0,1
2021-02-10,91.0,91.0,1
2021-02-11,70.0,70.0,1
2021-02-12,67.0,67.0,1
2021-02-13,71.0,71.0,1
2021-02-14,83.0,83.0,1
2021-02-15,91.0,91.0,1
2021-02-16,64.0,64.0,1
2021-02-17,70.0,70.0,1
2021-02-18,63.0,63.0,1
2021-02-19,41.0,41.0,1
2021-02-20,42.0,42.0,1
2021-02-21,55.0,55.0,1
2021-02-22,59.0,59.0,1
2021-02-23,85.0,85.0,1
2021-02-24,57.0,57.0,1
2021-02-25,89.0,89.0,1
2021-02-26,68.0,68.0,1
2021-02-27,52.0,52.0,1
2021-02-28,54.0,54.0,1
2021-03-01,69.0,69.0,1
2021-03-02,67.0,67.0,1
2021-03-03,36.0,36.0,1
2021-03-04,61.0,61.0,1
2021-03-05,87.0,87.0,1
2021-03-06,72.0,72.0,1
2021-03-07,73.0,73.0,1
2021-03-08,52.0,52.0,1
2021-03-09,47.0,47.0,1
2021-03-10,52.0,52.0,1
2021-03-11,83.0,83.0,1
2021-03-12,60.0,60.0,1
2021-03-13,56.0,56.0,1
2021-03-14,55.0,55.0,1
2021-03-15,86.0,86.0,1
2021-03-16,83.0,83.0,1
2021-03-17,89.0,89.0,1
2021-03-18,59.0,59.0,1
2021-03-19,51.0,51.0,1
2021-03-20,49.0,49.0,1
2021-03-21,45.0,45.0,1
2021-03-22,52.0,52.0,1
2021-03-23,76.0,76.0,1
2021-03-24,58.0,58.0,1
2021-03-25,89.0,89.0,1
2021-03-26,62.0,62.0,1
2021-03-27,50.0,50.0,1
2021-03-28,82.0,82.0,1
2021-03-29,65.0,65.0,1
2021-03-30,64.0,64.0,1
2021-03-31,69.0,69.0,1
2021-04-01,73.0,73.0,1
2021-04-02,26.0,26.0,1
2021-04-03,44.0,44.0,1
2021-04-04,53.0,53.0,1
2021-04-05,68.0,68.0,1
2021-04-06,56.0,56.0,1
2021-04-07,37.0,37.0,1
2021-04-08,74.0,74.0,1
2021-04-09,75.0,75.0,1
2021-04-10,78.0,78.0,1
2021-04-11,45.0,45.0,1
2021-04-12,64.0,64.0,1
2021-04-13,82.0,82.0,1
2021-04-14,69.0,69.0,1
2021-04-15,71.0,71.0,1
2021-04-16,63.0,63.0,1
2021-04-17,36.0,36.0,1
2021-04-18,28.0,28.0,1
2021-04-19,41.0,41.0,1
2021-04-20,49.0,49.0,1
2021-04-21,60.0,60.0,1
2021-04-22,75.0,75.0,1
2021-04-23,49.0,49.0,1
2021-04-24,33.0,33.0,1
2021-04-25,71.0,71.0,1
2021-04-26,48.0,48.0,1
2021-04-27,57.0,57.0,1
2021-04-28,50.0,50.0,1
2021-04-29,58.0,58.0,1
2021-04-30,49.0,49.0,1
2021-05-01,50.0,50.0,1
2021-05-02,80.0,80.0,1
2021-05-03,71.0,71.0,1
2021-05-04,64.0,64.0,1
2021-05-05,63.0,63.0,1
2021-05-06,38.0,38.0,1
2021-05-07,46.0,46.0,1
2021-05-08,46.0,46.0,1
2021-05-09,50.0,50.0,1
2021-05-10,37.0,37.0,1
2021-05-11,100.0,100.0,1
2021-05-12,59.0,59.0,1
2021-05-13,33.0,33.0,1
2021-05-14,45.0,45.0,1
