date,/m/018_pw_0,/m/018_pw,batch_id
2021-02-01,10.0,10.0,1
2021-02-02,10.0,10.0,1
2021-02-03,0.0,0.0,1
2021-02-04,4.0,4.0,1
2021-02-05,0.0,0.0,1
2021-02-06,7.0,7.0,1
2021-02-07,4.0,4.0,1
2021-02-08,3.0,3.0,1
2021-02-09,3.0,3.0,1
2021-02-10,7.0,7.0,1
2021-02-11,0.0,0.0,1
2021-02-12,4.0,4.0,1
2021-02-13,0.0,0.0,1
2021-02-14,4.0,4.0,1
2021-02-15,0.0,0.0,1
2021-02-16,7.0,7.0,1
2021-02-17,7.0,7.0,1
2021-02-18,0.0,0.0,1
2021-02-19,7.0,7.0,1
2021-02-20,0.0,0.0,1
2021-02-21,8.0,8.0,1
2021-02-22,3.0,3.0,1
2021-02-23,7.0,7.0,1
2021-02-24,4.0,4.0,1
2021-02-25,7.0,7.0,1
2021-02-26,11.0,11.0,1
2021-02-27,4.0,4.0,1
2021-02-28,4.0,4.0,1
2021-03-01,3.0,3.0,1
2021-03-02,4.0,4.0,1
2021-03-03,4.0,4.0,1
2021-03-04,0.0,0.0,1
2021-03-05,0.0,0.0,1
2021-03-06,4.0,4.0,1
2021-03-07,4.0,4.0,1
2021-03-08,0.0,0.0,1
2021-03-09,3.0,3.0,1
2021-03-10,7.0,7.0,1
2021-03-11,28.0,28.0,1
2021-03-12,0.0,0.0,1
2021-03-13,48.0,48.0,1
2021-03-14,40.0,40.0,1
2021-03-15,62.0,62.0,1
2021-03-16,81.0,81.0,1
2021-03-17,100.0,100.0,1
2021-03-18,84.0,84.0,1
2021-03-19,29.0,29.0,1
2021-03-20,12.0,12.0,1
2021-03-21,4.0,4.0,1
2021-03-22,3.0,3.0,1
2021-03-23,21.0,21.0,1
2021-03-24,10.0,10.0,1
2021-03-25,11.0,11.0,1
2021-03-26,11.0,11.0,1
2021-03-27,8.0,8.0,1
2021-03-28,8.0,8.0,1
2021-03-29,4.0,4.0,1
2021-03-30,15.0,15.0,1
2021-03-31,15.0,15.0,1
2021-04-01,18.0,18.0,1
2021-04-02,30.0,30.0,1
2021-04-03,16.0,16.0,1
2021-04-04,16.0,16.0,1
2021-04-05,11.0,11.0,1
2021-04-06,47.0,47.0,1
2021-04-07,58.0,58.0,1
2021-04-08,14.0,14.0,1
2021-04-09,22.0,22.0,1
2021-04-10,11.0,11.0,1
2021-04-11,26.0,26.0,1
2021-04-12,24.0,24.0,1
2021-04-13,25.0,25.0,1
2021-04-14,10.0,10.0,1
2021-04-15,21.0,21.0,1
2021-04-16,19.0,19.0,1
2021-04-17,16.0,16.0,1
2021-04-18,20.0,20.0,1
2021-04-19,3.0,3.0,1
2021-04-20,14.0,14.0,1
2021-04-21,4.0,4.0,1
2021-04-22,0.0,0.0,1
2021-04-23,23.0,23.0,1
2021-04-24,13.0,13.0,1
2021-04-25,12.0,12.0,1
2021-04-26,14.0,14.0,1
2021-04-27,4.0,4.0,1
2021-04-28,14.0,14.0,1
2021-04-29,21.0,21.0,1
2021-04-30,3.0,3.0,1
2021-05-01,19.0,19.0,1
2021-05-02,8.0,8.0,1
2021-05-03,20.0,20.0,1
2021-05-04,16.0,16.0,1
2021-05-05,7.0,7.0,1
2021-05-06,24.0,24.0,1
2021-05-07,11.0,11.0,1
2021-05-08,0.0,0.0,1
2021-05-09,8.0,8.0,1
2021-05-10,21.0,21.0,1
2021-05-11,3.0,3.0,1
2021-05-12,10.0,10.0,1
2021-05-13,4.0,4.0,1
2021-05-14,15.0,15.0,1
